REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_30136_lociStitched	chr7	150862097	150905932	3	43756	71683.3755	6277.172	143	GBX1,ASB10,ABCF2	CHPF2,MIR671,SMARCD3	ASB10	ASB10	1.3354	143	1
7_MACS_peak_14704_lociStitched	chr17	72908376	72953219	7	43532	59219.6658	4286.9908	144	OTOP2,OTOP3,USH1G,C17orf28	CDR2L,FDXR,FADS6	OTOP3	OTOP3	1.2364000000000002	144	1
8_MACS_peak_14037_lociStitched	chr17	47508211	47552541	8	43418	57447.247	4158.154	145		NGFR,PHB	PHB	NGFR	1.3744	145	1
22_MACS_peak_15200_lociStitched	chr17	77685200	77734648	22	43414	55772.3992	4766.7872	146	ENPP7	CBX2,CBX8	ENPP7	CBX2	1.4914999999999998	146	1
6_MACS_peak_10680_lociStitched	chr16	1204329	1248331	6	42897	66729.033	2846.9294	147	CACNA1H	TPSAB1,TPSG1,TPSB2	CACNA1H	TPSG1	1.9293	147	1
4_MACS_peak_20517_lociStitched	chr2	26776623	26820070	4	42851	64479.6927	4774.8253	148	C2orf70,OTOF,CIB4		C2orf70	C2orf70	1.4454	148	1
10_MACS_peak_24978_lociStitched	chr22	44212841	44257707	10	42801	52600.8984	3643.1192	149	SULT4A1	EFCAB6,PNPLA5	SULT4A1	SULT4A1	1.0317	149	1
13_MACS_peak_33023_lociStitched	chr9	134679383	134725415	13	42703	58262.7024	4299.3888	150			RAPGEF1	NONE	NONE	150	1
7_MACS_peak_22930_lociStitched	chr20	62019371	62064075	7	42228	65643.3536	3182.9248	151	KCNQ2	CHRNA4,KCNQ2	CHRNA4	KCNQ2	1.4224	151	1
9_MACS_peak_6400_lociStitched	chr11	1916997	1960800	9	41934	68223.1725	3701.3535	152	TNNT3	LSP1,MRPL23,MIR4298	TNNT3	TNNT3	1.5061	152	1
5_MACS_peak_28490_lociStitched	chr6	30408710	30451299	5	41890	70655.151	5826.1752	153		HLA-E	HLA-E	HLA-E	0.023900000000000005	153	1
7_MACS_peak_8978_lociStitched	chr12	57577072	57619902	7	41812	68956.3	4835.507	154	LRP1,MIR1228,NXPH4	SHMT2,NDUFA4L2,STAC3	MIR1228	MIR1228	1.3972	154	1
9_MACS_peak_9198_lociStitched	chr13	113667018	113710913	9	41685	58314.5075	4130.5195	155	MCF2L	F7,LOC100289410	MCF2L	MCF2L	1.1578000000000002	155	1
11_MACS_peak_18941_lociStitched	chr19	42467679	42511274	11	41650	61342.5245	3788.4055	156	ATP1A3,GRIK5	RABAC1	ATP1A3	ATP1A3	1.2413	156	1
17_MACS_peak_21841_lociStitched	chr20	48880561	48925055	17	41572	49237.0604	4124.5938	157	LOC284751		LOC284751	LOC284751	0.9251999999999999	157	1
20_MACS_peak_33859_lociStitched	chr9	138546253	138593498	20	41556	52829.359	3392.191	158	LCN9,SOHLH1	KCNT1,GLT6D1	LCN9	KCNT1	1.2538	158	1
21_MACS_peak_18892_lociStitched	chr19	42279658	42326962	21	41441	46343.7288	4990.572	159	CEACAM3	CEACAM6,DMRTC2,RPS19,LYPD4	CEACAM3	CEACAM3	0.7933	159	1
15_MACS_peak_20232_lociStitched	chr19	55673341	55717947	15	41061	51109.5548	3920.8674	160	C19orf51,SYT5,PTPRH	PPP1R12C,TNNT1,TNNI3,TMEM86B	SYT5	SYT5	1.1446999999999998	160	1
16_MACS_peak_13153_lociStitched	chr17	18971339	19014272	16	40996	40958.082	5001.6945	161		GRAPL,GRAP	GRAPL	GRAPL	0.3498	161	1
7_MACS_peak_23388_lociStitched	chr21	45760521	45803015	7	40888	70246.8314	5392.4886	162	TRPM2	PFKL,C21orf2	TRPM2	TRPM2	1.0610000000000002	162	1
3_MACS_peak_23781_lociStitched	chr22	20152002	20193497	3	40795	69097.474	3427.487	163		RANBP1,ZDHHC8,LOC150197,TRMT2A,MIR1286	LOC150197	LOC150197	0.9928	163	1
14_MACS_peak_13184_lociStitched	chr17	19095784	19140457	14	40788	41318.0577	4645.992	164		EPN2	EPN2	EPN2	0.0007999999999999952	164	1
23_MACS_peak_27569_lociStitched	chr4	8876620	8922592	23	40723	48918.8052	3801.8844	165		LOC650293,HMX1	HMX1	HMX1	0.743	165	1
11_MACS_peak_32242_lociStitched	chr8	144927602	144971080	11	40597	57260.526	4234.7572	166	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	EPPK1	0.9783000000000001	166	1
10_MACS_peak_16558_lociStitched	chr19	7828002	7870570	10	40479	53039.728	5435.9336	167	CLEC4M,CLEC4GP1	EVI5L,CLEC4G,CD209	CLEC4GP1	CLEC4GP1	0.9975	167	1
4_MACS_peak_33936_lociStitched	chr9	139013608	139054601	4	40364	62821.7725	3066.2764	168		NACC2,C9orf69,LHX3	C9orf69	NACC2	1.1405	168	1
7_MACS_peak_6967_lociStitched	chr11	64474361	64516452	7	40355	64462.3665	4672.101	169	NRXN2,RASGRP2,PYGM	SF1	NRXN2	NRXN2	1.0644	169	1
7_MACS_peak_33328_lociStitched	chr9	136491760	136533345	7	40244	53469.993	3039.8635	170	DBH,SARDH	FAM163B	DBH	FAM163B	1.3644	170	1
4_MACS_peak_26704_lociStitched	chr4	3458577	3499314	4	40052	75347.1552	3552.2664	171	DOK7	HGFAC,LRPAP1	DOK7	DOK7	1.7213	171	1
5_MACS_peak_15813_lociStitched	chr19	1508316	1549465	5	40031	77240.7879	5402.8637	172	PLK5P,ADAMTSL5	REEP6,C19orf25,PCSK4,MEX3D,MBD3	PLK5P	PLK5P	2.0020000000000002	172	1
4_MACS_peak_23784_lociStitched	chr22	20197425	20237426	4	39732	61805.5451	3392.0848	173	RTN4R,MIR1286	LOC150197	MIR1286	LOC150197	0.9928	173	1
9_MACS_peak_26743_lociStitched	chr4	3626474	3666903	9	39699	52565.7858	3569.8807	174		LOC100133461	LOC100133461	LOC100133461	1.0960999999999999	174	1
13_MACS_peak_22855_lociStitched	chr20	61646169	61687913	13	39487	55786.6816	3423.008	175	LOC63930,LOC100144597,NCRNA00029	HAR1A,BHLHE23,HAR1B	NCRNA00029	BHLHE23	1.2507	175	1
8_MACS_peak_12927_lociStitched	chr17	7675585	7716709	8	39367	48991.0212	3742.284	176	DNAH2	RPL29P2,KDM6B,TMEM88,CYB5D1,LSMD1	RPL29P2	RPL29P2	0.5840000000000001	176	1
7_MACS_peak_23266_lociStitched	chr21	43829517	43870245	7	39257	55438.9536	5608.2456	177	UBASH3A	SLC37A1,TFF1,TMPRSS3,RSPH1	UBASH3A	TFF1	1.7080000000000002	177	1
15_MACS_peak_33223_lociStitched	chr9	136027527	136070412	15	39145	48520.089	4164.1335	178	GBGT1	RALGDS,OBP2B	GBGT1	OBP2B	1.1147	178	1
9_MACS_peak_4886_lociStitched	chr1	228744023	228784500	9	39036	40622.7172	18214.65	179	DUSP5P		DUSP5P	DUSP5P	0.3525	179	1
10_MACS_peak_1871_lociStitched	chr1	11911994	11953640	10	39009	50641.536	3893.901	180	NPPB	CLCN6,PLOD1,MTHFR,NPPA,KIAA2013	NPPB	NPPB	0.9016000000000001	180	1
10_MACS_peak_29278_lociStitched	chr7	2532333	2573134	10	38909	55448.559	3341.6019	181	LFNG	IQCE,C7orf27	LFNG	LFNG	1.1341999999999999	181	1
9_MACS_peak_32601_lociStitched	chr9	129427549	129468989	9	38784	59789.632	3969.952	182	LMX1B		LMX1B	LMX1B	1.4023	182	1
5_MACS_peak_6240_lociStitched	chr11	1026031	1066061	5	38625	64396.261	3878.907	183	MUC6	MUC2	MUC6	MUC2	1.0971000000000002	183	1
7_MACS_peak_5513_lociStitched	chr10	102482435	102522315	7	38566	64968.508	3984.012	184	PAX2		PAX2	PAX2	0.9396	184	1
17_MACS_peak_25145_lociStitched	chr22	44964405	45008761	17	38397	45385.0592	3131.5336	185	NCRNA00207		NCRNA00207	NCRNA00207	0.81	185	1
5_MACS_peak_23560_lociStitched	chr21	46817416	46856489	5	38260	77466.1298	4430.8782	186	COL18A1,NCRNA00175	COL18A1	NCRNA00175	NCRNA00175	2.3989000000000003	186	1
7_MACS_peak_16325_lociStitched	chr19	5991490	6030577	7	38164	57160.8288	5026.5882	187	RFX2	RANBP3	RANBP3	NONE	NONE	187	1
13_MACS_peak_19638_lociStitched	chr19	49173367	49214711	13	38002	46855.1552	3373.6704	188	SEC1,FUT2,NTN5	FGF21,DBP,CA11,MAMSTR,RASIP1,IZUMO1,FUT1	FUT2	FUT2	1.0144	188	1
17_MACS_peak_19282_lociStitched	chr19	46900224	46942253	17	37957	46370.5957	3757.3926	189	CCDC8	PPP5C,PNMAL1	CCDC8	PNMAL1	1.0921999999999998	189	1
10_MACS_peak_33940_lociStitched	chr9	139056752	139096657	10	37914	60053.0345	3028.7895	190	LHX3	C9orf69,QSOX2	LHX3	LHX3	1.1354000000000002	190	1
10_MACS_peak_23608_lociStitched	chr21	47357497	47396911	10	37805	60961.6338	4926.75	191	PCBP3	COL6A1	COL6A1	COL6A1	1.3185	191	1
6_MACS_peak_10651_lociStitched	chr16	1044447	1082763	6	37637	59861.0868	2923.5108	192		SOX8,SSTR5,LMF1,LOC146336	SOX8	SOX8	1.4581	192	1
12_MACS_peak_3123_lociStitched	chr1	23033698	23076328	12	37614	45908.247	3926.223	193	EPHB2		EPHB2	EPHB2	0.9917	193	1
12_MACS_peak_6282_lociStitched	chr11	1236684	1275934	12	37589	48195.075	2731.8	194	MUC5B		MUC5B	MUC5B	0.9494	194	1
7_MACS_peak_15780_lociStitched	chr19	822562	861027	7	37563	65121.245	4531.177	195	AZU1,PRTN3,ELANE,CFD	PTBP1,MIR3187,LPPR3,MED16	PRTN3	PRTN3	1.8446	195	1
13_MACS_peak_15041_lociStitched	chr17	77015496	77057339	13	37497	59626.275	3862.1089	196	C1QTNF1	ENGASE,LGALS3BP,CANT1	C1QTNF1	C1QTNF1	1.2796	196	1
12_MACS_peak_4492_lociStitched	chr1	156820755	156859116	12	37469	56628.5082	6210.6459	197	NTRK1,INSRR	PEAR1,C1orf92,SH2D2A,MIR765	NTRK1	PEAR1	1.5088000000000001	197	1
6_MACS_peak_14045_lociStitched	chr17	47553773	47592167	6	37454	57199.3812	3705.021	198	NGFR		NGFR	NGFR	1.3744	198	1
6_MACS_peak_9192_lociStitched	chr13	113627539	113665769	6	37405	56939.762	3585.974	199	MCF2L	LOC100289410	MCF2L	MCF2L	1.1578000000000002	199	1
15_MACS_peak_26973_lociStitched	chr4	7136511	7176216	15	37345	47026.602	3390.807	200		SORCS2,FLJ36777	SORCS2	FLJ36777	0.7894	200	1
7_MACS_peak_24649_lociStitched	chr22	37885447	37923957	7	37221	45645.903	3619.94	201	CARD10	CDC42EP1,MFNG	CARD10	CARD10	1.0144	201	1
13_MACS_peak_32984_lociStitched	chr9	133934435	133974585	13	37203	54656.195	3212	202	LAMC3,AIF1L	NUP214	AIF1L	AIF1L	0.8914	202	1
23_MACS_peak_30404_lociStitched	chr7	155313367	155354689	23	37170	44301.3162	4987.5654	203	CNPY1		CNPY1	CNPY1	0.6537999999999999	203	1
13_MACS_peak_15347_lociStitched	chr17	78478063	78517394	13	37104	46697.6963	3233.0082	204		RPTOR,NPTX1	RPTOR	NPTX1	1.6361999999999999	204	1
10_MACS_peak_10800_lociStitched	chr16	2853730	2892931	10	37048	51737.4798	3324.2448	205	PRSS41,PRSS21,ZG16B,PRSS30P	FLYWCH2,TCEB2,PRSS33,PRSS22	PRSS21	PRSS21	1.4049	205	1
9_MACS_peak_16056_lociStitched	chr19	3708040	3746996	9	37038	59594.8888	5609.664	206	TJP3	MRPL54,PIP5K1C,APBA3,RAX2,MATK	TJP3	MATK	1.2692999999999999	206	1
5_MACS_peak_24871_lociStitched	chr22	42918415	42956925	5	36993	55465.953	6138.494	207	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	SERHL	0.7157	207	1
9_MACS_peak_25974_lociStitched	chr3	13668281	13707021	9	36677	46608.094	3649.308	208	FBLN2,LOC285375		LOC285375	LOC285375	0.3895	208	1
8_MACS_peak_23644_lociStitched	chr21	47466806	47505850	8	36485	56051.5664	4997.632	209		COL6A2	COL6A2	COL6A2	1.1875	209	1
8_MACS_peak_32870_lociStitched	chr9	133249141	133286485	8	36475	47695.7568	3032.3328	210		ASS1	ASS1	ASS1	0.5957	210	1
10_MACS_peak_22253_lociStitched	chr20	57179851	57218426	10	36475	41672.5725	3174.7225	211	LOC149773	STX16,NPEPL1	STX16	NPEPL1	0.0786	211	1
11_MACS_peak_3893_lociStitched	chr1	32125613	32164650	11	36290	43252.996	3743.6483	212	COL16A1	HCRTR1,PEF1	COL16A1	COL16A1	0.8219000000000001	212	1
16_MACS_peak_12551_lociStitched	chr17	1150411	1191506	16	36245	45434.632	3521.8415	213	BHLHA9,TUSC5		BHLHA9	BHLHA9	0.8453	213	1
6_MACS_peak_33195_lociStitched	chr9	135848140	135885569	6	36197	50016.3727	3409.7819	214	GFI1B	GTF3C5,TSC1	GFI1B	GFI1B	1.3479999999999999	214	1
11_MACS_peak_19396_lociStitched	chr19	47940014	47978957	11	36114	44558.5806	3341.3094	215	SLC8A2,KPTN	MEIS3,NAPA	SLC8A2	MEIS3	1.4156	215	1
10_MACS_peak_22894_lociStitched	chr20	61779430	61817409	10	36107	49570.1908	2856.0208	216	MIR124-3	HAR1A,BIRC7,HAR1B,YTHDF1	MIR124-3	BIRC7	1.7556999999999998	216	1
11_MACS_peak_6471_lociStitched	chr11	2304645	2343001	11	35832	47580.618	3129.8496	217	TSPAN32,C11orf21	ASCL2	TSPAN32	TSPAN32	1.1709	217	1
8_MACS_peak_33282_lociStitched	chr9	136286600	136324484	8	35774	53628.5904	3348.9456	218	ADAMTS13	C9orf96,C9orf7,SURF4,REXO4,SLC2A6	ADAMTS13	ADAMTS13	0.9446000000000001	218	1
8_MACS_peak_29840_lociStitched	chr7	100743449	100781647	8	35662	48683.351	3560.0536	219	SERPINE1	TRIM56,AP1S1,VGF,C7orf52	SERPINE1	C7orf52	1.2446000000000002	219	1
13_MACS_peak_6491_lociStitched	chr11	2370677	2409945	13	35626	43618.8944	3514.486	220	CD81	TSPAN32,TSSC4,C11orf21,TRPM5	CD81	TRPM5	1.422	220	1
6_MACS_peak_16136_lociStitched	chr19	4732103	4768163	6	35537	54555.174	5308.032	221		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	C19orf30	0.8662	221	1
7_MACS_peak_30139_lociStitched	chr7	150940805	150977793	7	35500	71216.6952	5603.682	222	SMARCD3	CHPF2,MIR671,ABCF2	SMARCD3	SMARCD3	1.3348	222	1
14_MACS_peak_29730_lociStitched	chr7	100210472	100250463	14	35432	47269.362	3915.1189	223	MOSPD3,TFR2,ACTL6B	FBXO24,PCOLCE,GNB2,SAP25,LRCH4,GIGYF1	TFR2	TFR2	1.1413	223	1
9_MACS_peak_26806_lociStitched	chr4	3851896	3889219	9	35424	46642.5531	3519.5589	224			LOC348926	LOC348926	NONE	224	1
9_MACS_peak_53_lociStitched	chr1	977172	1016117	9	35325	53526.008	2870.2465	225	AGRN	ISG15,HES4,C1orf159	AGRN	HES4	1.4945	225	1
8_MACS_peak_24842_lociStitched	chr22	42795503	42831829	8	35192	45385.7044	3367.4202	226	NFAM1		NFAM1	NFAM1	0.9654	226	1
17_MACS_peak_27004_lociStitched	chr4	7234819	7273958	17	35160	40724.1295	2876.7165	227	SORCS2		SORCS2	SORCS2	0.7394	227	1
5_MACS_peak_10767_lociStitched	chr16	2325164	2361762	5	35130	54549.319	3509.7482	228	ABCA3	DNASE1L2,MIR3677,MIR940,ABCA17P,DCI,RNPS1	MIR940	MIR940	0.2682	228	1
5_MACS_peak_33951_lociStitched	chr9	139216955	139252375	5	35117	70765.618	2861.936	229	GPSM1,LOC26102	DNLZ,CARD9,SNAPC4	GPSM1	GPSM1	1.6393	229	1
5_MACS_peak_21020_lociStitched	chr2	220325928	220362830	5	34824	56806.9388	3490.9292	230	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	SPEG	SPEG	1.2315	230	1
9_MACS_peak_6426_lociStitched	chr11	2101835	2138236	9	34813	44336.418	3163.2469	231		IGF2AS,MIR483,IGF2,INS	MIR483	MIR483	1.3759	231	1
16_MACS_peak_2137_lociStitched	chr1	17821193	17860892	16	34762	40862.1807	3858.7428	232		ARHGEF10L	ARHGEF10L	ARHGEF10L	0.9916	232	1
11_MACS_peak_1854_lociStitched	chr1	11746524	11782898	11	34702	47944.5694	3524.6406	233	C1orf187,MAD2L2	FBXO44,FBXO6,AGTRAP,FBXO2,MAD2L2	C1orf187	C1orf187	1.1756	233	1
10_MACS_peak_200_lociStitched	chr1	2080514	2117965	10	34669	43840.1406	2801.3348	234	PRKCZ,C1orf86	SKI,LOC100128003,C1orf86	LOC100128003	C1orf86	0.7507	234	1
8_MACS_peak_21390_lociStitched	chr20	30426296	30463057	8	34468	50722.8278	3988.5685	235	TTLL9,FOXS1,DUSP15	MYLK2	FOXS1	FOXS1	1.269	235	1
8_MACS_peak_13325_lociStitched	chr17	26831477	26867727	8	34431	48944.75	3936.75	236	FOXN1	SLC13A2,UNC119,PIGS,ALDOC	FOXN1	FOXN1	1.0889000000000002	236	1
4_MACS_peak_16110_lociStitched	chr19	4275859	4311006	4	34295	58333.4759	4625.3452	237	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	TMIGD2	1.5495999999999999	237	1
9_MACS_peak_14810_lociStitched	chr17	74871625	74906592	9	34271	44436.0636	3049.1224	238	MGAT5B		MGAT5B	MGAT5B	1.0914	238	1
4_MACS_peak_33562_lociStitched	chr9	137682552	137717194	4	34111	47840.602	2941.1058	239	COL5A1	MIR3689B,MIR3689A	MIR3689B	MIR3689A	0.1121	239	1
15_MACS_peak_12846_lociStitched	chr17	7079980	7117351	15	34069	47752.6638	3561.4563	240	ASGR1,DLG4	ACADVL,C17orf81,MIR324,DVL2,PHF23,GABARAP,CTDNEP1,CLDN7	ASGR1	ASGR1	0.9325000000000001	240	1
14_MACS_peak_13170_lociStitched	chr17	19053130	19089440	14	33986	32472.033	3852.491	241	GRAPL		GRAPL	GRAPL	0.3498	241	1
5_MACS_peak_16121_lociStitched	chr19	4508311	4542912	5	33928	64049.9111	4809.539	242	PLIN4,PLIN5,LRG1,SEMA6B	HDGFRP2	PLIN4	PLIN4	0.9607000000000001	242	1
15_MACS_peak_98_lociStitched	chr1	1356205	1395305	15	33791	43334.53	2944.23	243	TMEM88B,VWA1,ATAD3C,LOC441869	LOC148413,ATAD3B,AURKAIP1,CCNL2,MRPL20	VWA1	VWA1	0.9537000000000001	243	1
11_MACS_peak_22285_lociStitched	chr20	57353232	57390460	11	33767	44115.18	2892.6156	244		GNAS,MIR296,MIR298,GNAS-AS	MIR296	MIR296	0.5758	244	1
9_MACS_peak_25069_lociStitched	chr22	44732701	44768105	9	33733	41624.4828	2687.1636	245		KIAA1644	KIAA1644	KIAA1644	0.9679000000000001	245	1
12_MACS_peak_21867_lociStitched	chr20	48955783	48992211	12	33711	38355.0412	3533.516	246		LOC284751	LOC284751	LOC284751	0.9251999999999999	246	1
18_MACS_peak_24534_lociStitched	chr22	37104169	37143143	18	33625	40969.4688	3402.4302	247		CACNG2,IFT27	CACNG2	CACNG2	0.926	247	1
2_MACS_peak_30122_lociStitched	chr7	149498141	149531806	2	33547	71097.1135	4056.6325	248	SSPO	ZNF862,ATP6V0E2,ZNF467,LOC401431	ZNF862	ZNF467	0.7988	248	1
13_MACS_peak_14950_lociStitched	chr17	76290686	76329471	13	33547	43241.3965	3669.061	249		PGS1,SOCS3	SOCS3	SOCS3	0.9771	249	1
7_MACS_peak_16015_lociStitched	chr19	3323979	3359402	7	33545	47087.7939	4466.8403	250		NFIC	NFIC	NFIC	1.359	250	1
10_MACS_peak_33244_lociStitched	chr9	136092369	136128273	10	33447	42610.8672	3159.552	251		OBP2B,ABO	OBP2B	OBP2B	1.1147	251	1
11_MACS_peak_14995_lociStitched	chr17	76477537	76512536	11	33351	42366.2895	2922.4165	252	DNAH17		DNAH17	DNAH17	0.8832000000000001	252	1
13_MACS_peak_10638_lociStitched	chr16	1006691	1043151	13	33311	44871.322	2461.05	253	SOX8,LMF1		LMF1	LMF1	0.9703000000000002	253	1
5_MACS_peak_19390_lociStitched	chr19	47902760	47936098	5	33198	49043.5318	3287.1268	254	MEIS3,SLC8A2		MEIS3	MEIS3	1.4156	254	1
17_MACS_peak_19555_lociStitched	chr19	48772061	48810474	17	33112	39634.5334	3526.3134	255	ZNF114,CCDC114	EMP3,CARD8	ZNF114	ZNF114	0.7974	255	1
17_MACS_peak_3136_lociStitched	chr1	23079667	23117625	17	33049	40489.7986	3651.5596	256	EPHB2		EPHB2	EPHB2	0.9917	256	1
17_MACS_peak_2868_lociStitched	chr1	20847895	20887246	17	32835	37151.2791	3675.3834	257	FAM43B	CDA,CAMK2N1,MUL1	FAM43B	CAMK2N1	1.1797	257	1
4_MACS_peak_16099_lociStitched	chr19	4140379	4173672	4	32800	62837.2082	4534.5066	258	CREB3L3	ANKRD24,MAP2K2,SIRT6	CREB3L3	CREB3L3	1.5773000000000001	258	1
5_MACS_peak_45_lociStitched	chr1	913435	947716	5	32769	55092.9951	3332.1132	259	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	HES4	1.4945	259	1
13_MACS_peak_32539_lociStitched	chr9	127232033	127268424	13	32695	43527.2751	2798.4679	260	GPR144,NR5A1		NR5A1	NR5A1	0.9914999999999999	260	1
7_MACS_peak_26265_lociStitched	chr3	50529583	50563415	7	32634	40016.4896	3271.5544	261	CACNA2D2	HEMK1,C3orf18	CACNA2D2	CACNA2D2	0.8958	261	1
15_MACS_peak_8404_lociStitched	chr12	1920540	1956190	15	32503	39721.23	2930.43	262	LRTM2,CACNA2D4		LRTM2	LRTM2	1.1008	262	1
5_MACS_peak_10838_lociStitched	chr16	3075691	3108842	5	32287	48917.6156	3209.0168	263	THOC6,MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	LOC283875	1.6096	263	1
15_MACS_peak_2192_lociStitched	chr1	17980976	18015546	15	32068	37021.013	2610.035	264	ARHGEF10L		ACTL8	ACTL8	NONE	264	1
19_MACS_peak_32922_lociStitched	chr9	133387877	133424021	19	32061	38417.4576	3104.7696	265		FUBP3,LOC100272217	LOC100272217	LOC100272217	0.1124	265	1
12_MACS_peak_33461_lociStitched	chr9	137363843	137398282	12	32027	40486.4884	2958.3101	266			COL5A1	COL5A1	0.9124	266	1
2_MACS_peak_26444_lociStitched	chr3	184274174	184306195	2	31995	55601.2644	4588.6093	267	EPHB3		EPHB3	EPHB3	1.6322	267	1
7_MACS_peak_24952_lociStitched	chr22	43804702	43839085	7	31980	41118.6297	2705.9421	268	MPPED1		MPPED1	MPPED1	0.6791	268	1
5_MACS_peak_22825_lociStitched	chr20	61374552	61408145	5	31977	51269.6366	2989.777	269	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	COL9A3	0.8755000000000001	269	1
11_MACS_peak_16188_lociStitched	chr19	5256722	5292423	11	31969	43480.2479	4273.4097	270	PTPRS		PTPRS	PTPRS	1.041	270	1
8_MACS_peak_14696_lociStitched	chr17	72872995	72906988	8	31659	40801.7979	2957.391	271	FADS6	OTOP2,OTOP3,GRIN2C,FDXR,USH1G	FADS6	OTOP2	1.3635	271	1
3_MACS_peak_28169_lociStitched	chr5	176266501	176297944	3	31339	52047.5979	2936.7762	272	UNC5A	HK3	HK3	HK3	0.8798	272	1
19_MACS_peak_19200_lociStitched	chr19	46458078	46494331	19	31278	36648.1577	3436.7844	273	NOVA2	CCDC61,MIR769,NANOS2,PGLYRP1,IGFL4	NOVA2	NANOS2	0.8255	273	1
6_MACS_peak_2674_lociStitched	chr1	19354290	19386518	6	31265	40594.3888	3177.6808	274			IFFO2	IFFO2	NONE	274	1
6_MACS_peak_3069_lociStitched	chr1	22871564	22903306	6	31250	40274.2496	2939.3092	275	EPHA8		EPHA8	EPHA8	1.1462999999999999	275	1
8_MACS_peak_26208_lociStitched	chr3	50216166	50248960	8	31248	44957.2946	3148.224	276	SEMA3F,GNAT1,SLC38A3	GNAI2	GNAT1	GNAT1	1.2501	276	1
14_MACS_peak_25079_lociStitched	chr22	44775470	44809824	14	31209	37682.9026	2476.9234	277			KIAA1644	KIAA1644	0.9679000000000001	277	1
6_MACS_peak_19338_lociStitched	chr19	47114681	47146854	6	31012	47046.5779	4114.9267	278	PTGIR,GNG8	CALM3,DACT3	PTGIR	PTGIR	1.3966999999999998	278	1
10_MACS_peak_16894_lociStitched	chr19	11357014	11390170	10	30740	39843.5652	3352.0716	279	DOCK6	LOC55908,TSPAN16,KANK2	DOCK6	LOC55908	0.9087000000000001	279	1
14_MACS_peak_26990_lociStitched	chr4	7196765	7231046	14	30709	33763.3569	2560.7907	280	SORCS2		SORCS2	SORCS2	0.7394	280	1
14_MACS_peak_6246_lociStitched	chr11	1070808	1105991	14	30655	44633.1538	2990.555	281	MUC2	MUC6	MUC2	MUC2	1.0971000000000002	281	1
14_MACS_peak_31126_lociStitched	chr8	1882079	1916683	14	30597	39580.0552	2868.6716	282	ARHGEF10	KBTBD11	KBTBD11	KBTBD11	0.6748999999999999	282	1
12_MACS_peak_3181_lociStitched	chr1	23217312	23250089	12	30438	35933.4251	3126.9258	283	EPHB2	MIR4253	MIR4253	MIR4253	0.9056	283	1
11_MACS_peak_21772_lociStitched	chr20	44930441	44962493	11	30372	38298.9348	3266.0988	284		SLC35C2	SLC35C2	NONE	NONE	284	1
3_MACS_peak_15341_lociStitched	chr17	78431247	78461974	3	30335	47811.212	2445.8692	285	NPTX1	FLJ35220,LOC100294362	NPTX1	NPTX1	1.6361999999999999	285	1
8_MACS_peak_20221_lociStitched	chr19	55631092	55663258	8	30294	38078.1108	3110.4522	286	TNNT1,TNNI3	EPS8L1,PPP1R12C,C19orf51,SYT5	TNNT1	SYT5	1.1446999999999998	286	1
4_MACS_peak_19756_lociStitched	chr19	49915810	49946163	4	30196	42202.8112	2658.9228	287	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	LOC645971	1.4595	287	1
11_MACS_peak_16651_lociStitched	chr19	8265774	8297556	11	30191	35986.7586	3769.3452	288	LASS4		LASS4	LASS4	0.7602	288	1
3_MACS_peak_23244_lociStitched	chr21	43715663	43746338	3	29977	49954.2375	4552.17	289	ABCG1,TFF3	TFF2,TFF1	TFF3	TFF3	1.9009000000000003	289	1
9_MACS_peak_15332_lociStitched	chr17	78396091	78427719	9	29942	37877.6928	2432.1932	290	FLJ35220	LOC100294362,NPTX1	LOC100294362	NPTX1	1.6361999999999999	290	1
14_MACS_peak_25759_lociStitched	chr22	50493562	50526976	14	29844	39525.4206	2636.3646	291	MLC1	MOV10L1,IL17REL,TTLL8	MLC1	TTLL8	1.1125	291	1
5_MACS_peak_16031_lociStitched	chr19	3437397	3467745	5	29749	45109.2672	3250.2708	292	NFIC	FZR1,C19orf77,DOHH	C19orf77	C19orf77	1.2159	292	1
6_MACS_peak_13485_lociStitched	chr17	36716128	36747597	6	29730	50378.7221	2926.617	293	SRCIN1		SRCIN1	SRCIN1	1.0826	293	1
