REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X29_0F2F_0229Kronos_MM1S.KB.24hr.1_H3K27me3_hs.dm_i17.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
16_MACS_peak_6361_lociStitched	chr11	1715693	1766901	16	47742	59268.1392	4731.6192	165	KRTAP5-6,MOB2,LOC402778	FAM99A,FAM99B,CTSD	KRTAP5-6	165	1
9_MACS_peak_9198_lociStitched	chr13	113667018	113710913	9	41685	58314.5075	4130.5195	166	MCF2L	F7,LOC100289410	MCF2L	166	1
13_MACS_peak_25304_lociStitched	chr22	45320275	45370923	13	46580	58230.0056	4051.84	167	PHF21B		PHF21B	167	1
23_MACS_peak_27084_lociStitched	chr4	7459054	7513718	23	49885	58069.5672	3935.808	168	SORCS2,MIR4274	PSAPL1	MIR4274	168	1
20_MACS_peak_17157_lociStitched	chr19	14269047	14323278	20	50711	58520.6721	4484.9037	169	LPHN1	PRKACA,ASF1B	LPHN1	169	1
9_MACS_peak_16056_lociStitched	chr19	3708040	3746996	9	37038	59594.8888	5609.664	170	TJP3	MRPL54,PIP5K1C,APBA3,RAX2,MATK	TJP3	170	1
13_MACS_peak_33023_lociStitched	chr9	134679383	134725415	13	42703	58262.7024	4299.3888	171			RAPGEF1	171	1
4_MACS_peak_16110_lociStitched	chr19	4275859	4311006	4	34295	58333.4759	4625.3452	172	SHD,FSD1,TMIGD2	EBI3,CCDC94,MPND,STAP2	TMIGD2	172	1
17_MACS_peak_24470_lociStitched	chr22	36941543	36993875	17	47046	58522.8756	4830.2436	173	CACNG2	FOXRED2,EIF3D	EIF3D	173	1
6_MACS_peak_14045_lociStitched	chr17	47553773	47592167	6	37454	57199.3812	3705.021	174	NGFR		NGFR	174	1
6_MACS_peak_9192_lociStitched	chr13	113627539	113665769	6	37405	56939.762	3585.974	175	MCF2L	LOC100289410	MCF2L	175	1
5_MACS_peak_21020_lociStitched	chr2	220325928	220362830	5	34824	56806.9388	3490.9292	176	SPEG	DES,GMPPA,ACCN4,TMEM198,CHPF	SPEG	176	1
8_MACS_peak_14037_lociStitched	chr17	47508211	47552541	8	43418	57447.247	4158.154	177		NGFR,PHB	PHB	177	1
11_MACS_peak_32242_lociStitched	chr8	144927602	144971080	11	40597	57260.526	4234.7572	178	EPPK1	MIR937,SCRIB,PUF60,NRBP2,PLEC,MIR661	EPPK1	178	1
13_MACS_peak_22855_lociStitched	chr20	61646169	61687913	13	39487	55786.6816	3423.008	179	LOC63930,LOC100144597,NCRNA00029	HAR1A,BHLHE23,HAR1B	NCRNA00029	179	1
7_MACS_peak_16325_lociStitched	chr19	5991490	6030577	7	38164	57160.8288	5026.5882	180	RFX2	RANBP3	RANBP3	180	1
10_MACS_peak_29278_lociStitched	chr7	2532333	2573134	10	38909	55448.559	3341.6019	181	LFNG	IQCE,C7orf27	LFNG	181	1
5_MACS_peak_45_lociStitched	chr1	913435	947716	5	32769	55092.9951	3332.1132	182	C1orf170,HES4	KLHL17,PLEKHN1,ISG15,AGRN,NOC2L	HES4	182	1
13_MACS_peak_32984_lociStitched	chr9	133934435	133974585	13	37203	54656.195	3212.0	183	LAMC3,AIF1L	NUP214	AIF1L	183	1
8_MACS_peak_23644_lociStitched	chr21	47466806	47505850	8	36485	56051.5664	4997.632	184		COL6A2	COL6A2	184	1
5_MACS_peak_10767_lociStitched	chr16	2325164	2361762	5	35130	54549.319	3509.7482	185	ABCA3	DNASE1L2,MIR3677,MIR940,ABCA17P,DCI,RNPS1	MIR940	185	1
2_MACS_peak_26444_lociStitched	chr3	184274174	184306195	2	31995	55601.2644	4588.6093	186	EPHB3		EPHB3	186	1
22_MACS_peak_15200_lociStitched	chr17	77685200	77734648	22	43414	55772.3992	4766.7872	187	ENPP7	CBX2,CBX8	ENPP7	187	1
28_MACS_peak_17395_lociStitched	chr19	15278801	15334193	28	45822	55835.136	5024.0544	188	NOTCH3	ILVBL,EPHX3	NOTCH3	188	1
1_MACS_peak_30121_lociStitched	chr7	149470082	149495771	1	25690	54786.9303	3976.6572	189	SSPO,ZNF467	ZNF862	SSPO	189	1
9_MACS_peak_53_lociStitched	chr1	977172	1016117	9	35325	53526.008	2870.2465	190	AGRN	ISG15,HES4,C1orf159	AGRN	190	1
7_MACS_peak_33328_lociStitched	chr9	136491760	136533345	7	40244	53469.993	3039.8635	191	DBH,SARDH	FAM163B	DBH	191	1
12_MACS_peak_4492_lociStitched	chr1	156820755	156859116	12	37469	56628.5082	6210.6459	192	NTRK1,INSRR	PEAR1,C1orf92,SH2D2A,MIR765	NTRK1	192	1
8_MACS_peak_33282_lociStitched	chr9	136286600	136324484	8	35774	53628.5904	3348.9456	193	ADAMTS13	C9orf96,C9orf7,SURF4,REXO4,SLC2A6	ADAMTS13	193	1
1_MACS_peak_33950_lociStitched	chr9	139138348	139166985	1	28638	52643.3971	2448.4635	194		LHX3,QSOX2	QSOX2	194	1
1_MACS_peak_4467_lociStitched	chr1	156388717	156415475	1	26759	54741.5164	4655.892	195	C1orf61,MIR9-1	RHBG	C1orf61	195	1
7_MACS_peak_23266_lociStitched	chr21	43829517	43870245	7	39257	55438.9536	5608.2456	196	UBASH3A	SLC37A1,TFF1,TMPRSS3,RSPH1	UBASH3A	196	1
2_MACS_peak_29817_lociStitched	chr7	100632611	100650799	2	17677	52930.7176	3148.3428	197	MUC12	MUC17	MUC17	197	1
20_MACS_peak_33859_lociStitched	chr9	138546253	138593498	20	41556	52829.359	3392.191	198	LCN9,SOHLH1	KCNT1,GLT6D1	LCN9	198	1
5_MACS_peak_24871_lociStitched	chr22	42918415	42956925	5	36993	55465.953	6138.494	199	SERHL2	SERHL,RRP7A,RRP7B	SERHL2	199	1
6_MACS_peak_16136_lociStitched	chr19	4732103	4768163	6	35537	54555.174	5308.032	200		C19orf30,MIR7-3,FEM1A,DPP9	C19orf30	200	1
3_MACS_peak_28169_lociStitched	chr5	176266501	176297944	3	31339	52047.5979	2936.7762	201	UNC5A	HK3	HK3	201	1
9_MACS_peak_26743_lociStitched	chr4	3626474	3666903	9	39699	52565.7858	3569.8807	202		LOC100133461	LOC100133461	202	1
10_MACS_peak_24978_lociStitched	chr22	44212841	44257707	10	42801	52600.8984	3643.1192	203	SULT4A1	EFCAB6,PNPLA5	SULT4A1	203	1
10_MACS_peak_10800_lociStitched	chr16	2853730	2892931	10	37048	51737.4798	3324.2448	204	PRSS41,PRSS21,ZG16B,PRSS30P	FLYWCH2,TCEB2,PRSS33,PRSS22	PRSS21	204	1
5_MACS_peak_22825_lociStitched	chr20	61374552	61408145	5	31977	51269.6366	2989.777	205	NTSR1	C20orf20,OGFR,COL9A3	C20orf20	205	1
21_MACS_peak_18341_lociStitched	chr19	36319624	36370363	21	44107	51875.5536	3856.164	206	KIRREL2,APLP1,NPHS1	HCST,PRODH2,NFKBID,TYROBP	NPHS1	206	1
10_MACS_peak_16558_lociStitched	chr19	7828002	7870570	10	40479	53039.728	5435.9336	207	CLEC4M,CLEC4GP1	EVI5L,CLEC4G,CD209	CLEC4GP1	207	1
1_MACS_peak_34217_lociStitched	chrX	19470129	19470518	1	390	47655.1841	102.8905	208	MAP3K15		MAP3K15	208	1
6_MACS_peak_13485_lociStitched	chr17	36716128	36747597	6	29730	50378.7221	2926.617	209	SRCIN1		SRCIN1	209	1
15_MACS_peak_20232_lociStitched	chr19	55673341	55717947	15	41061	51109.5548	3920.8674	210	C19orf51,SYT5,PTPRH	PPP1R12C,TNNT1,TNNI3,TMEM86B	SYT5	210	1
10_MACS_peak_1871_lociStitched	chr1	11911994	11953640	10	39009	50641.536	3893.901	211	NPPB	CLCN6,PLOD1,MTHFR,NPPA,KIAA2013	NPPB	211	1
8_MACS_peak_21390_lociStitched	chr20	30426296	30463057	8	34468	50722.8278	3988.5685	212	TTLL9,FOXS1,DUSP15	MYLK2	FOXS1	212	1
10_MACS_peak_22894_lociStitched	chr20	61779430	61817409	10	36107	49570.1908	2856.0208	213	MIR124-3	HAR1A,BIRC7,HAR1B,YTHDF1	MIR124-3	213	1
6_MACS_peak_33195_lociStitched	chr9	135848140	135885569	6	36197	50016.3727	3409.7819	214	GFI1B	GTF3C5,TSC1	GFI1B	214	1
7_MACS_peak_33989_lociStitched	chr9	139627689	139657042	7	28244	48778.8154	2550.7757	215	LOC100128593,LCN10,LCN6,LCN8,LCN15	FAM69B,TMEM141,KIAA1984,C9orf86,AGPAT2,SNORA43,SNORA17,SNHG7,LOC100131193	LCN6	215	1
6_MACS_peak_34028_lociStitched	chr9	139923581	139954167	6	29327	48916.1898	2979.0764	216	C9orf139,FUT7,NPDC1,ENTPD2	LCNL1,C9orf142,UAP1L1,MAN1B1,CLIC3,ABCA2,C9orf140,LOC100289341	NPDC1	216	1
5_MACS_peak_19390_lociStitched	chr19	47902760	47936098	5	33198	49043.5318	3287.1268	217	MEIS3,SLC8A2		MEIS3	217	1
5_MACS_peak_10838_lociStitched	chr16	3075691	3108842	5	32287	48917.6156	3209.0168	218	THOC6,MMP25,CCDC64B	LOC283875,CLDN9,TNFRSF12A,IL32,PKMYT1,CLDN6,HCFC1R1,ZSCAN10	MMP25	218	1
12_MACS_peak_6282_lociStitched	chr11	1236684	1275934	12	37589	48195.075	2731.8	219	MUC5B		MUC5B	219	1
3_MACS_peak_23244_lociStitched	chr21	43715663	43746338	3	29977	49954.2375	4552.17	220	ABCG1,TFF3	TFF2,TFF1	TFF3	220	1
3_MACS_peak_15341_lociStitched	chr17	78431247	78461974	3	30335	47811.212	2445.8692	221	NPTX1	FLJ35220,LOC100294362	NPTX1	221	1
8_MACS_peak_12927_lociStitched	chr17	7675585	7716709	8	39367	48991.0212	3742.284	222	DNAH2	RPL29P2,KDM6B,TMEM88,CYB5D1,LSMD1	RPL29P2	222	1
14_MACS_peak_33719_lociStitched	chr9	138129838	138177066	14	44718	48923.4852	3707.398	223			OLFM1	223	1
8_MACS_peak_29840_lociStitched	chr7	100743449	100781647	8	35662	48683.351	3560.0536	224	SERPINE1	TRIM56,AP1S1,VGF,C7orf52	SERPINE1	224	1
23_MACS_peak_27569_lociStitched	chr4	8876620	8922592	23	40723	48918.8052	3801.8844	225		LOC650293,HMX1	HMX1	225	1
17_MACS_peak_21841_lociStitched	chr20	48880561	48925055	17	41572	49237.0604	4124.5938	226	LOC284751		LOC284751	226	1
8_MACS_peak_13325_lociStitched	chr17	26831477	26867727	8	34431	48944.75	3936.75	227	FOXN1	SLC13A2,UNC119,PIGS,ALDOC	FOXN1	227	1
4_MACS_peak_33562_lociStitched	chr9	137682552	137717194	4	34111	47840.602	2941.1058	228	COL5A1	MIR3689B,MIR3689A	MIR3689B	228	1
8_MACS_peak_32870_lociStitched	chr9	133249141	133286485	8	36475	47695.7568	3032.3328	229		ASS1	ASS1	229	1
11_MACS_peak_6471_lociStitched	chr11	2304645	2343001	11	35832	47580.618	3129.8496	230	TSPAN32,C11orf21	ASCL2	TSPAN32	230	1
11_MACS_peak_1854_lociStitched	chr1	11746524	11782898	11	34702	47944.5694	3524.6406	231	C1orf187,MAD2L2	FBXO44,FBXO6,AGTRAP,FBXO2,MAD2L2	C1orf187	231	1
15_MACS_peak_33223_lociStitched	chr9	136027527	136070412	15	39145	48520.089	4164.1335	232	GBGT1	RALGDS,OBP2B	GBGT1	232	1
15_MACS_peak_12846_lociStitched	chr17	7079980	7117351	15	34069	47752.6638	3561.4563	233	ASGR1,DLG4	ACADVL,C17orf81,MIR324,DVL2,PHF23,GABARAP,CTDNEP1,CLDN7	ASGR1	233	1
15_MACS_peak_26973_lociStitched	chr4	7136511	7176216	15	37345	47026.602	3390.807	234		SORCS2,FLJ36777	SORCS2	234	1
4_MACS_peak_4504_lociStitched	chr1	156860296	156887345	4	25576	47606.24	3992.4324	235	PEAR1	NTRK1,C1orf92,INSRR,MIR765	PEAR1	235	1
13_MACS_peak_19638_lociStitched	chr19	49173367	49214711	13	38002	46855.1552	3373.6704	236	SEC1,FUT2,NTN5	FGF21,DBP,CA11,MAMSTR,RASIP1,IZUMO1,FUT1	FUT2	236	1
13_MACS_peak_15347_lociStitched	chr17	78478063	78517394	13	37104	46697.6963	3233.0082	237		RPTOR,NPTX1	RPTOR	237	1
14_MACS_peak_29730_lociStitched	chr7	100210472	100250463	14	35432	47269.362	3915.1189	238	MOSPD3,TFR2,ACTL6B	FBXO24,PCOLCE,GNB2,SAP25,LRCH4,GIGYF1	TFR2	238	1
9_MACS_peak_26806_lociStitched	chr4	3851896	3889219	9	35424	46642.5531	3519.5589	239			LOC348926	239	1
9_MACS_peak_25974_lociStitched	chr3	13668281	13707021	9	36677	46608.094	3649.308	240	FBLN2,LOC285375		LOC285375	240	1
6_MACS_peak_19338_lociStitched	chr19	47114681	47146854	6	31012	47046.5779	4114.9267	241	PTGIR,GNG8	CALM3,DACT3	PTGIR	241	1
7_MACS_peak_16015_lociStitched	chr19	3323979	3359402	7	33545	47087.7939	4466.8403	242		NFIC	NFIC	242	1
17_MACS_peak_19282_lociStitched	chr19	46900224	46942253	17	37957	46370.5957	3757.3926	243	CCDC8	PPP5C,PNMAL1	CCDC8	243	1
6_MACS_peak_20965_lociStitched	chr2	219844685	219873946	6	27957	45895.8785	3283.0842	244	FEV,CRYBA2,MIR375,CCDC108	CDK5R2,LOC151300,CCDC108,MIR3131	CRYBA2	244	1
6_MACS_peak_15386_lociStitched	chr17	79271817	79301311	6	28608	45146.4658	2568.9274	245	C17orf55,TMEM105	SLC38A10	C17orf55	245	1
6_MACS_peak_15222_lociStitched	chr17	77735827	77766145	6	29575	45146.5338	2634.6342	246	CBX2	ENPP7,CBX8,CBX4	CBX2	246	1
13_MACS_peak_10638_lociStitched	chr16	1006691	1043151	13	33311	44871.322	2461.05	247	SOX8,LMF1		LMF1	247	1
6_MACS_peak_15807_lociStitched	chr19	1480625	1506663	6	24408	46001.3346	3684.377	248	REEP6,PCSK4,ADAMTSL5	RPS15,APC2,PLK5P,C19orf25	REEP6	248	1
17_MACS_peak_25145_lociStitched	chr22	44964405	45008761	17	38397	45385.0592	3131.5336	249	NCRNA00207		NCRNA00207	249	1
7_MACS_peak_24649_lociStitched	chr22	37885447	37923957	7	37221	45645.903	3619.94	250	CARD10	CDC42EP1,MFNG	CARD10	250	1
8_MACS_peak_24842_lociStitched	chr22	42795503	42831829	8	35192	45385.7044	3367.4202	251	NFAM1		NFAM1	251	1
12_MACS_peak_3123_lociStitched	chr1	23033698	23076328	12	37614	45908.247	3926.223	252	EPHB2		EPHB2	252	1
16_MACS_peak_12551_lociStitched	chr17	1150411	1191506	16	36245	45434.632	3521.8415	253	BHLHA9,TUSC5		BHLHA9	253	1
5_MACS_peak_16031_lociStitched	chr19	3437397	3467745	5	29749	45109.2672	3250.2708	254	NFIC	FZR1,C19orf77,DOHH	C19orf77	254	1
8_MACS_peak_26208_lociStitched	chr3	50216166	50248960	8	31248	44957.2946	3148.224	255	SEMA3F,GNAT1,SLC38A3	GNAI2	GNAT1	255	1
4_MACS_peak_4483_lociStitched	chr1	156657873	156679423	4	21206	44938.215	3154.92	256	CRABP2	BCAN,C1orf66,NES,ISG20L2,MRPL24,HDGF	CRABP2	256	1
14_MACS_peak_6246_lociStitched	chr11	1070808	1105991	14	30655	44633.1538	2990.555	257	MUC2	MUC6	MUC2	257	1
2_MACS_peak_7471_lociStitched	chr11	70041011	70042805	2	1174	41866.7574	323.9964	258		FADD	FADD	258	1
9_MACS_peak_14810_lociStitched	chr17	74871625	74906592	9	34271	44436.0636	3049.1224	259	MGAT5B		MGAT5B	259	1
21_MACS_peak_18892_lociStitched	chr19	42279658	42326962	21	41441	46343.7288	4990.572	260	CEACAM3	CEACAM6,DMRTC2,RPS19,LYPD4	CEACAM3	260	1
5_MACS_peak_4630_lociStitched	chr1	201316359	201346501	5	29627	45026.1196	3782.821	261	TNNT2	LAD1,TNNI1	TNNT2	261	1
11_MACS_peak_22285_lociStitched	chr20	57353232	57390460	11	33767	44115.18	2892.6156	262		GNAS,MIR296,MIR298,GNAS-AS	MIR296	262	1
11_MACS_peak_19396_lociStitched	chr19	47940014	47978957	11	36114	44558.5806	3341.3094	263	SLC8A2,KPTN	MEIS3,NAPA	SLC8A2	263	1
9_MACS_peak_6426_lociStitched	chr11	2101835	2138236	9	34813	44336.418	3163.2469	264		IGF2AS,MIR483,IGF2,INS	MIR483	264	1
10_MACS_peak_200_lociStitched	chr1	2080514	2117965	10	34669	43840.1406	2801.3348	265	PRKCZ,C1orf86	SKI,LOC100128003,C1orf86	LOC100128003	265	1
13_MACS_peak_32539_lociStitched	chr9	127232033	127268424	13	32695	43527.2751	2798.4679	266	GPR144,NR5A1		NR5A1	266	1
12_MACS_peak_23618_lociStitched	chr21	47398153	47425264	12	24354	42781.158	2263.7685	267	COL6A1		COL6A1	267	1
15_MACS_peak_98_lociStitched	chr1	1356205	1395305	15	33791	43334.53	2944.23	268	TMEM88B,VWA1,ATAD3C,LOC441869	LOC148413,ATAD3B,AURKAIP1,CCNL2,MRPL20	VWA1	268	1
9_MACS_peak_22921_lociStitched	chr20	61985927	62018015	9	29316	42660.996	2284.6656	269	CHRNA4		CHRNA4	269	1
13_MACS_peak_6491_lociStitched	chr11	2370677	2409945	13	35626	43618.8944	3514.486	270	CD81	TSPAN32,TSSC4,C11orf21,TRPM5	CD81	270	1
6_MACS_peak_12608_lociStitched	chr17	1904511	1933229	6	27118	42660.589	2716.7228	271	RTN4RL1	DPH1,OVCA2,HIC1,MIR132,MIR212	RTN4RL1	271	1
2_MACS_peak_6510_lociStitched	chr11	2426164	2449408	2	22594	41732.2776	1852.5468	272	TRPM5	CD81,TSSC4,KCNQ1	TRPM5	272	1
13_MACS_peak_14950_lociStitched	chr17	76290686	76329471	13	33547	43241.3965	3669.061	273		PGS1,SOCS3	SOCS3	273	1
4_MACS_peak_19756_lociStitched	chr19	49915810	49946163	4	30196	42202.8112	2658.9228	274	CCDC155,LOC645971,PTH2,SLC17A7	DKKL1,ALDH16A1,FLT3LG,RPL13AP5,SNORD32A,SNORD33,SNORD34,SNORD35A,PIH1D1	LOC645971	274	1
11_MACS_peak_3893_lociStitched	chr1	32125613	32164650	11	36290	43252.996	3743.6483	275	COL16A1	HCRTR1,PEF1	COL16A1	275	1
10_MACS_peak_33244_lociStitched	chr9	136092369	136128273	10	33447	42610.8672	3159.552	276		OBP2B,ABO	OBP2B	276	1
11_MACS_peak_14995_lociStitched	chr17	76477537	76512536	11	33351	42366.2895	2922.4165	277	DNAH17		DNAH17	277	1
23_MACS_peak_30404_lociStitched	chr7	155313367	155354689	23	37170	44301.3162	4987.5654	278	CNPY1		CNPY1	278	1
11_MACS_peak_16188_lociStitched	chr19	5256722	5292423	11	31969	43480.2479	4273.4097	279	PTPRS		PTPRS	279	1
9_MACS_peak_25069_lociStitched	chr22	44732701	44768105	9	33733	41624.4828	2687.1636	280		KIAA1644	KIAA1644	280	1
10_MACS_peak_22253_lociStitched	chr20	57179851	57218426	10	36475	41672.5725	3174.7225	281	LOC149773	STX16,NPEPL1	STX16	281	1
5_MACS_peak_16523_lociStitched	chr19	7633856	7664225	5	29447	42149.1351	3735.387	282	KIAA1543	MCOLN1,PNPLA6,LOC100131801,STXBP2,XAB2,PCP2	KIAA1543	282	1
7_MACS_peak_24952_lociStitched	chr22	43804702	43839085	7	31980	41118.6297	2705.9421	283	MPPED1		MPPED1	283	1
9_MACS_peak_30449_lociStitched	chr7	155588006	155620669	9	29629	42239.7916	4115.538	284	SHH		SHH	284	1
5_MACS_peak_16988_lociStitched	chr19	13101886	13130168	5	26511	40728.9082	2652.8516	285	NFIX	RAD23A,DAND5,GADD45GIP1	NFIX	285	1
11_MACS_peak_29289_lociStitched	chr7	2654783	2686545	11	28652	40483.8452	2550.4886	286	TTYH3	AMZ1	TTYH3	286	1
8_MACS_peak_24718_lociStitched	chr22	39222049	39252201	8	27883	40792.6408	2876.5008	287	NPTXR	DNAL4,CBX6	NPTXR	287	1
17_MACS_peak_27004_lociStitched	chr4	7234819	7273958	17	35160	40724.1295	2876.7165	288	SORCS2		SORCS2	288	1
8_MACS_peak_14696_lociStitched	chr17	72872995	72906988	8	31659	40801.7979	2957.391	289	FADS6	OTOP2,OTOP3,GRIN2C,FDXR,USH1G	FADS6	289	1
1_MACS_peak_7206_lociStitched	chr11	68758176	68784003	1	25828	40184.2293	2430.3207	290	MRGPRF	TPCN2,MRGPRD	MRGPRF	290	1
18_MACS_peak_24534_lociStitched	chr22	37104169	37143143	18	33625	40969.4688	3402.4302	291		CACNG2,IFT27	CACNG2	291	1
12_MACS_peak_33461_lociStitched	chr9	137363843	137398282	12	32027	40486.4884	2958.3101	292			COL5A1	292	1
7_MACS_peak_62_lociStitched	chr1	1052560	1079423	7	24110	39845.8879	2339.7673	293		MIR200B,MIR200A,MIR429,TTLL10,C1orf159	C1orf159	293	1
6_MACS_peak_2674_lociStitched	chr1	19354290	19386518	6	31265	40594.3888	3177.6808	294			IFFO2	294	1
6_MACS_peak_3069_lociStitched	chr1	22871564	22903306	6	31250	40274.2496	2939.3092	295	EPHA8		EPHA8	295	1
5_MACS_peak_12706_lociStitched	chr17	4478799	4505118	5	25769	39554.8251	2316.072	296	SMTNL2	MYBBP1A,GGT6,ALOX15	SMTNL2	296	1
16_MACS_peak_2137_lociStitched	chr1	17821193	17860892	16	34762	40862.1807	3858.7428	297		ARHGEF10L	ARHGEF10L	297	1
5_MACS_peak_2012_lociStitched	chr1	17080304	17109541	5	28747	43048.5588	6130.9989	298	MST1P9	ESPNP	MST1P9	298	1
14_MACS_peak_25759_lociStitched	chr22	50493562	50526976	14	29844	39525.4206	2636.3646	299	MLC1	MOV10L1,IL17REL,TTLL8	MLC1	299	1
17_MACS_peak_3136_lociStitched	chr1	23079667	23117625	17	33049	40489.7986	3651.5596	300	EPHB2		EPHB2	300	1
15_MACS_peak_8404_lociStitched	chr12	1920540	1956190	15	32503	39721.23	2930.43	301	LRTM2,CACNA2D4		LRTM2	301	1
7_MACS_peak_26265_lociStitched	chr3	50529583	50563415	7	32634	40016.4896	3271.5544	302	CACNA2D2	HEMK1,C3orf18	CACNA2D2	302	1
14_MACS_peak_31126_lociStitched	chr8	1882079	1916683	14	30597	39580.0552	2868.6716	303	ARHGEF10	KBTBD11	KBTBD11	303	1
14_MACS_peak_13184_lociStitched	chr17	19095784	19140457	14	40788	41318.0577	4645.992	304		EPN2	EPN2	304	1
10_MACS_peak_16894_lociStitched	chr19	11357014	11390170	10	30740	39843.5652	3352.0716	305	DOCK6	LOC55908,TSPAN16,KANK2	DOCK6	305	1
5_MACS_peak_23471_lociStitched	chr21	46113795	46136161	5	22079	38892.2374	2417.7646	306	KRTAP10-12,C21orf29	KRTAP10-11,KRTAP12-3,KRTAP12-4,KRTAP12-2,KRTAP12-1	C21orf29	306	1
3_MACS_peak_28830_lociStitched	chr6	41602480	41628624	3	25558	38575.472	2271.9136	307	MDFI		MDFI	307	1
17_MACS_peak_19555_lociStitched	chr19	48772061	48810474	17	33112	39634.5334	3526.3134	308	ZNF114,CCDC114	EMP3,CARD8	ZNF114	308	1
2_MACS_peak_14819_lociStitched	chr17	74907666	74931785	2	23493	37852.3586	1746.2156	309	MGAT5B		MGAT5B	309	1
16_MACS_peak_13153_lociStitched	chr17	18971339	19014272	16	40996	40958.082	5001.6945	310		GRAPL,GRAP	GRAPL	310	1
6_MACS_peak_17857_lociStitched	chr19	18707010	18729152	6	21148	37588.2592	1886.4984	311	TMEM59L,CRLF1	C19orf50,UBA52,C19orf60,KLHL26	CRLF1	311	1
4_MACS_peak_16534_lociStitched	chr19	7717564	7744557	4	26632	39423.2765	3765.5235	312	RETN,C19orf59	LOC100131801,STXBP2,TRAPPC5,XAB2,PCP2,FCER2	RETN	312	1
46_MACS_peak_31243_lociStitched	chr8	7568368	7627908	46	51049	39570.284	4054.674	313	FAM90A14,FAM90A19,FAM90A8,FAM90A18,FAM90A9,FAM90A10		FAM90A8	313	1
3_MACS_peak_21025_lociStitched	chr2	220374300	220398502	3	23899	38009.241	2541.21	314	ACCN4	SPEG,GMPPA,TMEM198,INHA,CHPF,MIR3132,OBSL1	ACCN4	314	1
9_MACS_peak_15332_lociStitched	chr17	78396091	78427719	9	29942	37877.6928	2432.1932	315	FLJ35220	LOC100294362,NPTX1	LOC100294362	315	1
19_MACS_peak_32922_lociStitched	chr9	133387877	133424021	19	32061	38417.4576	3104.7696	316		FUBP3,LOC100272217	LOC100272217	316	1
14_MACS_peak_25079_lociStitched	chr22	44775470	44809824	14	31209	37682.9026	2476.9234	317			KIAA1644	317	1
4_MACS_peak_10713_lociStitched	chr16	1567575	1590684	4	22460	37478.1762	2283.1692	318	TMEM204,IFT140	TELO2,CLCN7,PTX4	TMEM204	318	1
11_MACS_peak_21772_lociStitched	chr20	44930441	44962493	11	30372	38298.9348	3266.0988	319		SLC35C2	SLC35C2	319	1
2_MACS_peak_23793_lociStitched	chr22	20256426	20281477	2	24840	37336.0104	2352.2889	320		MIR1286,RTN4R,DGCR6L	RTN4R	320	1
8_MACS_peak_20221_lociStitched	chr19	55631092	55663258	8	30294	38078.1108	3110.4522	321	TNNT1,TNNI3	EPS8L1,PPP1R12C,C19orf51,SYT5	TNNT1	321	1
12_MACS_peak_33409_lociStitched	chr9	137095053	137127646	12	28931	37459.1349	2561.8098	322			RNU6ATAC	322	1
4_MACS_peak_23031_lociStitched	chr20	62726904	62748946	4	20996	36951.2088	2107.2152	323	OPRL1,NPBWR2	TCEA2,MYT1,SOX18,RGS19,C20orf201	NPBWR2	323	1
12_MACS_peak_21867_lociStitched	chr20	48955783	48992211	12	33711	38355.0412	3533.516	324		LOC284751	LOC284751	324	1
15_MACS_peak_2192_lociStitched	chr1	17980976	18015546	15	32068	37021.013	2610.035	325	ARHGEF10L		ACTL8	325	1
6_MACS_peak_25753_lociStitched	chr22	50461768	50492429	6	27682	36728.8119	2324.1038	326	TTLL8	MOV10L1,IL17REL,MLC1	TTLL8	326	1
2_MACS_peak_16284_lociStitched	chr19	5541018	5566487	2	25338	37620.2599	3285.501	327	PLAC2		PLAC2	327	1
5_MACS_peak_23476_lociStitched	chr21	46138116	46162457	5	23105	37399.9465	3132.6867	328		KRTAP10-12,KRTAP12-1,C21orf29	C21orf29	328	1
10_MACS_peak_27415_lociStitched	chr4	8262325	8294241	10	28726	36559.778	2301.1436	329	HTRA3		HTRA3	329	1
6_MACS_peak_33480_lociStitched	chr9	137423054	137452356	6	28915	36486.8504	2306.0674	330			COL5A1	330	1
8_MACS_peak_460_lociStitched	chr1	3264079	3292400	8	26988	35945.0132	1971.1416	331	PRDM16		ARHGEF16	331	1
8_MACS_peak_16047_lociStitched	chr19	3581284	3608042	8	24740	37067.8574	3184.202	332	GIPC3,TBXA2R	C19orf71,HMG20B,C19orf28,C19orf29	GIPC3	332	1
7_MACS_peak_210_lociStitched	chr1	2129050	2158860	7	27595	36040.29	2331.142	333	C1orf86	SKI,LOC100128003,C1orf86	C1orf86	333	1
6_MACS_peak_10576_lociStitched	chr16	792070	817332	6	24106	35715.4156	2137.1652	334	MSLN	METRN,FAM173A,HAGHL,MIR662,CHTF18,PRR25,FBXL16,CCDC78,NARFL,MSLNL,RPUSD1,GNG13	MSLN	334	1
8_MACS_peak_32878_lociStitched	chr9	133287829	133315390	8	25631	35716.2999	2221.4166	335		ASS1	ASS1	335	1
17_MACS_peak_2868_lociStitched	chr1	20847895	20887246	17	32835	37151.2791	3675.3834	336	FAM43B	CDA,CAMK2N1,MUL1	FAM43B	336	1
