REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
2_MACS_peak_20456_lociStitched	chr6	45386654	45402203	2	9790	40676.184	2172.1953	188	RUNX2	SUPT3H	RUNX2	188	1
1_MACS_peak_11908_lociStitched	chr19	47613775	47617827	1	4053	39023.1912	759.3448	189	ZC3H4	SAE1	ZC3H4	189	1
1_MACS_peak_5495_lociStitched	chr12	62995186	62998397	1	3212	38842.1826	656.0073	190	MIRLET7I,C12orf61		C12orf61	190	1
2_MACS_peak_11156_lociStitched	chr19	3499574	3507565	2	4368	39887.0765	1908.2508	191	FZR1,DOHH	FZR1,C19orf71,C19orf77	DOHH	191	1
2_MACS_peak_16118_lociStitched	chr3	46246184	46257087	2	8530	40380.3508	2575.2886	192	CCR1	CCR3	CCR1	192	1
1_MACS_peak_20717_lociStitched	chr6	90059007	90071263	1	12257	40279.344	2474.4864	193	UBE2J1	GABRR2	UBE2J1	193	1
4_MACS_peak_4769_lociStitched	chr11	128585252	128609797	4	19722	42565.939	4830.456	194	FLI1		FLI1	194	1
1_MACS_peak_4309_lociStitched	chr11	72523500	72527370	1	3871	38396.205	843.273	195	ATG16L2	STARD10	ATG16L2	195	1
1_MACS_peak_14149_lociStitched	chr20	2081550	2084971	1	3422	38135.9396	690.6999	196	STK35		STK35	196	1
4_MACS_peak_2024_lociStitched	chr1	206728035	206754654	4	18256	44517.6156	7125.9063	197	RASSF5	LGTN	RASSF5	197	1
3_MACS_peak_16752_lociStitched	chr3	129026493	129048528	3	14095	41278.1655	3926.637	198	C3orf47,H1FX	C3orf37	H1FX	198	1
1_MACS_peak_2612_lociStitched	chr10	15826414	15832952	1	6539	38302.873	1068.963	199	FAM188A		ITGA8	199	1
3_MACS_peak_21768_lociStitched	chr7	55569012	55585884	3	15448	40003.512	2819.3112	200	VOPP1		VOPP1	200	1
3_MACS_peak_21693_lociStitched	chr7	44661792	44680281	3	14952	40487.2122	3318.7755	201	OGDH	DDX56,TMED4	OGDH	201	1
4_MACS_peak_11938_lociStitched	chr19	48880463	48902443	4	12449	39950.848	2969.498	202	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	202	1
1_MACS_peak_12883_lociStitched	chr2	86261906	86266971	1	5066	38177.944	1303.2245	203	POLR1A	LOC90784	LOC90784	203	1
1_MACS_peak_14612_lociStitched	chr20	44599040	44601903	1	2864	37301.1681	572.6	204	ZNF335	PCIF1,MMP9,SLC12A5	ZNF335	204	1
1_MACS_peak_10637_lociStitched	chr18	9132369	9152856	1	20488	40000.8675	3482.79	205	NDUFV2,ANKRD12		ANKRD12	205	1
3_MACS_peak_10402_lociStitched	chr17	75078918	75093182	3	13610	39267.3656	3021.1152	206	C17orf86,SCARNA16	SEC14L1	SCARNA16	206	1
2_MACS_peak_20194_lociStitched	chr6	30582028	30595442	2	6467	38652.441	2433.2996	207	MRPS18B,ATAT1,PPP1R10	ABCF1,MIR877,C6orf136,DHX16	MRPS18B	207	1
2_MACS_peak_2780_lociStitched	chr10	43890116	43905825	2	11803	38673.9871	2507.1564	208	HNRNPF	FXYD4,ZNF487P	HNRNPF	208	1
1_MACS_peak_5711_lociStitched	chr12	94596487	94603621	1	7135	37715.3178	1573.7604	209	PLXNC1		PLXNC1	209	1
4_MACS_peak_21217_lociStitched	chr6	157976615	157999651	4	13672	37986.364	1868.2196	210	ZDHHC14	MIR3692	MIR3692	210	1
1_MACS_peak_9777_lociStitched	chr17	36856340	36863628	1	7289	37447.2016	1361.3984	211	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	211	1
1_MACS_peak_12421_lociStitched	chr2	37600534	37606447	1	5914	37406.8206	1359.3987	212		QPCT	QPCT	212	1
4_MACS_peak_19753_lociStitched	chr5	176717118	176740510	4	14157	40180.4384	4138.0448	213	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	213	1
1_MACS_peak_16997_lociStitched	chr3	160116030	160123725	1	7696	37572.3765	1535.922	214	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	214	1
5_MACS_peak_11097_lociStitched	chr19	1847043	1865727	5	11214	39572.712	3654.5904	215	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	215	1
1_MACS_peak_2413_lociStitched	chr1	244996457	245000830	1	4374	37042.8084	1134.7935	216	FAM36A	NCRNA00201,HNRNPU	FAM36A	216	1
2_MACS_peak_22902_lociStitched	chr8	33410212	33425405	2	8298	38426.1356	2594.9644	217	RNF122	C8orf41,DUSP26	RNF122	217	1
5_MACS_peak_17064_lociStitched	chr3	171802018	171826944	5	16089	41626.42	5825.2062	218	FNDC3B		FNDC3B	218	1
1_MACS_peak_7941_lociStitched	chr15	75334305	75340981	1	6677	37508.4384	1711.0588	219	PPCDC	SCAMP5	PPCDC	219	1
2_MACS_peak_2236_lociStitched	chr1	226308620	226316959	2	5939	38193.4539	2437.4897	220			ACBD3	220	1
3_MACS_peak_20400_lociStitched	chr6	42737867	42752257	3	8895	37690.288	1935.455	221		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	221	1
2_MACS_peak_8491_lociStitched	chr16	14492038	14502307	2	5818	37187.1297	1918.2492	222			MIR365-1	222	1
1_MACS_peak_15517_lociStitched	chr22	38900118	38903541	1	3424	35901.4509	666.8004	223	DDX17	KDELR3,KCNJ4,DDX17	DDX17	223	1
2_MACS_peak_5792_lociStitched	chr12	104318617	104327169	2	7454	37166.1368	1932.752	224	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	224	1
3_MACS_peak_10448_lociStitched	chr17	76711075	76733809	3	18871	39209.3298	4055.7456	225	CYTH1		CYTH1	225	1
2_MACS_peak_15338_lociStitched	chr22	29207166	29221399	2	11414	37328.8891	2184.7655	226		CCDC117,XBP1	XBP1	226	1
1_MACS_peak_1497_lociStitched	chr1	155656834	155659828	1	2995	36145.065	1039.2174	227	DAP3,YY1AP1	YY1AP1	YY1AP1	227	1
1_MACS_peak_2416_lociStitched	chr1	245132454	245136152	1	3699	35973.0346	1009.9238	228	EFCAB2		EFCAB2	228	1
7_MACS_peak_10317_lociStitched	chr17	72733359	72781015	7	25141	42418.6056	7486.7576	229	RAB37,SLC9A3R1,MIR3615,TMEM104,NAT9	CD300LF	SLC9A3R1	229	1
4_MACS_peak_19034_lociStitched	chr5	87954665	87976825	4	9921	38372.256	3463.608	230	LOC645323,MIR9-2		MIR9-2	230	1
2_MACS_peak_9302_lociStitched	chr17	3459601	3466930	2	4875	36245.5695	1404.9693	231	TRPV3	TRPV1	TRPV3	231	1
1_MACS_peak_5376_lociStitched	chr12	53845927	53874834	1	28908	39839.6274	5070.2878	232	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	232	1
4_MACS_peak_2806_lociStitched	chr10	45913847	45931430	4	9502	37465.8564	2700.7488	233	ALOX5		ALOX5	233	1
3_MACS_peak_16228_lociStitched	chr3	50357895	50376402	3	7785	37900.4853	3140.6379	234	HYAL2,TUSC2,RASSF1	C3orf45,CYB561D2,IFRD2,NAT6,HYAL3,HYAL1,ZMYND10,NPRL2,TMEM115	TUSC2	234	1
1_MACS_peak_19067_lociStitched	chr5	90674490	90681179	1	6690	36111.2354	1366.5627	235	LOC100129716,ARRDC3		ARRDC3	235	1
1_MACS_peak_22131_lociStitched	chr7	101946343	101951532	1	5190	35757.399	1052.8481	236	SH2B2	MIR4285,SPDYE6	MIR4285	236	1
2_MACS_peak_19042_lociStitched	chr5	88171090	88187010	2	13684	37305.336	2647.496	237	MEF2C		MEF2C	237	1
2_MACS_peak_19369_lociStitched	chr5	137666468	137675290	2	4718	36106.6816	1601.193	238	FAM53C,CDC25C	KDM3B	FAM53C	238	1
3_MACS_peak_22827_lociStitched	chr8	27208609	27239269	3	18447	40149.27	5705.826	239	PTK2B	TRIM35	PTK2B	239	1
4_MACS_peak_3085_lociStitched	chr10	81001324	81020582	4	14280	37751.4574	3333.5598	240	ZMIZ1		PPIF	240	1
4_MACS_peak_15569_lociStitched	chr22	39909951	39929536	4	13009	38345.4715	3950.2945	241	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	241	1
2_MACS_peak_2301_lociStitched	chr1	230256918	230269965	2	6259	37110.8868	2801.1909	242	GALNT2		GALNT2	242	1
4_MACS_peak_19796_lociStitched	chr5	180228395	180249301	4	14574	37850.313	3579.1072	243	MGAT1	LOC729678,ZFP62	MGAT1	243	1
1_MACS_peak_17312_lociStitched	chr3	195632038	195637450	1	5413	35952.9984	1794.6192	244	TNK2	TNK2	TNK2	244	1
2_MACS_peak_17289_lociStitched	chr3	194022864	194034067	2	5335	36569.9529	2525.1562	245	LOC100131551	CPN2	LOC100131551	245	1
2_MACS_peak_20105_lociStitched	chr6	26358039	26367419	2	9249	35812.84	1796.27	246	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	246	1
3_MACS_peak_10541_lociStitched	chr17	80405722	80424033	3	8863	37636.4294	3620.0847	247	NARF,C17orf62	HEXDC,C17orf101	NARF	247	1
2_MACS_peak_5272_lociStitched	chr12	48201002	48214767	2	12968	36707.1255	2834.2135	248	HDAC7	SLC48A1,RAPGEF3	HDAC7	248	1
1_MACS_peak_20856_lociStitched	chr6	109701469	109705376	1	3908	34603.1269	756.3952	249	CD164		CD164	249	1
2_MACS_peak_6814_lociStitched	chr14	50465385	50476655	2	7512	34889.666	1155.175	250	C14orf182		C14orf182	250	1
1_MACS_peak_12882_lociStitched	chr2	86220343	86228679	1	8337	35637.2336	1903.9424	251		LOC90784	LOC90784	251	1
1_MACS_peak_15345_lociStitched	chr22	29662336	29666435	1	4100	34525.4671	806.2733	252	EWSR1,RHBDD3	GAS2L1,RASL10A	EWSR1	252	1
5_MACS_peak_8585_lociStitched	chr16	22195230	22219278	5	15718	37998.2448	4381.5456	253	EEF2K		EEF2K	253	1
1_MACS_peak_9483_lociStitched	chr17	17138857	17141813	1	2957	34035.384	467.048	254	FLCN	PLD6,COPS3	FLCN	254	1
3_MACS_peak_15521_lociStitched	chr22	39095519	39106140	3	8703	35434.8423	1964.885	255	GTPBP1,JOSD1	CBY1,TOMM22,LOC646851,SUN2	GTPBP1	255	1
1_MACS_peak_14558_lociStitched	chr20	42307633	42312430	1	4798	34428.069	1002.0933	256	MYBL2	GTSF1L	MYBL2	256	1
3_MACS_peak_849_lociStitched	chr1	66736688	66750362	3	10720	35977.6614	2573.4468	257	PDE4B	PDE4B	PDE4B	257	1
2_MACS_peak_10158_lociStitched	chr17	57695467	57700425	2	4250	34066.9138	796.2548	258	CLTC		CLTC	258	1
3_MACS_peak_17833_lociStitched	chr4	77117822	77136369	3	11666	36745.3164	3536.9129	259	SCARB2	FAM47E,NUP54	SCARB2	259	1
2_MACS_peak_16682_lociStitched	chr3	124501845	124512136	2	9420	34952.3524	1767.9938	260	ITGB5		UMPS	260	1
2_MACS_peak_11462_lociStitched	chr19	16221417	16231672	2	9341	35126.4515	2030.49	261	RAB8A	TPM4,HSH2D	RAB8A	261	1
3_MACS_peak_2521_lociStitched	chr10	6954666	6972559	3	7443	35580.2305	2621.3245	262			LOC439949	262	1
4_MACS_peak_14752_lociStitched	chr20	55957937	55975530	4	12483	35887.9607	2973.217	263	RBM38	RAE1,MTRNR2L3	RBM38	263	1
2_MACS_peak_13398_lociStitched	chr2	157188303	157200528	2	7512	34364.475	1684.605	264	NR4A2		NR4A2	264	1
2_MACS_peak_12533_lociStitched	chr2	47203648	47215367	2	9923	34762.0697	2146.9208	265	TTC7A	MCFD2	MCFD2	265	1
2_MACS_peak_15259_lociStitched	chr22	23189932	23209969	2	16266	34567.8324	2003.7	266		MIR650,IGLL5	IGLL5	266	1
1_MACS_peak_347_lociStitched	chr1	27018319	27030613	1	12295	34434.2646	2011.2984	267	ARID1A		ARID1A	267	1
1_MACS_peak_11707_lociStitched	chr19	38537137	38540986	1	3850	33246.5073	893.7378	268	SIPA1L3		SIPA1L3	268	1
1_MACS_peak_13588_lociStitched	chr2	182168457	182180054	1	11598	34242.4619	1922.7826	269			ITGA4	269	1
3_MACS_peak_24997_lociStitched	chrX	48790606	48805630	3	10597	34038.3744	1810.392	270	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	270	1
2_MACS_peak_19386_lociStitched	chr5	138719960	138730324	2	10218	34668.6164	2470.7776	271	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	271	1
3_MACS_peak_25488_lociStitched	chrX	153232735	153252500	3	11109	33598.5235	1674.0955	272	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	272	1
2_MACS_peak_5438_lociStitched	chr12	57071173	57083774	2	8235	33823.6042	1948.1146	273	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	273	1
3_MACS_peak_11987_lociStitched	chr19	50369542	50382070	3	7667	34211.4624	2546.9424	274	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	AKT1S1	274	1
4_MACS_peak_11417_lociStitched	chr19	13943931	13959304	4	10473	33860.5698	2255.2191	275	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	275	1
2_MACS_peak_14581_lociStitched	chr20	43270374	43282168	2	11752	34066.969	2468.4842	276	ADA	LOC79015	ADA	276	1
1_MACS_peak_8148_lociStitched	chr15	90637885	90646619	1	8735	33372.614	1801.8242	277	IDH2		IDH2	277	1
2_MACS_peak_17326_lociStitched	chr3	196358021	196371182	2	8993	34877.9661	3313.9398	278	LRRC33		LRRC33	278	1
1_MACS_peak_24426_lociStitched	chr9	126099935	126103675	1	3741	32563.058	1027.752	279		CRB2	CRB2	279	1
2_MACS_peak_1422_lociStitched	chr1	152006491	152021692	2	8330	35504.9757	4016.1042	280	S100A11	S100A10,TCHHL1	S100A11	280	1
5_MACS_peak_13888_lociStitched	chr2	219743086	219763398	5	14688	34985.3888	3524.132	281	WNT10A	WNT6,PRKAG3	WNT10A	281	1
1_MACS_peak_21956_lociStitched	chr7	78114164	78128047	1	13884	33855.0838	2408.7005	282	MAGI2		RPL13AP17	282	1
2_MACS_peak_23395_lociStitched	chr8	118450336	118457552	2	6831	32688.48	1295.9936	283			MED30	283	1
4_MACS_peak_5850_lociStitched	chr12	109161889	109181093	4	9651	34674.7424	3351.098	284	SSH1	CORO1C,SSH1	CORO1C	284	1
2_MACS_peak_9529_lociStitched	chr17	18964176	18974527	2	5485	33262.9385	1996.7079	285		GRAP	GRAP	285	1
2_MACS_peak_3783_lociStitched	chr11	19451332	19465858	2	11480	33870.2742	2746.8666	286	NAV2		NAV2	286	1
2_MACS_peak_15086_lociStitched	chr21	44725943	44734237	2	6620	33166.0472	2044.471	287			SIK1	287	1
1_MACS_peak_13978_lociStitched	chr2	231729553	231739621	1	10069	32028.3216	1011.834	288	ITM2C		ITM2C	288	1
3_MACS_peak_4240_lociStitched	chr11	67647275	67661581	3	7523	33162.7386	2183.0956	289			LOC645332	289	1
2_MACS_peak_17377_lociStitched	chr4	1712285	1725175	2	7864	32704.508	1939.945	290	TACC3,SLBP,TMEM129	FAM53A	TMEM129	290	1
3_MACS_peak_8192_lociStitched	chr15	93346403	93364376	3	9266	33623.8884	2956.5585	291		ASB9P1	ASB9P1	291	1
3_MACS_peak_4567_lociStitched	chr11	111237752	111251224	3	11652	33130.3424	2469.4176	292	POU2AF1		POU2AF1	292	1
1_MACS_peak_20058_lociStitched	chr6	24719031	24722475	1	3445	31444.7532	844.4688	293	C6orf62		C6orf62	293	1
1_MACS_peak_23911_lociStitched	chr9	37527916	37532966	1	5051	31930.14	1371.075	294	FBXO10	POLR1E	POLR1E	294	1
1_MACS_peak_11777_lociStitched	chr19	41767957	41772378	1	4422	31514.2143	976.1568	295	HNRNPUL1	AXL,CCDC97	HNRNPUL1	295	1
1_MACS_peak_22172_lociStitched	chr7	104621772	104625997	1	4226	31450.055	976.3975	296		MLL5,LOC100216545	LOC100216545	296	1
1_MACS_peak_11899_lociStitched	chr19	47103122	47105569	1	2448	30886.7681	419.9052	297	CALM3	PTGIR,GNG8	CALM3	297	1
4_MACS_peak_18798_lociStitched	chr5	55437022	55453653	4	13783	33343.4919	2893.794	298	ANKRD55		ANKRD55	298	1
2_MACS_peak_22819_lociStitched	chr8	26428276	26437496	2	7748	32211.914	1777.616	299	DPYSL2		DPYSL2	299	1
1_MACS_peak_238_lociStitched	chr1	21615787	21622612	1	6826	31735.5675	1323.3675	300	ECE1	ECE1	ECE1	300	1
3_MACS_peak_1921_lociStitched	chr1	200851050	200863557	3	6837	33404.9463	3014.187	301	C1orf106	GPR25,C1orf106	C1orf106	301	1
1_MACS_peak_17053_lociStitched	chr3	170072459	170076766	1	4308	31186.987	815.7458	302	SKIL	SKIL	SKIL	302	1
7_MACS_peak_23467_lociStitched	chr8	126285477	126316096	7	15774	34709.6984	4467.3121	303	NSMCE2		TRIB1	303	1
1_MACS_peak_13332_lociStitched	chr2	137137898	137141471	1	3574	31144.0545	905.0409	304			CXCR4	304	1
1_MACS_peak_14283_lociStitched	chr20	17945397	17952850	1	7454	31787.7903	1568.1112	305	C20orf72,SNX5	SNORD17	SNX5	305	1
3_MACS_peak_8107_lociStitched	chr15	89163705	89184539	3	13749	33759.4136	3579.2812	306	AEN,ISG20	MIR1179,MIR7-2	ISG20	306	1
3_MACS_peak_11459_lociStitched	chr19	16180454	16198167	3	9401	32900.1262	2747.2863	307	TPM4	FLJ25328,RAB8A,HSH2D	TPM4	307	1
1_MACS_peak_24129_lociStitched	chr9	93795486	93799554	1	4069	31282.92	1142.7012	308		LOC100129316	LOC100129316	308	1
1_MACS_peak_8242_lociStitched	chr15	101737892	101744329	1	6438	31292.1881	1258.4335	309	CHSY1		CHSY1	309	1
2_MACS_peak_15272_lociStitched	chr22	23477870	23488794	2	9538	32373.274	2342.1056	310	RAB36,RTDR1	BCR	RTDR1	310	1
4_MACS_peak_21034_lociStitched	chr6	135322933	135343833	4	10809	32771.2	2762.98	311	HBS1L	MIR3662,HBS1L	MIR3662	311	1
1_MACS_peak_18506_lociStitched	chr5	9862	12323	1	2462	34865.9714	4891.2375	312			PLEKHG4B	312	1
4_MACS_peak_15068_lociStitched	chr21	43638912	43657621	4	10036	34026.0583	4054.2403	313	ABCG1		ABCG1	313	1
5_MACS_peak_8684_lociStitched	chr16	29815365	29833619	5	13186	33527.1218	3555.8792	314	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	PRRT2	314	1
1_MACS_peak_1243_lociStitched	chr1	143741933	143746121	1	4189	31285.1976	1346.442	315	LOC100286793,FLJ39739	PPIAL4G	FLJ39739	315	1
1_MACS_peak_15194_lociStitched	chr22	19465227	19468310	1	3084	30624.6722	691.5169	316	CDC45,UFD1L	MRPL40,HIRA,C22orf39,CLDN5	UFD1L	316	1
1_MACS_peak_23538_lociStitched	chr8	134245449	134249001	1	3553	30621.792	829.392	317		WISP1	WISP1	317	1
4_MACS_peak_20091_lociStitched	chr6	26183616	26207198	4	13205	33842.5282	4275.4166	318	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	318	1
1_MACS_peak_2735_lociStitched	chr10	32634477	32637162	1	2686	29801.6205	336.9675	319	EPC1		EPC1	319	1
1_MACS_peak_4128_lociStitched	chr11	64899017	64903640	1	4624	30805.3605	1372.1064	320	SYVN1	ZFPL1,C11orf2,TM7SF2,MRPL49,SPDYC,CAPN1,CDCA5,ZNHIT2,FAU	SYVN1	320	1
1_MACS_peak_14969_lociStitched	chr21	34913020	34917000	1	3981	30816.344	1415.288	321	SON,GART	DNAJC28,DONSON	GART	321	1
1_MACS_peak_1813_lociStitched	chr1	183809609	183815594	1	5986	31011.876	1647.072	322	RGL1		APOBEC4	322	1
5_MACS_peak_11119_lociStitched	chr19	2254580	2274390	5	13162	33821.613	4486.965	323	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	323	1
1_MACS_peak_1755_lociStitched	chr1	178546251	178551970	1	5720	30895.1818	1584.163	324		C1orf220	C1orf220	324	1
2_MACS_peak_22950_lociStitched	chr8	38792688	38801983	2	5858	30919.8175	1629.4135	325	PLEKHA2	HTRA4	HTRA4	325	1
1_MACS_peak_14761_lociStitched	chr20	56192247	56197060	1	4814	30611.1613	1349.0839	326	ZBP1		ZBP1	326	1
4_MACS_peak_3102_lociStitched	chr10	81946648	81966337	4	12971	32628.6108	3496.7664	327	ANXA11		ANXA11	327	1
1_MACS_peak_4318_lociStitched	chr11	72980221	72984680	1	4460	30086.2107	1083.9829	328	P2RY6	ARHGEF17	P2RY6	328	1
1_MACS_peak_10459_lociStitched	chr17	76884651	76889125	1	4475	30199.9474	1239.298	329	TIMP2	USP36	TIMP2	329	1
2_MACS_peak_1462_lociStitched	chr1	154755892	154765679	2	6788	31845.9193	2901.8455	330	KCNN3		KCNN3	330	1
1_MACS_peak_12690_lociStitched	chr2	65256232	65261373	1	5142	29968.4313	1055.4473	331		SLC1A4,CEP68	CEP68	331	1
1_MACS_peak_14624_lociStitched	chr20	45979290	45987311	1	8022	30598.5108	1688.4205	332	ZMYND8	LOC100131496	ZMYND8	332	1
4_MACS_peak_20230_lociStitched	chr6	31743761	31764537	4	8800	32146.7048	3251.444	333	C6orf27,VARS	MSH5,C6orf26,HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,DDAH2,CLIC1,LSM2,HSPA1L	C6orf27	333	1
4_MACS_peak_9380_lociStitched	chr17	7136665	7156735	4	11304	31951.44	3080.745	334	C17orf81,DVL2,PHF23,GABARAP,CTDNEP1	ACADVL,SLC2A4,DLG4,MIR324,CLDN7,YBX2	GABARAP	334	1
2_MACS_peak_19704_lociStitched	chr5	172455796	172464817	2	5554	30113.0001	1265.6463	335	ATP6V0E1	SNORA74B,C5orf41	SNORA74B	335	1
4_MACS_peak_13670_lociStitched	chr2	197024431	197048660	4	17099	32869.0614	4038.9743	336	STK17B		STK17B	336	1
2_MACS_peak_1591_lociStitched	chr1	161007792	161019318	2	7587	32105.673	3294.1308	337	TSTD1,USF1,ARHGAP30	KLHDC9,F11R,PVRL4	USF1	337	1
1_MACS_peak_12934_lociStitched	chr2	89050014	89056083	1	6070	30135.6195	1344.2835	338	RPIA	ANKRD36BP2	ANKRD36BP2	338	1
4_MACS_peak_10387_lociStitched	chr17	74476202	74498348	4	11547	32441.6754	3671.8068	339	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	339	1
1_MACS_peak_4035_lociStitched	chr11	61558793	61561936	1	3144	29634.7184	875.0112	340	FEN1,C11orf10,MIR611	C11orf9,FADS2,DKFZP434K028,MIR1908,FADS1	FEN1	340	1
4_MACS_peak_2526_lociStitched	chr10	7511714	7535576	4	11613	32134.9554	3426.5832	341			SFMBT2	341	1
2_MACS_peak_14705_lociStitched	chr20	52194788	52215815	2	19916	31763.3862	3080.4555	342	ZNF217		ZNF217	342	1
1_MACS_peak_13406_lociStitched	chr2	158295065	158302243	1	7179	30132.5262	1451.3916	343	CYTIP		CYTIP	343	1
1_MACS_peak_9428_lociStitched	chr17	8149545	8153661	1	4117	29594.8632	920.7492	344	PFAS,C17orf68	RANGRF,AURKB,C17orf44,SLC25A35	C17orf68	344	1
2_MACS_peak_10395_lociStitched	chr17	74721355	74735074	2	7993	30897.9318	2266.3788	345	C17orf95,MFSD11,JMJD6,SRSF2,MIR636	MXRA7	MIR636	345	1
4_MACS_peak_11076_lociStitched	chr19	1258500	1277369	4	10904	32822.6255	4194.5787	346	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	346	1
1_MACS_peak_22869_lociStitched	chr8	29410434	29416030	1	5597	29954.8284	1395.6424	347			C8orf75	347	1
2_MACS_peak_19040_lociStitched	chr5	88111517	88130802	2	19283	31770.109	3286.164	348	MEF2C		MEF2C	348	1
1_MACS_peak_19298_lociStitched	chr5	131435455	131441307	1	5853	29791.9468	1318.4556	349		IL3,CSF2	CSF2	349	1
1_MACS_peak_1450_lociStitched	chr1	154296767	154302295	1	5529	30425.0064	1974.6016	350	AQP10,ATP8B2		ATP8B2	350	1
1_MACS_peak_15516_lociStitched	chr22	38782066	38795659	1	13594	30438.8049	2055.2616	351	LOC400927	KCNJ4	LOC400927	351	1
3_MACS_peak_4413_lociStitched	chr11	82764926	82784477	3	10463	32149.6644	3785.0736	352	RAB30	SNORA70E	RAB30	352	1
2_MACS_peak_23834_lociStitched	chr9	33288746	33299116	2	7263	30240.994	1934.005	353	NFX1	SPINK4,CHMP5,BAG1	NFX1	353	1
1_MACS_peak_15855_lociStitched	chr3	14161168	14168416	1	7249	29956.7088	1656.8928	354	TMEM43,CHCHD4		CHCHD4	354	1
1_MACS_peak_19375_lociStitched	chr5	137909698	137912300	1	2603	28855.1392	575.3022	355	HSPA9	ETF1,SNORD63	HSPA9	355	1
3_MACS_peak_9290_lociStitched	chr17	2294295	2305828	3	8630	30236.0661	1984.8293	356	MNT	LOC284009	MNT	356	1
2_MACS_peak_1739_lociStitched	chr1	174957885	174970760	2	6488	31218.0125	2984.425	357	CACYBP	MRPS14	CACYBP	357	1
3_MACS_peak_7096_lociStitched	chr14	81930690	81953247	3	16050	30012.0885	1928.6235	358	SEL1L		SEL1L	358	1
2_MACS_peak_9202_lociStitched	chr16	89033401	89046099	2	9407	29200.3208	1131.3918	359	CBFA2T3	CBFA2T3	CBFA2T3	359	1
2_MACS_peak_16966_lociStitched	chr3	156804935	156811908	2	6004	30368.1123	2329.6793	360	LOC100498859,LOC339894		LOC100498859	360	1
5_MACS_peak_12750_lociStitched	chr2	70335042	70360818	5	9991	31534.3584	3572.5536	361	LOC100133985	PCBP1,LOC400960	LOC100133985	361	1
1_MACS_peak_24650_lociStitched	chr9	139792121	139798262	1	6142	29156.2398	1209.1629	362	TRAF2	PHPT1,MAMDC4,C8G,LCN12,EDF1,FBXW5	TRAF2	362	1
2_MACS_peak_11778_lociStitched	chr19	41801234	41817336	2	9562	30962.5358	3096.4146	363	HNRNPUL1,CCDC97	TGFB1	CCDC97	363	1
3_MACS_peak_12297_lociStitched	chr2	25624062	25645503	3	9155	31520.4141	3707.1489	364	DTNB		DNMT3A	364	1
3_MACS_peak_20144_lociStitched	chr6	27791054	27807955	3	8892	30742.919	2957.675	365	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	365	1
4_MACS_peak_4895_lociStitched	chr12	6554994	6581021	4	10243	32104.3045	4338.7009	366	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	366	1
1_MACS_peak_18472_lociStitched	chr4	186345524	186347994	1	2471	28230.371	572.052	367	UFSP2	ANKRD37,C4orf47,LRP2BP,CCDC110	UFSP2	367	1
