REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X14_0EX0_0229Kronos_MM1S.KB.1hr.2_H3K27Ac_hs.dm_i23.bam	X38_0EXQ_0229Kronos_MM1S.KB.1hr.2_Input_hs_i81.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
1_MACS_peak_20717_lociStitched	chr6	90059007	90071263	1	12257	40279.344	2474.4864	197	UBE2J1	GABRR2	UBE2J1	197	1
4_MACS_peak_3102_lociStitched	chr10	81946648	81966337	4	12971	32628.6108	3496.7664	198	ANXA11		ANXA11	198	1
2_MACS_peak_8916_lociStitched	chr16	66549252	66560143	2	10017	56916.366	2348.0996	199	TK2	CKLF,CMTM1	TK2	199	1
2_MACS_peak_8600_lociStitched	chr16	23344127	23354053	2	7440	68329.5914	2218.461	200	SCNN1B		SCNN1B	200	1
3_MACS_peak_10298_lociStitched	chr17	70582477	70601773	3	13193	28426.8672	3409.6032	202	LOC100499467,FLJ26484		LOC100499467	202	1
3_MACS_peak_19210_lociStitched	chr5	118657929	118678692	3	13357	25521.8796	3845.3076	203	TNFAIP8	TNFAIP8	TNFAIP8	203	1
4_MACS_peak_14752_lociStitched	chr20	55957937	55975530	4	12483	35887.9607	2973.217	206	RBM38	RAE1,MTRNR2L3	RBM38	206	1
1_MACS_peak_347_lociStitched	chr1	27018319	27030613	1	12295	34434.2646	2011.2984	208	ARID1A		ARID1A	208	1
4_MACS_peak_588_lociStitched	chr1	40839074	40858402	4	12944	26104.3968	3299.2896	209	SMAP2	SMAP2	SMAP2	209	1
1_MACS_peak_20263_lociStitched	chr6	32934808	32942916	1	8109	62512.68	1841.3268	210	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	210	1
4_MACS_peak_1237_lociStitched	chr1	143442734	143468734	4	12687	35653.8	9807.2	211			LOC100130000	211	1
2_MACS_peak_2780_lociStitched	chr10	43890116	43905825	2	11803	38673.9871	2507.1564	212	HNRNPF	FXYD4,ZNF487P	HNRNPF	212	1
5_MACS_peak_25353_lociStitched	chrX	128902327	128921351	5	12813	24424.9136	2280.9776	213	XPNPEP2,SASH3		SASH3	213	1
4_MACS_peak_4663_lociStitched	chr11	118954910	118979769	4	12530	30695.8932	4621.2881	215	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	H2AFX	215	1
2_MACS_peak_4743_lociStitched	chr11	126056560	126069116	2	7388	64600.62	2437.1196	217		FAM118B,RPUSD4	RPUSD4	217	1
5_MACS_peak_11091_lociStitched	chr19	1647817	1672926	5	11119	45276.5488	4373.9878	218	TCF3	UQCR11	TCF3	218	1
2_MACS_peak_8025_lociStitched	chr15	81584979	81597584	2	12524	27999.4865	2913.0155	219	IL16	STARD5	IL16	219	1
1_MACS_peak_19958_lociStitched	chr6	11827872	11836607	1	8736	58037.087	1954.893	220		C6orf105	C6orf105	220	1
1_MACS_peak_4872_lociStitched	chr12	4377526	4388357	1	10832	44649.7144	1931.1673	222	CCND2	C12orf5	CCND2	222	1
4_MACS_peak_10453_lociStitched	chr17	76763478	76779598	4	12493	26572.208	2592.096	223	CYTH1		CYTH1	223	1
4_MACS_peak_11130_lociStitched	chr19	2455267	2480356	4	12225	31707.4782	4784.4723	224	GADD45B,LMNB2	TIMM13	GADD45B	224	1
2_MACS_peak_19307_lociStitched	chr5	131789989	131804263	2	12129	30680.5356	3097.458	227	C5orf56	IRF1	IRF1	227	1
3_MACS_peak_17833_lociStitched	chr4	77117822	77136369	3	11666	36745.3164	3536.9129	228	SCARB2	FAM47E,NUP54	SCARB2	228	1
2_MACS_peak_14581_lociStitched	chr20	43270374	43282168	2	11752	34066.969	2468.4842	229	ADA	LOC79015	ADA	229	1
2_MACS_peak_15338_lociStitched	chr22	29207166	29221399	2	11414	37328.8891	2184.7655	231		CCDC117,XBP1	XBP1	231	1
2_MACS_peak_15320_lociStitched	chr22	26974709	26992360	2	12161	28582.2643	3014.7908	233	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	233	1
1_MACS_peak_13588_lociStitched	chr2	182168457	182180054	1	11598	34242.4619	1922.7826	235			ITGA4	235	1
2_MACS_peak_9340_lociStitched	chr17	4842031	4854569	2	10880	41500.78	2319.53	236	RNF167,ENO3,SLC25A11,PFN1	C17orf107,GP1BA,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	PFN1	236	1
5_MACS_peak_11097_lociStitched	chr19	1847043	1865727	5	11214	39572.712	3654.5904	237	REXO1,KLF16	LOC100288123,SCAMP4,ADAT3,ATP8B3,MIR1909,FAM108A1	KLF16	237	1
5_MACS_peak_24749_lociStitched	chrX	10065117	10090937	5	12280	24552.238	2241.176	238	WWC3	CLCN4	CLCN4	238	1
3_MACS_peak_4567_lociStitched	chr11	111237752	111251224	3	11652	33130.3424	2469.4176	239	POU2AF1		POU2AF1	239	1
1_MACS_peak_3986_lociStitched	chr11	58339987	58348205	1	8219	56934.304	1520.33	240	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	240	1
2_MACS_peak_3783_lociStitched	chr11	19451332	19465858	2	11480	33870.2742	2746.8666	243	NAV2		NAV2	243	1
1_MACS_peak_22173_lociStitched	chr7	104651338	104658078	1	6741	61970.93	1363.502	245	MLL5,LOC100216545		MLL5	245	1
3_MACS_peak_12469_lociStitched	chr2	42323613	42334568	3	9671	48622.672	2277.5445	246		PKDCC	PKDCC	246	1
3_MACS_peak_22166_lociStitched	chr7	104576402	104586846	3	8153	56889.5124	2179.6628	247		LOC723809	LOC723809	247	1
4_MACS_peak_2526_lociStitched	chr10	7511714	7535576	4	11613	32134.9554	3426.5832	248			SFMBT2	248	1
2_MACS_peak_13747_lociStitched	chr2	202116234	202128316	2	10620	40843.201	2171.1354	249	CASP8		CASP8	249	1
2_MACS_peak_18424_lociStitched	chr4	185201333	185210995	2	8756	52930.3684	1872.4956	250			ENPP6	250	1
4_MACS_peak_10387_lociStitched	chr17	74476202	74498348	4	11547	32441.6754	3671.8068	251	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	251	1
2_MACS_peak_1540_lociStitched	chr1	156709453	156722773	2	11553	30801.168	3564.432	252	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	252	1
1_MACS_peak_19824_lociStitched	chr6	389059	400871	1	11813	25734.8044	2329.3264	253	IRF4		IRF4	253	1
3_MACS_peak_25488_lociStitched	chrX	153232735	153252500	3	11109	33598.5235	1674.0955	254	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	MIR3202-1	254	1
2_MACS_peak_24137_lociStitched	chr9	94181110	94192729	2	11475	29150.9091	1876.4685	255	NFIL3		NFIL3	255	1
4_MACS_peak_20350_lociStitched	chr6	37122310	37144192	4	11734	26538.4896	3179.4546	256	PIM1		PIM1	256	1
4_MACS_peak_9380_lociStitched	chr17	7136665	7156735	4	11304	31951.44	3080.745	257	C17orf81,DVL2,PHF23,GABARAP,CTDNEP1	ACADVL,SLC2A4,DLG4,MIR324,CLDN7,YBX2	GABARAP	257	1
2_MACS_peak_7793_lociStitched	chr15	65173631	65189389	2	9303	48203.722	2633.1618	258		PLEKHO2,ANKDD1A	ANKDD1A	258	1
2_MACS_peak_22254_lociStitched	chr7	114561626	114573736	2	9185	48369.762	2466.807	259	MDFIC		MDFIC	259	1
2_MACS_peak_8861_lociStitched	chr16	56943579	56952653	2	6904	58736.002	1685.9492	260	SLC12A3	HERPUD1,CETP	HERPUD1	260	1
4_MACS_peak_18667_lociStitched	chr5	32530429	32543914	4	11402	28264.56	2701.0455	262		SUB1	SUB1	262	1
3_MACS_peak_849_lociStitched	chr1	66736688	66750362	3	10720	35977.6614	2573.4468	263	PDE4B	PDE4B	PDE4B	263	1
3_MACS_peak_17613_lociStitched	chr4	38307328	38322285	3	11319	27773.6533	2312.3522	266			KLF3	266	1
4_MACS_peak_16508_lociStitched	chr3	101487744	101513170	4	11504	25802.3048	3928.317	267	FAM55C	CEP97,NFKBIZ	FAM55C	267	1
3_MACS_peak_7919_lociStitched	chr15	74906533	74924294	3	11386	26376.8611	3351.5007	269	CLK3,EDC3		CLK3	269	1
1_MACS_peak_19465_lociStitched	chr5	142774893	142785945	1	11053	28835.7732	1456.6536	271	NR3C1		NR3C1	271	1
4_MACS_peak_21034_lociStitched	chr6	135322933	135343833	4	10809	32771.2	2762.98	272	HBS1L	MIR3662,HBS1L	MIR3662	272	1
3_MACS_peak_24997_lociStitched	chrX	48790606	48805630	3	10597	34038.3744	1810.392	273	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	273	1
4_MACS_peak_11076_lociStitched	chr19	1258500	1277369	4	10904	32822.6255	4194.5787	274	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	274	1
3_MACS_peak_17042_lociStitched	chr3	169755050	169776644	3	11358	26808.951	4839.2154	276	GPR160		GPR160	276	1
4_MACS_peak_12674_lociStitched	chr2	64862730	64883516	4	11167	28009.135	3219.7514	277	SERTAD2	LOC339807	SERTAD2	277	1
2_MACS_peak_17244_lociStitched	chr3	186780208	186792454	2	8646	50261.2578	3648.0834	278	ST6GAL1		ST6GAL1	278	1
2_MACS_peak_20456_lociStitched	chr6	45386654	45402203	2	9790	40676.184	2172.1953	279	RUNX2	SUPT3H	RUNX2	279	1
5_MACS_peak_12060_lociStitched	chr19	56145399	56168015	5	11017	29418.8928	3417.2776	280	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	280	1
4_MACS_peak_11417_lociStitched	chr19	13943931	13959304	4	10473	33860.5698	2255.2191	281	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	281	1
2_MACS_peak_14423_lociStitched	chr20	32461921	32473630	2	8064	51435.2952	2547.8784	282			CHMP4B	282	1
3_MACS_peak_14867_lociStitched	chr21	19152094	19167841	3	11006	26510.0745	2368.3488	284	C21orf91		C21orf91	284	1
2_MACS_peak_14757_lociStitched	chr20	56047656	56058352	2	9530	41199.9224	2041.8664	285		CTCFL	CTCFL	285	1
3_MACS_peak_10234_lociStitched	chr17	62970447	62986157	3	8256	49915.383	3022.604	286	AMZ2P1		AMZ2P1	286	1
2_MACS_peak_19386_lociStitched	chr5	138719960	138730324	2	10218	34668.6164	2470.7776	288	MZB1,LOC389333	PAIP2,SLC23A1,SPATA24,DNAJC18	MZB1	288	1
4_MACS_peak_19034_lociStitched	chr5	87954665	87976825	4	9921	38372.256	3463.608	290	LOC645323,MIR9-2		MIR9-2	290	1
1_MACS_peak_19504_lociStitched	chr5	148204798	148215757	1	10960	25057.7535	2619.201	291	ADRB2		ADRB2	291	1
3_MACS_peak_4413_lociStitched	chr11	82764926	82784477	3	10463	32149.6644	3785.0736	295	RAB30	SNORA70E	RAB30	295	1
4_MACS_peak_15102_lociStitched	chr21	45194955	45210766	4	10756	28194.1752	4275.2944	296	RRP1,CSTB	LOC284837	RRP1	296	1
3_MACS_peak_4247_lociStitched	chr11	67760479	67778465	3	10508	30189.501	3284.2436	297	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	297	1
2_MACS_peak_12533_lociStitched	chr2	47203648	47215367	2	9923	34762.0697	2146.9208	299	TTC7A	MCFD2	MCFD2	299	1
3_MACS_peak_7915_lociStitched	chr15	74827407	74846018	3	10548	28813.5502	3109.8981	300	ARID3B		ARID3B	300	1
1_MACS_peak_9801_lociStitched	chr17	37909501	37916805	1	7305	51382.9096	1662.3904	301		GRB7,C17orf37	GRB7	301	1
1_MACS_peak_13978_lociStitched	chr2	231729553	231739621	1	10069	32028.3216	1011.834	302	ITM2C		ITM2C	302	1
2_MACS_peak_10271_lociStitched	chr17	66230387	66245168	2	8279	47145.4776	2628.0618	304	AMZ2	LOC440461,ARSG,SLC16A6	AMZ2	304	1
3_MACS_peak_3320_lociStitched	chr10	104401207	104421763	3	10598	26967.4164	3245.7924	305	TRIM8		TRIM8	305	1
2_MACS_peak_3391_lociStitched	chr10	112216440	112226137	2	7848	48351.1814	2067.4004	307		DUSP5	DUSP5	307	1
2_MACS_peak_6083_lociStitched	chr12	125397830	125412854	2	10488	26551.9152	1643.6256	308	UBC	SCARB1	UBC	308	1
4_MACS_peak_4895_lociStitched	chr12	6554994	6581021	4	10243	32104.3045	4338.7009	310	CD27,TAPBPL,LOC678655,VAMP1	NCAPD2,SCARNA10,MRPL51	TAPBPL	310	1
4_MACS_peak_15068_lociStitched	chr21	43638912	43657621	4	10036	34026.0583	4054.2403	311	ABCG1		ABCG1	311	1
4_MACS_peak_2806_lociStitched	chr10	45913847	45931430	4	9502	37465.8564	2700.7488	313	ALOX5		ALOX5	313	1
1_MACS_peak_262_lociStitched	chr1	23850425	23858951	1	8527	43508.178	1748.6826	314	E2F2	ASAP3,ID3	E2F2	314	1
3_MACS_peak_19689_lociStitched	chr5	171601010	171616091	3	10400	27595.2138	2699.499	315	STK10	EFCAB9	STK10	315	1
2_MACS_peak_14549_lociStitched	chr20	40710443	40724594	2	7761	47778.0213	2190.5748	319	PTPRT		CHD6	319	1
3_MACS_peak_21883_lociStitched	chr7	74057214	74076857	3	10428	26099.6541	2687.1624	322	GTF2I		GTF2I	322	1
3_MACS_peak_9125_lociStitched	chr16	81841646	81857651	3	10426	24988.6065	1690.128	323	PLCG2		PLCG2	323	1
2_MACS_peak_6623_lociStitched	chr13	115039471	115048792	2	8317	43497.3786	1487.6316	324	UPF3A	CDC16,ZNF828	UPF3A	324	1
1_MACS_peak_11791_lociStitched	chr19	42051898	42062147	1	10250	26917.9736	1839.6955	325		CEACAM21	CEACAM21	325	1
5_MACS_peak_12750_lociStitched	chr2	70335042	70360818	5	9991	31534.3584	3572.5536	328	LOC100133985	PCBP1,LOC400960	LOC100133985	328	1
4_MACS_peak_5850_lociStitched	chr12	109161889	109181093	4	9651	34674.7424	3351.098	329	SSH1	CORO1C,SSH1	CORO1C	329	1
2_MACS_peak_16682_lociStitched	chr3	124501845	124512136	2	9420	34952.3524	1767.9938	330	ITGB5		UMPS	330	1
2_MACS_peak_11662_lociStitched	chr19	35695309	35706045	2	8023	45293.0368	2264.2224	331		FXYD5,LSR,FAM187B	FAM187B	331	1
2_MACS_peak_16271_lociStitched	chr3	52729969	52745713	2	10223	26860.8384	2693.7984	333	SPCS1,GLT8D1,NEK4	GNL3,SNORD19,SNORD19B,SNORD69,PBRM1	GLT8D1	333	1
1_MACS_peak_20598_lociStitched	chr6	74224311	74234436	1	10126	27362.8125	2062.4625	334	EEF1A1		EEF1A1	334	1
3_MACS_peak_10437_lociStitched	chr17	76163869	76183649	3	10308	25715.978	2935.352	335	SYNGR2,AFMID,TK1	TMC8,C17orf99,BIRC5,LOC283999,TMC6,EPR1	SYNGR2	335	1
1_MACS_peak_21530_lociStitched	chr7	26002454	26009714	1	7261	48760.338	1944.954	336		MIR148A	MIR148A	336	1
2_MACS_peak_20105_lociStitched	chr6	26358039	26367419	2	9249	35812.84	1796.27	337	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	337	1
2_MACS_peak_11462_lociStitched	chr19	16221417	16231672	2	9341	35126.4515	2030.49	339	RAB8A	TPM4,HSH2D	RAB8A	339	1
2_MACS_peak_24559_lociStitched	chr9	132645979	132657863	2	8348	42122.838	2069.0044	343	FNBP1	USP20,C9orf78	USP20	343	1
3_MACS_peak_20400_lociStitched	chr6	42737867	42752257	3	8895	37690.288	1935.455	345		LOC442211,KIAA0240,PRPH2,TBCC	TBCC	345	1
2_MACS_peak_15272_lociStitched	chr22	23477870	23488794	2	9538	32373.274	2342.1056	346	RAB36,RTDR1	BCR	RTDR1	346	1
1_MACS_peak_2720_lociStitched	chr10	30989408	30996752	1	7345	46929.6288	1594.3824	347			LYZL2	347	1
2_MACS_peak_2272_lociStitched	chr1	228268815	228279473	2	10159	25064.4186	2734.8428	348	ARF1	MIR3620,GUK1,C1orf35,MRPL55	ARF1	348	1
2_MACS_peak_16118_lociStitched	chr3	46246184	46257087	2	8530	40380.3508	2575.2886	349	CCR1	CCR3	CCR1	349	1
2_MACS_peak_2064_lociStitched	chr1	209275712	209283978	2	7584	45985.4112	2339.278	351			LOC642587	351	1
3_MACS_peak_20128_lociStitched	chr6	27098356	27116023	3	10022	26445.7323	3293.1288	353	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	353	1
3_MACS_peak_11459_lociStitched	chr19	16180454	16198167	3	9401	32900.1262	2747.2863	354	TPM4	FLJ25328,RAB8A,HSH2D	TPM4	354	1
2_MACS_peak_11778_lociStitched	chr19	41801234	41817336	2	9562	30962.5358	3096.4146	357	HNRNPUL1,CCDC97	TGFB1	CCDC97	357	1
3_MACS_peak_8192_lociStitched	chr15	93346403	93364376	3	9266	33623.8884	2956.5585	358		ASB9P1	ASB9P1	358	1
3_MACS_peak_10541_lociStitched	chr17	80405722	80424033	3	8863	37636.4294	3620.0847	361	NARF,C17orf62	HEXDC,C17orf101	NARF	361	1
2_MACS_peak_10489_lociStitched	chr17	78873549	78887011	2	7942	42604.5376	2209.1142	363	RPTOR		CHMP6	363	1
3_MACS_peak_1760_lociStitched	chr1	179048823	179061695	3	7726	45157.5504	3512.7688	365	TOR3A		TOR3A	365	1
2_MACS_peak_1601_lociStitched	chr1	161144605	161157317	2	9501	30750.328	3264.4416	366	B4GALT3	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,ADAMTS4,APOA2	B4GALT3	366	1
3_MACS_peak_16191_lociStitched	chr3	49054575	49067636	3	9920	24672.229	2458.0802	367	NDUFAF3,DALRD3,MIR425,MIR191,IMPDH2,QRICH1	P4HTM,WDR6	NDUFAF3	367	1
1_MACS_peak_284_lociStitched	chr1	24512159	24519336	1	7178	45947.8717	1683.7242	369	IL28RA	LOC284632,IL22RA1	IL28RA	369	1
2_MACS_peak_9202_lociStitched	chr16	89033401	89046099	2	9407	29200.3208	1131.3918	370	CBFA2T3	CBFA2T3	CBFA2T3	370	1
2_MACS_peak_17326_lociStitched	chr3	196358021	196371182	2	8993	34877.9661	3313.9398	373	LRRC33		LRRC33	373	1
4_MACS_peak_23636_lociStitched	chr8	145732527	145754795	4	9612	27570.0108	3057.3964	378	GPT,MFSD3,LRRC14,RECQL4,LRRC24,MGC70857,ARHGAP39	KIFC2,PPP1R16A,CYHR1,FOXH1	LRRC14	378	1
3_MACS_peak_15521_lociStitched	chr22	39095519	39106140	3	8703	35434.8423	1964.885	379	GTPBP1,JOSD1	CBY1,TOMM22,LOC646851,SUN2	GTPBP1	379	1
5_MACS_peak_12658_lociStitched	chr2	64430647	64456341	5	9769	25989.481	4005.6946	381	LOC150992		LOC150992	381	1
2_MACS_peak_9373_lociStitched	chr17	6915011	6926073	2	6798	46576.551	1866.1594	384	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	384	1
2_MACS_peak_22902_lociStitched	chr8	33410212	33425405	2	8298	38426.1356	2594.9644	385	RNF122	C8orf41,DUSP26	RNF122	385	1
2_MACS_peak_15041_lociStitched	chr21	41295823	41309005	2	7755	42944.3196	3528.8214	386	PCP4		PCP4	386	1
4_MACS_peak_14322_lociStitched	chr20	23329861	23348000	4	9495	27661.975	2967.5404	387	NXT1,GZF1		GZF1	387	1
1_MACS_peak_18012_lociStitched	chr4	105407587	105417287	1	9701	23093.76	1368.67	389	CXXC4		CXXC4	389	1
3_MACS_peak_12297_lociStitched	chr2	25624062	25645503	3	9155	31520.4141	3707.1489	392	DTNB		DNMT3A	392	1
2_MACS_peak_22551_lociStitched	chr7	150100998	150113927	2	6813	47318.8471	3246.4719	393	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	393	1
1_MACS_peak_8148_lociStitched	chr15	90637885	90646619	1	8735	33372.614	1801.8242	395	IDH2		IDH2	395	1
2_MACS_peak_5655_lociStitched	chr12	89738340	89749556	2	9504	25311.1472	2387.8864	399	DUSP6		DUSP6	399	1
3_MACS_peak_6024_lociStitched	chr12	122227347	122243664	3	9078	28556.3817	1355.9427	400	SETD1B,RHOF,LOC338799		RHOF	400	1
1_MACS_peak_12882_lociStitched	chr2	86220343	86228679	1	8337	35637.2336	1903.9424	401		LOC90784	LOC90784	401	1
2_MACS_peak_14824_lociStitched	chr20	62358167	62371002	2	9517	24037.388	2273.0785	403	ZGPAT,LIME1	TNFRSF6B,SLC2A4RG,ARFRP1	LIME1	403	1
3_MACS_peak_16696_lociStitched	chr3	125548494	125560462	3	9020	29976.2496	2591.072	407		MIR548I1	MIR548I1	407	1
4_MACS_peak_20230_lociStitched	chr6	31743761	31764537	4	8800	32146.7048	3251.444	411	C6orf27,VARS	MSH5,C6orf26,HSPA1A,HSPA1B,C6orf48,SNORD48,SNORD52,DDAH2,CLIC1,LSM2,HSPA1L	C6orf27	411	1
1_MACS_peak_18222_lociStitched	chr4	144273137	144282136	1	9000	28315.3535	1636.9181	412	GAB1		GAB1	412	1
3_MACS_peak_20144_lociStitched	chr6	27791054	27807955	3	8892	30742.919	2957.675	413	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	413	1
2_MACS_peak_9322_lociStitched	chr17	4267941	4281187	2	9384	24212.3634	2205.459	414	UBE2G1		UBE2G1	414	1
1_MACS_peak_3393_lociStitched	chr10	112255834	112264947	1	9114	27191.3694	1989.3679	415	DUSP5		DUSP5	415	1
3_MACS_peak_10592_lociStitched	chr18	3245818	3263137	3	7296	42275.679	2874.954	417	MYL12A,MYL12B	MYOM1	MYL12A	417	1
1_MACS_peak_20803_lociStitched	chr6	106610043	106617269	1	7227	41369.5726	1737.1304	423			PRDM1	423	1
4_MACS_peak_1863_lociStitched	chr1	192498646	192521061	4	9026	30204.2125	4680.252	424		RGS1	RGS1	424	1
2_MACS_peak_22626_lociStitched	chr8	1991048	2000524	2	7184	41229.1284	1780.5404	428	MYOM2		MYOM2	428	1
2_MACS_peak_1422_lociStitched	chr1	152006491	152021692	2	8330	35504.9757	4016.1042	430	S100A11	S100A10,TCHHL1	S100A11	430	1
1_MACS_peak_16997_lociStitched	chr3	160116030	160123725	1	7696	37572.3765	1535.922	433	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	433	1
2_MACS_peak_7908_lociStitched	chr15	74665537	74678736	2	6759	43939.471	2488.0115	435		CYP11A1,SEMA7A	CYP11A1	435	1
2_MACS_peak_5438_lociStitched	chr12	57071173	57083774	2	8235	33823.6042	1948.1146	436	PTGES3	BAZ2A,SNORD59B,SNORD59A,ATP5B,NACA	PTGES3	436	1
3_MACS_peak_9290_lociStitched	chr17	2294295	2305828	3	8630	30236.0661	1984.8293	439	MNT	LOC284009	MNT	439	1
1_MACS_peak_9809_lociStitched	chr17	38016512	38025163	1	8652	29473.0919	1815.8449	443	ZPBP2,IKZF3	GSDMB	IKZF3	443	1
3_MACS_peak_16228_lociStitched	chr3	50357895	50376402	3	7785	37900.4853	3140.6379	444	HYAL2,TUSC2,RASSF1	C3orf45,CYB561D2,IFRD2,NAT6,HYAL3,HYAL1,ZMYND10,NPRL2,TMEM115	TUSC2	444	1
3_MACS_peak_2997_lociStitched	chr10	74007019	74024298	3	9038	26011.8066	2638.5033	445		ANAPC16,DDIT4,ASCC1	DDIT4	445	1
3_MACS_peak_14957_lociStitched	chr21	34695964	34712460	3	8899	28877.8976	3888.1072	446	IFNAR1		IFNAR1	446	1
4_MACS_peak_11477_lociStitched	chr19	16545055	16561774	4	9105	24852.7935	2593.1169	449	EPS15L1	C19orf44,CALR3	EPS15L1	449	1
1_MACS_peak_13863_lociStitched	chr2	217080196	217088887	1	8692	28366.5549	1802.5134	453			XRCC5	453	1
2_MACS_peak_15045_lociStitched	chr21	41380863	41389777	2	8765	28323.3436	2645.6752	454	DSCAM		PCP4	454	1
2_MACS_peak_17101_lociStitched	chr3	176912114	176920892	2	8759	27778.8588	2320.9032	459	TBL1XR1		TBL1XR1	459	1
2_MACS_peak_5341_lociStitched	chr12	51712107	51721898	2	8954	25124.6851	1904.3495	461	BIN2	SMAGP,CELA1	BIN2	461	1
3_MACS_peak_24123_lociStitched	chr9	93671144	93688454	3	8497	30282.114	2901.156	462			SYK	462	1
3_MACS_peak_5544_lociStitched	chr12	68752108	68770060	3	8685	28335.4368	3145.1904	465		MDM1	MDM1	465	1
2_MACS_peak_5792_lociStitched	chr12	104318617	104327169	2	7454	37166.1368	1932.752	466	HSP90B1,MIR3652,GNN	TDG,C12orf73	GNN	466	1
2_MACS_peak_4708_lociStitched	chr11	122929583	122941670	2	8450	29060.7741	1800.963	467	HSPA8	LOC341056	HSPA8	467	1
1_MACS_peak_9777_lociStitched	chr17	36856340	36863628	1	7289	37447.2016	1361.3984	469	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	469	1
1_MACS_peak_1895_lociStitched	chr1	197740021	197748678	1	8658	26859.2082	2140.8761	470	DENND1B		DENND1B	470	1
2_MACS_peak_17775_lociStitched	chr4	71542180	71555266	2	8770	25079.319	2193.2136	472	UTP3	ENAM,RUFY3,IGJ	UTP3	472	1
2_MACS_peak_6814_lociStitched	chr14	50465385	50476655	2	7512	34889.666	1155.175	479	C14orf182		C14orf182	479	1
2_MACS_peak_1277_lociStitched	chr1	145448893	145458013	2	8701	25745.76	2725.056	481	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	481	1
1_MACS_peak_5711_lociStitched	chr12	94596487	94603621	1	7135	37715.3178	1573.7604	482	PLXNC1		PLXNC1	482	1
2_MACS_peak_19727_lociStitched	chr5	173696782	173709856	2	8446	27753.4872	2270.9538	489			HMP19	489	1
2_MACS_peak_17377_lociStitched	chr4	1712285	1725175	2	7864	32704.508	1939.945	490	TACC3,SLBP,TMEM129	FAM53A	TMEM129	490	1
2_MACS_peak_24442_lociStitched	chr9	127622928	127636160	2	8611	25328.6944	2233.5616	494	ARPC5L,RPL35	WDR38	ARPC5L	494	1
1_MACS_peak_14624_lociStitched	chr20	45979290	45987311	1	8022	30598.5108	1688.4205	495	ZMYND8	LOC100131496	ZMYND8	495	1
3_MACS_peak_1805_lociStitched	chr1	183438744	183451214	3	8238	30143.731	3262.152	496	SMG7		SMG7	496	1
3_MACS_peak_11987_lociStitched	chr19	50369542	50382070	3	7667	34211.4624	2546.9424	497	TBC1D17,PNKP,AKT1S1	MED25,PTOV1,ATF5,IL4I1	AKT1S1	497	1
2_MACS_peak_13398_lociStitched	chr2	157188303	157200528	2	7512	34364.475	1684.605	500	NR4A2		NR4A2	500	1
4_MACS_peak_5553_lociStitched	chr12	69195701	69209865	4	8525	25415.8816	1868.2316	502	MDM2		MDM2	502	1
3_MACS_peak_2521_lociStitched	chr10	6954666	6972559	3	7443	35580.2305	2621.3245	504			LOC439949	504	1
2_MACS_peak_10395_lociStitched	chr17	74721355	74735074	2	7993	30897.9318	2266.3788	505	C17orf95,MFSD11,JMJD6,SRSF2,MIR636	MXRA7	MIR636	505	1
2_MACS_peak_22819_lociStitched	chr8	26428276	26437496	2	7748	32211.914	1777.616	507	DPYSL2		DPYSL2	507	1
2_MACS_peak_4212_lociStitched	chr11	67034088	67046665	2	8216	27591.4226	2151.9247	515	ADRBK1	ANKRD13D,SSH3,LOC100130987	ADRBK1	515	1
