GENE_ID	locusLine	bin_1_U266_jia.bam
NM_001134650	chr3(.):71723439-71783269	0.2248
NM_001134649	chr3(.):71723439-71808532	0.1746
NM_173359	chr3(.):71723439-71808924	0.1741
NM_018971	chr3(.):71798200-71809328	0.0654
NM_198490	chr3(.):128801417-128845619	0.5044
NM_000174	chr3(.):128774644-128786253	0.1715
NM_020701	chr3(.):128841258-128885073	0.227
NM_020187	chr3(.):128992683-129029135	0.8609
NM_001006109	chr3(.):128992816-129029135	0.8634
NM_006026	chr3(.):129028613-129040120	2.6737
NR_026991	chr3(.):129030113-129048412	1.6625
NM_001145417	chr3(.):135862759-135918310	0.3446
NM_018133	chr3(.):135862759-135919688	0.3382
NM_014779	chr3(.):150121787-150182615	0.3319
NR_027037	chr3(.):151975404-151992415	0.9397
NR_034007	chr3(.):156794455-156845791	0.434
NM_020307	chr3(.):156860585-156883482	0.8032
NM_173084	chr3(.):160148290-160172626	0.4352
NR_029663	chr3(.):160117375-160127473	1.3716
NM_005496	chr3(.):160113346-160157741	0.4475
NM_001002800	chr3(.):160112429-160157741	0.4401
NR_029525	chr3(.):160117532-160127613	1.3172
NM_018657	chr3(.):169485852-169512504	0.4745
NM_032487	chr3(.):169479710-169492683	1.2105
NM_001172780	chr3(.):169508428-169535574	0.0963
NM_001080460	chr3(.):169534709-169560560	0.0993
NR_001566	chr3(.):169477397-169487848	0.5528
NM_001185119	chr3(.):169487052-169512504	0.492
NM_014373	chr3(.):169750734-169808183	0.8154
NM_001145098	chr3(.):170070472-170115950	0.4781
NM_001145097	chr3(.):170072410-170115950	0.4861
NM_024524	chr3(.):194118402-194193968	0.1077
NR_033929	chr3(.):194202868-194214274	2.5505
NM_006241	chr3(.):195236220-195275224	0.6739
NR_003265	chr3(.):195379909-195420735	0.392
NM_005781	chr3(.):195585235-195640880	0.4873
NM_001010938	chr3(.):195585235-195627432	0.2696
NM_138461	chr3(.):196045418-196070258	0.146
NM_005017	chr3(.):195960252-196019584	0.4085
NM_152773	chr3(.):196013089-196050159	0.5126
NR_003266	chr3(.):197335897-197359752	0.4935
NM_014687	chr3(.):197393258-197468773	0.2881
NM_001145642	chr3(.):197393313-197481568	0.435
NR_027840	chr3(.):197472260-197516317	0.4458
NM_032288	chr3(.):197471623-197516317	0.4406
NR_030627	chr3(.):197396366-197406447	0.1157
NM_001011537	chr3(.):197471423-197516317	0.4394
NM_003215	chr4(.):48132799-48276814	0.2747
NM_198281	chr4(.):90160428-90234161	0.3355
NM_001102406	chr4(.):113213498-113368764	0.0978
NM_024605	chr4(.):148648452-148998927	0.1651
NM_178835	chr4(.):146676887-146864607	0.2652
NM_001042424	chr4(.):1868122-1988934	0.21
NM_001017405	chr4(.):1278671-1338925	0.1763
NM_133330	chr4(.):1889508-1988930	0.092
NM_012318	chr4(.):1808205-1862974	0.2032
NR_033182	chr4(.):1160639-1207634	0.2557
NM_001199021	chr4(.):1155720-1207750	0.2426
NM_014189	chr4(.):2840583-2936789	0.1699
NM_024309	chr4(.):2738386-2763103	0.4581
NM_002938	chr4(.):2465794-2522586	0.2797
NM_020972	chr4(.):2266323-2425370	0.2297
NM_001172657	chr4(.):2326979-2425370	0.3013
NM_001172660	chr4(.):2325305-2371604	0.0885
NM_001185009	chr4(.):2466179-2522586	0.2807
NM_001161527	chr4(.):2738386-2762752	0.4566
NM_001172658	chr4(.):2325305-2425370	0.2974
NM_147127	chr4(.):5559145-5715294	0.2124
NM_001166136	chr4(.):5559145-5716275	0.2135
NM_153717	chr4(.):5707923-5821031	0.2678
NM_001113361	chr4(.):6906170-7039845	0.442
NM_020773	chr4(.):6906494-7039845	0.4419
NM_005112	chr4(.):10070962-10123573	0.5978
NM_004310	chr4(.):40193526-40251281	0.8393
NM_001136570	chr4(.):77167852-77209929	0.0486
NM_005723	chr4(.):99386517-99584812	0.1792
NM_024900	chr4(.):129725778-129790787	0.4328
NM_199320	chr4(.):129725778-129801379	0.3801
NM_057175	chr4(.):140217675-140316935	0.2432
NM_201999	chr4(.):139973870-140065606	0.2016
NM_018717	chr4(.):140632545-141080233	0.1325
NM_002039	chr4(.):144252982-144400718	0.5484
NR_033339	chr4(.):1238227-1251795	1.1535
NM_001012614	chr4(.):1200227-1247908	0.5494
NM_133334	chr4(.):1897352-1955545	0.0928
NM_001193282	chr4(.):2415700-2469690	0.2598
NM_001145856	chr4(.):2814911-2847823	0.3226
NM_001145855	chr4(.):2808945-2847823	0.3859
NM_001122681	chr4(.):2789749-2847823	0.427
NM_003023	chr4(.):2815540-2847823	0.3238
NM_001113363	chr4(.):6983888-7039845	0.3151
NR_036090	chr4(.):10075234-10085316	0.0943
NM_182485	chr4(.):14999297-15076777	0.385
NM_017581	chr4(.):40332468-40361973	0.0661
NM_017426	chr4(.):77030816-77074655	0.079
NM_005506	chr4(.):77074893-77140035	0.2894
NR_002799	chr4(.):100866635-100878620	1.1905
NM_002106	chr4(.):100864243-100876512	1.1884
NM_001031723	chr4(.):100815709-100872879	0.3004
NM_025212	chr4(.):105388342-105417467	0.6165
NM_017700	chr4(.):106468776-106557837	0.2455
NM_018569	chr4(.):113147894-113196211	0.2023
NM_052864	chr4(.):113191781-113212059	1.2075
NM_001184988	chr4(.):140206070-140228705	1.0216
NM_001184986	chr4(.):140206070-140227364	1.0691
NM_002494	chr4(.):140206070-140227388	1.068
NM_032623	chr4(.):140182316-140206492	0.3541
NM_030648	chr4(.):140422191-140482577	0.5309
NM_138364	chr4(.):148554533-148610280	0.1629
NM_002372	chr5(.):109020155-109208429	0.2269
NM_015315	chr5(.):154087461-154202163	0.2919
NM_007118	chr5(.):14138828-14514458	0.1299
NM_001040446	chr5(.):32222110-32318114	0.5201
NM_024669	chr5(.):55390506-55534186	0.2437
NR_015436	chr5(.):87831596-87985620	0.2296
NM_002064	chr5(.):95144552-95163577	0.934
NM_012081	chr5(.):95215801-95302775	0.5795
NM_001077654	chr5(.):118599417-118735294	0.4742
NM_020747	chr5(.):123967609-124085805	0.2586
NM_003060	chr5(.):131700400-131736306	0.2029
NM_015082	chr5(.):132527151-132953223	0.1333
NM_001020825	chr5(.):142652495-142788254	0.1722
NM_001018076	chr5(.):142652495-142789045	0.1713
NM_001018075	chr5(.):142652495-142820077	0.1494
NM_004045	chr5(.):151117382-151143210	1.3433
NM_005990	chr5(.):171464073-171620346	0.3116
NM_003714	chr5(.):172736725-172761506	0.7397
NM_022455	chr5(.):176555832-176732214	0.1692
NM_172349	chr5(.):176555079-176732214	0.1697
NM_002406	chr5(.):180212540-180235048	0.6227
NM_001114619	chr5(.):180212540-180235902	0.6185
NM_001114618	chr5(.):180212540-180241817	0.8789
NM_001114617	chr5(.):180212540-180242137	0.8713
NM_052909	chr5(.):135372-195087	0.4124
NM_145265	chr5(.):199874-223297	0.2815
NM_001080478	chr5(.):186625-200468	1.5651
NM_004168	chr5(.):213355-261814	0.1763
NM_001193376	chr5(.):1248286-1300162	0.1436
NM_030782	chr5(.):1312999-1350002	1.3971
NM_001145161	chr5(.):6443735-6501834	1.3535
NM_001171805	chr5(.):6709717-6762161	0.5638
NM_001171806	chr5(.):6741100-6762161	0.0945
NM_022130	chr5(.):32119823-32179425	0.3405
NM_006713	chr5(.):32580604-32609185	0.5237
NM_001014279	chr5(.):43034181-43045447	1.1107
NR_034085	chr5(.):43011149-43023913	0.7447
NR_015447	chr5(.):43037235-43050370	0.9619
NM_001102575	chr5(.):53808592-53847416	1.2198
NM_001145427	chr5(.):53808588-53847416	1.2197
NM_052870	chr5(.):53808592-53821834	2.0552
NM_005921	chr5(.):56105899-56196978	0.3008
NR_024384	chr5(.):87955262-87974146	1.4142
NR_024383	chr5(.):87955262-87979262	1.1778
NR_030741	chr5(.):87957670-87967757	0.5171
NM_031952	chr5(.):94989019-95023714	0.104
NM_014899	chr5(.):95061849-95137071	0.3669
NR_026936	chr5(.):95182935-95200836	0.1955
NR_033932	chr5(.):98100321-98113788	1.0682
NM_001012761	chr5(.):98099998-98137198	0.4257
NM_005668	chr5(.):100137638-100243987	0.2493
NM_175052	chr5(.):100216014-100243970	0.6938
NR_036052	chr5(.):118305280-118315362	0.0716
NM_014350	chr5(.):118686595-118735294	0.2635
NR_037500	chr5(.):131696181-131706291	0.4161
NM_002198	chr5(.):131812300-131831465	0.5379
NM_001013717	chr5(.):131741672-131803059	1.173
NM_000879	chr5(.):131872135-131884214	0.0357
NM_015288	chr5(.):133856797-133923918	0.5498
NM_016463	chr5(.):139023300-139067680	0.7851
NM_006058	chr5(.):150404505-150465997	0.6387
NM_002084	chr5(.):150394998-150413554	0.1159
NM_001155	chr5(.):150475266-150542443	0.6712
NM_001193544	chr5(.):150475266-150526216	0.4822
NM_005754	chr5(.):151146475-151189915	0.4086
NM_001171183	chr5(.):171616175-171635458	0.0864
NM_030627	chr5(.):173310330-173392313	0.9058
NM_001031677	chr5(.):176723198-176735744	0.7899
NM_006480	chr5(.):176779843-176804599	0.2718
NM_006816	chr5(.):176753562-176783885	0.2008
NM_031300	chr5(.):176729205-176744292	1.0685
NM_001142935	chr5(.):176727500-176744292	1.0425
NM_013237	chr5(.):176725834-176738950	1.0885
NR_031598	chr5(.):179220277-179230346	0.4873
NM_145867	chr5(.):179215985-179228513	0.3954
NM_003900	chr5(.):179242841-179270077	1.0531
NM_016175	chr5(.):179259265-179290840	0.2424
NM_054013	chr5(.):179219597-179234875	0.996
NM_014275	chr5(.):179219597-179238952	0.8188
NM_001142298	chr5(.):179228387-179270077	0.9676
NM_001142299	chr5(.):179229002-179270077	0.9801
NR_027183	chr5(.):180251958-180267726	0.961
NM_152283	chr5(.):180269610-180293286	0.3042
NM_206880	chr5(.):180576942-180587890	0.288
NM_006098	chr5(.):180658927-180675906	1.1446
NM_033342	chr5(.):180625119-180637177	0.3139
NR_002591	chr5(.):180665313-180675376	1.7965
NR_002592	chr5(.):180663817-180673889	1.549
NM_032765	chr5(.):180678385-180693119	0.7505
NM_203297	chr5(.):180615923-180632930	0.5906
NM_203296	chr5(.):180615923-180636340	0.6179
NM_033549	chr5(.):180645305-180667808	0.694
NR_027908	chr6(.):33548882-33566115	0.2568
NR_028361	chr6(.):33546475-33561803	0.5948
NM_012288	chr6(.):52357199-52446862	0.9323
NM_005907	chr6(.):119494266-119675926	0.1838
NM_020732	chr6(.):157094063-157536913	0.1516
NM_000876	chr6(.):160385130-160532583	0.2533
NM_001195286	chr6(.):386738-416443	1.473
NM_001718	chr6(.):7722010-7886961	0.159
NR_037616	chr6(.):7876482-8069647	0.6985
NM_002114	chr6(.):12007723-12170232	0.1816
NM_030948	chr6(.):12712832-13292528	0.1027
NM_000332	chr6(.):16294342-16766721	0.2018
NM_001949	chr6(.):20397136-20498945	0.2508
NM_014641	chr6(.):30662583-30690458	0.5558
NM_172166	chr6(.):31702724-31735455	0.5933
NM_001172420	chr6(.):52280804-52365583	0.2076
NM_018100	chr6(.):52279993-52365583	0.2075
NM_016021	chr6(.):90031343-90067619	0.7316
NM_001143676	chr6(.):134485383-134644196	0.4378
NM_000288	chr6(.):137138701-137240072	0.0817
NM_005923	chr6(.):136873186-137118656	0.2543
NM_006734	chr6(.):143067603-143271338	0.1741
NM_206855	chr6(.):163830674-164004628	0.1443
NM_021135	chr6(.):166817853-167045726	0.1976
NM_001006932	chr6(.):166817853-167280771	0.1711
NM_020185	chr6(.):287100-356355	2.3986
NM_001145549	chr6(.):7876482-7915310	2.3518
NM_030810	chr6(.):7876482-7916047	2.4001
NM_001143964	chr6(.):13300183-13333787	0.6151
NM_005319	chr6(.):26050967-26061699	0.7962
NM_003537	chr6(.):26026816-26037288	0.7361
NM_003544	chr6(.):26022123-26032480	0.8767
NM_021062	chr6(.):26038454-26048885	0.078
NM_003531	chr6(.):26040638-26051097	0.0752
NM_005325	chr6(.):26012259-26023040	0.4782
NM_003538	chr6(.):26016906-26027278	0.8121
NM_003513	chr6(.):26028319-26038796	0.5415
NM_003529	chr6(.):26015717-26026186	0.5895
NM_021065	chr6(.):26194011-26204471	0.9955
NM_003530	chr6(.):26192011-26204464	0.8508
NM_138720	chr6(.):26153348-26176576	0.7205
NM_003523	chr6(.):26179023-26189458	0.1012
NM_003539	chr6(.):26183937-26194304	0.1101
NM_003545	chr6(.):26199872-26210249	0.8231
NM_005321	chr6(.):26151558-26162343	0.7725
NM_003522	chr6(.):26194786-26205216	1.1462
NM_003518	chr6(.):26211427-26221872	0.1568
NM_021052	chr6(.):26212147-26222711	0.1585
NM_003532	chr6(.):26220382-26230844	0.1015
NM_003524	chr6(.):26246878-26257303	0.5913
NM_003547	chr6(.):26241838-26252205	0.5154
NM_003540	chr6(.):26235653-26246021	0.1291
NM_021018	chr6(.):26245369-26255835	0.5836
NM_005320	chr6(.):26229439-26240216	0.4954
NR_026790	chr6(.):26516933-26532612	0.414
NM_001732	chr6(.):26496494-26515652	0.0728
NM_006353	chr6(.):26533571-26552164	0.8158
NM_021064	chr6(.):27095816-27106314	1.3278
NM_080593	chr6(.):27101071-27119637	1.045
NM_080596	chr6(.):27109907-27120346	0.8598
NR_036096	chr6(.):27110404-27120467	0.8352
NM_021058	chr6(.):27095094-27105575	1.4026
NM_003495	chr6(.):27102087-27112457	1.0255
NM_021066	chr6(.):27777079-27787518	0.7206
NM_003536	chr6(.):27772841-27783314	1.0275
NM_003509	chr6(.):27770976-27781445	0.8974
NM_003519	chr6(.):27770256-27780709	0.7969
NM_003521	chr6(.):27777821-27788267	0.6821
NM_003520	chr6(.):27801439-27811888	0.9917
NM_003511	chr6(.):27828106-27838576	0.15
NM_003533	chr6(.):27834622-27845099	0.0686
NM_003510	chr6(.):27800657-27811117	0.997
NM_003541	chr6(.):27793951-27804305	0.5846
NM_005322	chr6(.):27829569-27840359	0.1474
NM_021968	chr6(.):27786902-27797258	0.4793
NM_003546	chr6(.):27835925-27846289	0.0647
NM_003587	chr6(.):30615895-30645830	0.1595
NM_001161376	chr6(.):30609815-30625987	0.4198
NM_133471	chr6(.):30639165-30660672	1.1869
NM_001134870	chr6(.):30639165-30660093	1.2093
NM_007243	chr6(.):30650825-30663769	1.3561
NM_178014	chr6(.):30683156-30698195	1.0148
NM_007109	chr6(.):31121302-31136992	0.412
NM_001173531	chr6(.):31127113-31139615	0.2609
NR_026791	chr6(.):31160536-31176745	0.9294
NM_019052	chr6(.):31105215-31131015	0.2308
NM_001105563	chr6(.):31105215-31130566	0.2315
NR_026816	chr6(.):31136511-31150676	0.1646
NM_002701	chr6(.):31127113-31143451	0.2282
NM_021246	chr6(.):31678132-31690581	0.1139
NM_138275	chr6(.):31686160-31697851	0.2415
NR_033488	chr6(.):31649725-31675850	0.2238
NM_013974	chr6(.):31689816-31703039	0.5121
NM_025262	chr6(.):31639460-31653150	0.1559
NM_001288	chr6(.):31693357-31709341	1.4117
NM_001003693	chr6(.):31669683-31683372	0.3718
NM_021160	chr6(.):31649725-31676137	0.2223
NR_024541	chr6(.):31674752-31686842	0.1228
NM_025261	chr6(.):31681424-31694510	0.0794
NM_001039651	chr6(.):31725772-31737624	0.1127
NM_025258	chr6(.):31728370-31750108	0.3694
NR_002742	chr6(.):31799852-31809916	1.1754
NM_000434	chr6(.):31821828-31835709	0.3908
NM_021177	chr6(.):31760173-31779743	0.6343
NR_002745	chr6(.):31798039-31808103	1.2755
NM_001178045	chr6(.):31825969-31850448	0.2877
NM_001040438	chr6(.):31797692-31812541	0.9426
NM_005345	chr6(.):31778290-31790719	0.6448
NM_005527	chr6(.):31772395-31787835	0.3326
NM_001178044	chr6(.):31825969-31851823	0.2885
NM_006295	chr6(.):31740296-31768712	0.6947
NM_005346	chr6(.):31790511-31803031	1.0043
NM_002800	chr6(.):32816937-32832628	0.8308
NM_000544	chr6(.):32788186-32811547	0.3201
NM_018833	chr6(.):32784609-32811547	0.2873
NM_002120	chr6(.):32775539-32789825	0.0652
NM_000593	chr6(.):32807985-32826748	1.3277
NR_027771	chr6(.):32839254-32852851	0.0783
NM_004159	chr6(.):32803493-32817712	1.1162
NM_148919	chr6(.):32803493-32816816	1.1803
NR_037178	chr6(.):32856952-32876535	0.2664
NR_037174	chr6(.):32806862-32819277	1.0553
NM_006120	chr6(.):32911390-32925899	0.1611
NM_002119	chr6(.):32966959-32982389	0.0819
NM_002118	chr6(.):32897405-32913847	0.1565
NM_005104	chr6(.):32931436-32954282	1.3127
NM_001113182	chr6(.):32933664-32954282	1.4479
NM_001199455	chr6(.):32934371-32954282	1.4943
NM_001199456	chr6(.):32935860-32954282	1.5179
NM_001164267	chr6(.):33241879-33262304	0.3987
NM_022551	chr6(.):33234851-33249281	0.5965
NM_172209	chr6(.):33262471-33287164	0.9164
NM_004761	chr6(.):33254430-33272176	0.7632
NM_172208	chr6(.):33266409-33287164	0.9916
NM_003782	chr6(.):33239916-33251602	0.4254
NR_024517	chr6(.):33281334-33295793	1.0246
NM_014260	chr6(.):33252377-33263711	0.4809
NM_005453	chr6(.):33277181-33290512	1.227
NM_001145338	chr6(.):33277181-33290719	1.2756
NM_022553	chr6(.):33213048-33244662	0.4146
NM_001185181	chr6(.):33252411-33263709	0.4821
NR_001444	chr6(.):33327513-33339139	0.0845
NM_001188	chr6(.):33535322-33553070	0.863
NM_002224	chr6(.):33584155-33669348	0.2124
NR_037152	chr6(.):36639236-36660116	0.819
NM_078467	chr6(.):36639266-36660116	0.8202
NR_037150	chr6(.):36639313-36660116	0.822
NM_000389	chr6(.):36641455-36660116	0.905
NR_037151	chr6(.):36641486-36660116	0.9063
NM_020939	chr6(.):36703554-36812220	0.2664
NM_000322	chr6(.):42659332-42695358	0.1376
NM_003192	chr6(.):42707233-42718884	0.9289
NR_037141	chr6(.):42690313-42700932	0.1239
NM_015349	chr6(.):42783793-42841296	0.0712
NM_019096	chr6(.):43583217-43601936	0.9322
NM_001003690	chr6(.):43592278-43613688	0.9966
NM_014628	chr6(.):43598576-43613688	0.4629
NM_001193341	chr6(.):43607766-43643748	0.1588
NM_001171629	chr6(.):43732945-43759223	0.9531
NM_001078177	chr6(.):44186362-44206888	0.6088
NM_178148	chr6(.):44216837-44230283	0.9737
NM_001078174	chr6(.):44182241-44206888	0.6352
NM_020745	chr6(.):44261462-44286063	0.1517
NM_182539	chr6(.):44242896-44270458	0.0685
NM_001137560	chr6(.):44233479-44252182	0.1087
NM_001078175	chr6(.):44186295-44206888	0.6145
NM_004556	chr6(.):44220902-44238525	1.3391
NM_007355	chr6(.):44209848-44226614	1.1537
NM_001402	chr6(.):74220472-74235755	1.1728
NM_002043	chr6(.):89962238-90029967	0.1758
NM_182907	chr6(.):106541814-106562811	1.0648
NM_001198	chr6(.):106529194-106562814	0.9675
NM_005627	chr6(.):134485383-134501034	1.4779
NM_001143677	chr6(.):134485383-134504010	1.266
NM_001143678	chr6(.):134485383-134502070	1.3934
NM_006290	chr6(.):138183580-138209449	0.7158
NM_006079	chr6(.):139688396-139700785	1.2878
NM_001168389	chr6(.):139688396-139700350	1.3285
NM_001168388	chr6(.):139688396-139700499	1.3153
NM_152133	chr6(.):159451026-159471184	0.9747
NM_031924	chr6(.):159393265-159426198	0.202
NM_138810	chr6(.):159454943-159471184	1.0051
NR_037593	chr6(.):163829096-163839982	1.4985
NM_001033518	chr7(.):5224834-5278486	0.3896
NM_178425	chr7(.):18530884-19041992	0.0972
NM_058176	chr7(.):18530884-18998939	0.1003
NM_178423	chr7(.):18530368-19041992	0.0972
NM_004289	chr7(.):26186846-26231756	0.8297
NM_001029835	chr7(.):45062232-45121069	0.1678
NM_001167935	chr7(.):45034786-45121069	0.3618
NR_030770	chr7(.):45034344-45121069	0.3629
NM_030796	chr7(.):55533305-55645200	1.0508
NM_001913	chr7(.):101454291-101932250	0.1509
NM_181500	chr7(.):101454302-101932250	0.1509
NM_005746	chr7(.):105883731-105930638	0.5249
NM_020911	chr7(.):131803090-132266323	0.2568
NM_001105543	chr7(.):132063246-132266323	0.4599
NM_001145354	chr7(.):130789854-131186398	0.2179
NM_022740	chr7(.):139241315-139482693	0.2413
NM_133463	chr7(.):2714162-2760069	0.6328
NM_138426	chr7(.):8003422-8133709	0.2654
NM_014707	chr7(.):18530368-18713465	0.1624
NM_006547	chr7(.):23344827-23514995	0.2042
NM_145321	chr7(.):24831163-25024760	0.2513
NM_014766	chr7(.):29954718-30034425	0.4496
NM_001145514	chr7(.):29954718-30034905	0.4471
NM_001145513	chr7(.):29954718-30034734	0.448
NR_036554	chr7(.):29720687-29787019	0.3589
NM_001197027	chr7(.):30062976-30162961	0.2634
NM_002047	chr7(.):30629180-30678648	0.5653
NR_003502	chr7(.):32762561-32774595	1.8494
NR_036680	chr7(.):32615552-32763780	0.0694
NM_014800	chr7(.):36888960-37493511	0.1493
NM_003718	chr7(.):39984958-40141733	0.2105
NM_002541	chr7(.):44641120-44753669	0.4374
NM_001003941	chr7(.):44641120-44721195	0.5601
NM_022748	chr7(.):47309751-47584199	0.4551
NM_006060	chr7(.):50339377-50477798	0.191
NM_004194	chr7(.):87558701-87816428	0.0874
NM_021722	chr7(.):87558701-87831449	0.0864
NM_001190996	chr7(.):98918495-98968885	0.1576
NM_017984	chr7(.):99993494-100031302	0.421
NM_006076	chr7(.):100131833-100170843	0.5839
NM_017621	chr7(.):102091666-102110321	0.4499
NM_006989	chr7(.):102215092-102262205	0.8429
NM_182931	chr7(.):104649636-104759532	0.4461
NM_001098627	chr7(.):128575771-128595088	1.478
NM_001098630	chr7(.):128572993-128595088	1.4626
NM_032643	chr7(.):128573270-128595088	1.4453
NM_003344	chr7(.):129467994-129597789	0.2662
NR_015431	chr7(.):130623918-130798562	0.4107
NR_024153	chr7(.):130623918-130796789	0.4134
NM_181775	chr7(.):132164520-132338447	0.4271
NM_014149	chr7(.):134863589-134901316	0.1809
NM_194071	chr7(.):137554724-137691846	0.4871
NM_016019	chr7(.):139039633-139113200	0.303
NM_001166254	chr7(.):139473046-139725125	0.2347
NM_003751	chr7(.):2389473-2425377	0.3233
NM_018641	chr7(.):2438258-2479216	0.6076
NM_153247	chr7(.):5317560-5348704	0.0666
NM_001033520	chr7(.):5248899-5278486	0.5453
NM_000600	chr7(.):22761765-22776621	1.5888
NR_026676	chr7(.):23525006-23536031	0.0896
NR_029597	chr7(.):25984538-25994606	4.3494
NM_031243	chr7(.):26224555-26245413	1.4423
NM_016587	chr7(.):26236323-26257976	1.2572
NM_007276	chr7(.):26236098-26257976	1.2491
NR_036482	chr7(.):29719769-29732859	1.5758
NR_024278	chr7(.):29680537-29729754	0.827
NR_027347	chr7(.):29719387-29730437	1.8912
NM_017946	chr7(.):30047883-30071268	0.6981
NM_001197026	chr7(.):30062976-30129278	0.3572
NM_032639	chr7(.):30062976-30135359	0.3335
NM_147128	chr7(.):30318922-30412308	0.3458
NR_030319	chr7(.):30324409-30334506	1.6675
NR_037513	chr7(.):30324409-30334506	1.6675
NR_036501	chr7(.):32792897-32807536	0.258
NR_030320	chr7(.):32767592-32777689	2.0927
NM_015483	chr7(.):32902777-32936468	0.6769
NR_003500	chr7(.):32951426-32987782	0.2562
NM_019082	chr7(.):44600402-44619137	0.4247
NM_182547	chr7(.):44613761-44626827	0.8754
NM_174929	chr7(.):44790786-44814479	0.4303
NM_031449	chr7(.):44783529-44814479	0.8458
NM_021130	chr7(.):44831240-44847716	1.0762
NM_012412	chr7(.):44868212-44892725	0.5371
NR_003697	chr7(.):45017626-45031259	0.5545
NR_002952	chr7(.):45019976-45030109	0.6911
NM_033054	chr7(.):44997259-45023704	0.182
NM_001123065	chr7(.):47689841-47706246	0.5342
NM_001100159	chr7(.):48070116-48105894	0.1061
NM_181597	chr7(.):48123354-48153330	1.0607
NM_003364	chr7(.):48123745-48153330	1.0703
NM_001042762	chr7(.):50506831-50523088	1.0252
NR_033245	chr7(.):64037987-64049129	0.0712
NM_178558	chr7(.):63975254-64028505	0.3755
NM_001130022	chr7(.):63980033-64028505	0.4066
NM_001163636	chr7(.):74067029-74180022	0.2515
NM_006716	chr7(.):87500543-87543856	0.2746
NM_018843	chr7(.):87458813-87510692	0.1885
NM_015395	chr7(.):97841046-97886468	0.1689
NM_018842	chr7(.):97915961-98035427	0.2047
NM_015379	chr7(.):97905978-97925839	1.6022
NM_001159491	chr7(.):97905978-97927275	1.501
NM_003910	chr7(.):99001600-99022239	0.4514
NM_014891	chr7(.):98987588-99011292	0.5319
NM_005720	chr7(.):98967328-98997404	0.6716
NM_152755	chr7(.):99712264-99728128	0.8865
NM_203397	chr7(.):99719319-99731121	0.8274
NM_032924	chr7(.):99662593-99684371	0.225
NM_005641	chr7(.):99699692-99721995	0.3519
NM_001190415	chr7(.):99699692-99722481	0.3468
NM_182776	chr7(.):99685403-99703380	0.654
NM_006833	chr7(.):99681582-99694822	0.3904
NM_005916	chr7(.):99685403-99704427	0.6234
NM_004722	chr7(.):99694129-99709803	0.4849
NM_139315	chr7(.):99699692-99722021	0.3515
NR_029498	chr7(.):99686182-99696266	0.4401
NR_029510	chr7(.):99686390-99696470	0.3687
NR_029831	chr7(.):99686615-99696697	0.3114
NM_018275	chr7(.):99747042-99761302	0.4292
NM_012447	chr7(.):99770537-99817010	0.1624
NM_152742	chr7(.):99762228-99779990	0.1377
NM_001008395	chr7(.):99741529-99756833	0.6089
NM_024637	chr7(.):99751864-99771373	0.2985
NR_003613	chr7(.):99913262-99938930	0.3804
NM_178238	chr7(.):99950625-99970454	0.7802
NR_036569	chr7(.):99928687-99970454	0.6609
NM_013439	chr7(.):99966067-100002722	0.2742
NM_173564	chr7(.):100076549-100097422	0.211
NM_030935	chr7(.):100059141-100081902	0.3064
NM_145030	chr7(.):100027911-100039094	1.059
NM_019606	chr7(.):100022253-100036749	1.472
NM_001194992	chr7(.):100021412-100036749	1.3951
NM_001004323	chr7(.):100049237-100066894	0.0997
NM_002319	chr7(.):100166633-100188776	0.3533
NM_033506	chr7(.):100178955-100203740	0.3067
NM_001163499	chr7(.):100182195-100203740	0.3371
NM_001168682	chr7(.):100164852-100176270	0.2661
NM_020979	chr7(.):101923404-101967178	1.4795
NR_036245	chr7(.):101931368-101941453	2.0677
NM_032831	chr7(.):102068995-102102268	1.0631
NM_024653	chr7(.):102031803-102072129	0.7719
NM_001146210	chr7(.):101981191-102001889	0.1208
NM_006234	chr7(.):102108547-102124381	0.3461
NM_001031618	chr7(.):102186678-102207757	0.115
NM_001097615	chr7(.):102173365-102218068	0.2541
NM_152892	chr7(.):102100389-102118612	0.4497
NM_001114403	chr7(.):102272471-102288238	0.2367
NM_001031618	chr7(.):102285771-102306847	0.1053
NR_027374	chr7(.):104530074-104572092	0.5162
NR_024586	chr7(.):104645988-104659588	2.6552
NM_199349	chr7(.):128525000-128555773	0.1679
NR_034120	chr7(.):130560750-130603069	0.3191
NM_018295	chr7(.):134827765-134855967	1.0303
NR_024185	chr7(.):134845531-134860532	1.3542
NM_197964	chr7(.):139020896-139035541	0.7743
NM_001002814	chr8(.):37711464-37762015	0.7098
NM_006540	chr8(.):71019266-71321020	0.1525
NM_021021	chr8(.):121542984-121829309	0.1718
NM_173683	chr8(.):10748656-11063875	0.2054
NM_001715	chr8(.):11346520-11427108	0.4561
NR_026814	chr8(.):11220910-11301166	0.3747
NM_001386	chr8(.):26430420-26520693	0.1714
NM_001197293	chr8(.):26366708-26520693	0.1489
NM_006756	chr8(.):54874115-54940008	0.2821
NM_002604	chr8(.):66629051-66758755	0.1808
NM_005079	chr8(.):80942104-81088836	0.3501
NM_001135733	chr8(.):95933199-95966615	0.7324
NM_178812	chr8(.):98651406-98747488	0.3138
NM_183419	chr8(.):101264287-101327327	0.5322
NM_001145088	chr8(.):124079919-124169392	0.1655
NM_173685	chr8(.):126099082-126384367	0.3723
NM_003235	chr8(.):133874204-134152143	0.2515
NM_001045556	chr8(.):134043972-134120310	0.5762
