REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
5_MACS_peak_11366_lociStitched	chr17	34408937	34432627	5	18364	70482.488	4321.056	162	CCL4,CCL3	CCL18	CCL3	CCL3	4.1850000000000005	162	1
5_MACS_peak_12182_lociStitched	chr17	76711115	76746236	5	24862	72180.6792	6086.4693	163	CYTH1		CYTH1	CYTH1	0.9152999999999999	163	1
1_MACS_peak_20985_lociStitched	chr4	105407122	105417605	1	10484	67844.9277	1752.7576	164	CXXC4		CXXC4	CXXC4	2.2346999999999997	164	1
1_MACS_peak_11455_lociStitched	chr17	37909237	37916370	1	7134	67465.3406	1575.6797	165		GRB7,C17orf37	GRB7	C17orf37	0.3774	165	1
1_MACS_peak_24630_lociStitched	chr6	135190483	135196073	1	5591	66960.933	1190.67	166			ALDH8A1	ALDH8A1	NONE	166	1
1_MACS_peak_26853_lociStitched	chr8	29629465	29634157	1	4693	66807.042	1249.0104	167		C8orf75	C8orf75	C8orf75	0.2815	167	1
1_MACS_peak_9218_lociStitched	chr15	65183285	65189613	1	6329	66924.928	1395.9568	168		PLEKHO2,ANKDD1A	ANKDD1A	PLEKHO2	0.1652	168	1
5_MACS_peak_22250_lociStitched	chr5	87954526	87976763	5	11560	68770.1462	3268.839	169	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.42239999999999994	169	1
1_MACS_peak_14975_lociStitched	chr2	86261704	86267432	1	5729	66527.856	1166.2208	170	POLR1A	LOC90784	LOC90784	LOC90784	0.004699999999999996	170	1
3_MACS_peak_18751_lociStitched	chr3	46578142	46589484	3	8275	67493.9736	2142.5038	171	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	1.0884	171	1
4_MACS_peak_19727_lociStitched	chr3	156804715	156824277	4	11443	70337.1272	5052.8646	172	LOC100498859,LOC339894		LOC100498859	LOC100498859	3.0637000000000003	172	1
1_MACS_peak_1505_lociStitched	chr1	145448687	145458068	1	9382	68355.5946	3085.4109	173	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	3.0298	173	1
1_MACS_peak_3196_lociStitched	chr10	30989278	30996879	1	7602	66618.9645	1495.1167	174			LYZL2	LYZL2	NONE	174	1
1_MACS_peak_20681_lociStitched	chr4	69434595	69443765	1	9171	66558.611	1601.999	175		UGT2B15,UGT2B17	UGT2B17	UGT2B17	0.49239999999999995	175	1
4_MACS_peak_2967_lociStitched	chr10	7511582	7535741	4	13623	68536.6671	3582.7797	176			SFMBT2	SFMBT2	NONE	176	1
2_MACS_peak_12383_lociStitched	chr18	9132570	9157602	2	23800	69834.2736	4888.7496	177	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.41979999999999995	177	1
1_MACS_peak_28364_lociStitched	chr9	93795406	93799605	1	4200	65712.2505	767.9971	178		LOC100129316	LOC100129316	NONE	NONE	178	1
3_MACS_peak_20493_lociStitched	chr4	38307125	38322570	3	12767	67398.891	3078.1885	179			KLF3	KLF3	NONE	179	1
4_MACS_peak_18322_lociStitched	chr3	5222261	5256210	4	25493	70009.6278	5798.4892	180	ARL8B,EDEM1		EDEM1	EDEM1	1.3618999999999999	180	1
3_MACS_peak_19814_lociStitched	chr3	169656758	169668399	3	9952	67620.2408	3446.9001	181	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	2.3043	181	1
4_MACS_peak_2390_lociStitched	chr1	206727852	206754654	4	18223	70368.651	6780.906	182	RASSF5	LGTN	RASSF5	RASSF5	0.6865	182	1
3_MACS_peak_10411_lociStitched	chr16	56963211	56985960	3	21065	67673.7252	4090.2702	183	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.8001	183	1
4_MACS_peak_25537_lociStitched	chr7	55616347	55643009	4	25788	68028.093	4471.2174	184	VOPP1		VOPP1	VOPP1	2.0974000000000004	184	1
1_MACS_peak_4879_lociStitched	chr11	65263519	65278808	1	15290	66886.3172	3334.5309	185	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	3.4032	185	1
8_MACS_peak_18727_lociStitched	chr3	46318253	46347332	8	20870	68402.5317	4946.3379	186		CCR3,CCR2	CCR3	CCR2	1.6666999999999998	186	1
2_MACS_peak_10409_lociStitched	chr16	56943586	56952634	2	7935	65188.1256	1776.1224	187	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	2.8001	187	1
1_MACS_peak_15569_lociStitched	chr2	158293859	158302480	1	8622	65300.6266	1956.1049	188	CYTIP		CYTIP	CYTIP	1.5991	188	1
4_MACS_peak_26790_lociStitched	chr8	27216307	27241960	4	20992	68003.5377	4712.4561	189	PTK2B	TRIM35	PTK2B	PTK2B	0.6991	189	1
1_MACS_peak_5021_lociStitched	chr11	70042168	70043003	1	836	63484.1315	212.8415	190		FADD	FADD	FADD	0.25170000000000003	190	1
4_MACS_peak_13343_lociStitched	chr19	16243643	16272960	4	23859	67989.0547	4778.671	191	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.8334	191	1
2_MACS_peak_23519_lociStitched	chr6	26355385	26367580	2	10647	65243.25	2185.344	192	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	2.1057	192	1
9_MACS_peak_24684_lociStitched	chr6	138246761	138297594	9	23877	71176.3666	8285.779	193			TNFAIP3	TNFAIP3	2.0534999999999997	193	1
2_MACS_peak_17385_lociStitched	chr21	34600577	34613163	2	10243	65736.678	3087.3458	194	IFNAR2	IL10RB	IFNAR2	IFNAR2	1.7206000000000001	194	1
1_MACS_peak_22687_lociStitched	chr5	139046154	139052285	1	6132	63954.9134	1367.8261	195	CXXC5		CXXC5	CXXC5	1.4822	195	1
4_MACS_peak_22589_lociStitched	chr5	131789744	131816129	4	16705	66798.9045	4406.295	196	C5orf56	IRF1	IRF1	IRF1	0.8472	196	1
2_MACS_peak_6666_lociStitched	chr12	89738070	89749542	2	10805	64554.0912	2250.8064	197	DUSP6		DUSP6	DUSP6	4.3064	197	1
2_MACS_peak_17156_lociStitched	chr20	56047649	56058388	2	9811	63914.2324	1666.6928	198		CTCFL	CTCFL	NONE	NONE	198	1
3_MACS_peak_21957_lociStitched	chr5	55437042	55453692	3	15768	64958.31	2842.155	199	ANKRD55		ANKRD55	ANKRD55	0.4403	199	1
2_MACS_peak_2963_lociStitched	chr10	6961663	6972968	2	7100	63686.7175	2025.856	200			LOC439949	LOC439949	NONE	200	1
2_MACS_peak_17099_lociStitched	chr20	52267651	52279274	2	11148	63689.3908	2168.8518	201			ZNF217	ZNF217	1.3032	201	1
3_MACS_peak_23145_lociStitched	chr5	180227134	180249300	3	16087	64795.6512	3300.5174	202	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	1.4479	202	1
3_MACS_peak_15030_lociStitched	chr2	89049793	89066630	3	9580	64182.644	3025.6089	203	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.001799999999999996	203	1
4_MACS_peak_23504_lociStitched	chr6	26183622	26207333	4	14529	64764.2254	3653.8651	204	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	2.9842	204	1
2_MACS_peak_23929_lociStitched	chr6	45386680	45402502	2	11195	63386.0964	2314.7586	205	RUNX2	SUPT3H	RUNX2	RUNX2	0.2771	205	1
1_MACS_peak_8646_lociStitched	chr14	106323796	106329580	1	5785	61442.8536	514.776	206			KIAA0125	KIAA0125	NONE	206	1
2_MACS_peak_17733_lociStitched	chr22	23189059	23210051	2	17615	62858.4448	2288.128	207		MIR650,IGLL5	IGLL5	IGLL5	10.0081	207	1
1_MACS_peak_1335_lociStitched	chr1	111172681	111181479	1	8799	61637.0284	1153.4178	208		KCNA2,KCNA3	KCNA2	KCNA3	1.0111	208	1
1_MACS_peak_6831_lociStitched	chr12	102870787	102879529	1	8743	62260.524	1874.2848	209	IGF1		IGF1	IGF1	0.5977	209	1
1_MACS_peak_11287_lociStitched	chr17	29635069	29649505	1	14437	63164.718	2895.8616	210	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	2.3106	210	1
1_MACS_peak_6696_lociStitched	chr12	92754706	92760314	1	5609	61514.152	1433.4048	211			CLLU1	CLLU1	0.0733	211	1
1_MACS_peak_11092_lociStitched	chr17	16889345	16895442	1	6098	61033.4088	1462.6703	212		TNFRSF13B	TNFRSF13B	TNFRSF13B	2.3085000000000004	212	1
3_MACS_peak_2991_lociStitched	chr10	11278900	11304714	3	23894	64395.6044	4840.125	213	CELF2		CELF2	CELF2	0.7081000000000001	213	1
1_MACS_peak_25992_lociStitched	chr7	104651746	104658090	1	6345	61014.6888	1544.1296	214	MLL5,LOC100216545		MLL5	MLL5	0.5124	214	1
1_MACS_peak_16997_lociStitched	chr20	45978274	45987284	1	9011	61277.911	1846.149	215	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.3935	215	1
2_MACS_peak_10978_lociStitched	chr17	6915025	6926051	2	7134	60055.3142	1617.5142	216	RNASEK,C17orf49,MIR195,MIR497	ALOX12,BCL6B,SLC16A13,SLC16A11	MIR195	MIR195	4.6928	216	1
1_MACS_peak_11426_lociStitched	chr17	36856180	36863879	1	7700	59736.541	1546.7291	217	MLLT6	CISD3,PSMB3,C17orf96,PCGF2	MLLT6	MLLT6	1.7537	217	1
5_MACS_peak_23055_lociStitched	chr5	173310075	173344152	5	30239	63277.5813	5145.627	218	CPEB4		CPEB4	CPEB4	0.7847999999999999	218	1
1_MACS_peak_11968_lociStitched	chr17	65642529	65648891	1	6363	58728.2582	1054.1834	219	PITPNC1		NOL11	NOL11	NONE	219	1
1_MACS_peak_2228_lociStitched	chr1	197739993	197748645	1	8653	60091.6008	2471.8764	220	DENND1B		DENND1B	DENND1B	0.1771	220	1
2_MACS_peak_13550_lociStitched	chr19	35695312	35705998	2	7850	59517.8142	1964.0868	221		FXYD5,LSR,FAM187B	FAM187B	LSR	0.8193999999999999	221	1
1_MACS_peak_21800_lociStitched	chr5	32580651	32593002	1	12352	59865.297	2472.6702	222	SUB1		SUB1	SUB1	2.0242	222	1
1_MACS_peak_23052_lociStitched	chr5	173168767	173174577	1	5811	58672.866	1302.021	223			BOD1	BOD1	NONE	223	1
1_MACS_peak_16256_lociStitched	chr2	231729235	231739751	1	10517	58002.0496	1005.3296	224	ITM2C		ITM2C	ITM2C	2.3573999999999997	224	1
2_MACS_peak_23672_lociStitched	chr6	31694666	31709396	2	12381	59345.697	2735.361	225	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	3.5373	225	1
3_MACS_peak_20718_lociStitched	chr4	74454135	74475387	3	11844	59169.8184	3192.0504	226	RASSF6		RASSF6	RASSF6	0.9967000000000001	226	1
3_MACS_peak_2632_lociStitched	chr1	226308582	226317047	3	8044	58353.4775	2569.974	227			ACBD3	ACBD3	NONE	227	1
6_MACS_peak_10515_lociStitched	chr16	67570983	67601517	6	17394	59843.5866	4228.959	228	FAM65A,CTCF		CTCF	CTCF	0.32539999999999997	228	1
3_MACS_peak_22480_lociStitched	chr5	118657796	118678578	3	14206	59288.9678	3692.9614	229	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.4905	229	1
2_MACS_peak_17747_lociStitched	chr22	23477857	23488726	2	9644	57379.6248	2075.979	230	RAB36,RTDR1	BCR	RTDR1	RTDR1	0.5801000000000001	230	1
1_MACS_peak_26452_lociStitched	chr7	150100636	150105311	1	4676	56447.82	1186.0475	231	LOC728743	REPIN1,ZNF775,LOC285972,GIMAP8	LOC728743	REPIN1	5.4891000000000005	231	1
4_MACS_peak_23546_lociStitched	chr6	27094285	27116260	4	14286	58253.5275	3524.79	232	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.1365999999999998	232	1
4_MACS_peak_15915_lociStitched	chr2	197023792	197048827	4	19239	59207.775	4646.496	233	STK17B		STK17B	STK17B	0.6043999999999999	233	1
1_MACS_peak_22269_lociStitched	chr5	88634932	88641091	1	6160	55249.9254	1310.6352	234			MEF2C	MEF2C	0.6508	234	1
3_MACS_peak_28357_lociStitched	chr9	93670963	93688434	3	8570	56483.743	2557.7544	235			SYK	SYK	NONE	235	1
2_MACS_peak_14555_lociStitched	chr2	47204601	47215089	2	9442	55944.0408	2092.356	236	TTC7A	MCFD2	MCFD2	MCFD2	0.5296	236	1
1_MACS_peak_21512_lociStitched	chr4	185184751	185191340	1	6590	55050.4361	1543.8027	237		ENPP6	ENPP6	NONE	NONE	237	1
2_MACS_peak_19003_lociStitched	chr3	69128246	69146224	2	17822	56781.7152	3575.8242	238	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.7750000000000001	238	1
1_MACS_peak_15571_lociStitched	chr2	158323845	158328510	1	4666	54066.8835	1127.064	239		CYTIP	CYTIP	CYTIP	1.5991	239	1
2_MACS_peak_10967_lociStitched	chr17	6063433	6071309	2	7686	54459.3896	1539.758	240			WSCD1	WSCD1	NONE	240	1
1_MACS_peak_2836_lociStitched	chr1	245132414	245136316	1	3903	53926.4204	1020.7632	241	EFCAB2		EFCAB2	EFCAB2	0.3423	241	1
5_MACS_peak_2186_lociStitched	chr1	192498637	192521130	5	11162	57827.2537	5310.5973	242		RGS1	RGS1	RGS1	1.1426	242	1
1_MACS_peak_9378_lociStitched	chr15	75334182	75341210	1	7029	53988.3932	1672.664	243	PPCDC	SCAMP5	PPCDC	PPCDC	1.7297	243	1
2_MACS_peak_21797_lociStitched	chr5	32530179	32543944	2	12536	54852.1485	2730.976	244		SUB1	SUB1	SUB1	2.0242	244	1
3_MACS_peak_5032_lociStitched	chr11	71413785	71426911	3	11402	54787.924	2668.5158	245			FAM86C	FAM86C	NONE	245	1
1_MACS_peak_24680_lociStitched	chr6	138186884	138196107	1	9224	54043.0908	2093.621	246	TNFAIP3		TNFAIP3	TNFAIP3	2.0534999999999997	246	1
1_MACS_peak_2361_lociStitched	chr1	205252186	205258653	1	6468	54203.1605	2274.4439	247		NUAK2	NUAK2	NUAK2	0.3698	247	1
1_MACS_peak_9483_lociStitched	chr15	81584997	81596435	1	11439	54432.2982	2531.2294	248	IL16	STARD5	IL16	STARD5	0.738	248	1
1_MACS_peak_16283_lociStitched	chr2	232687087	232714984	1	27898	54376.8324	3252.7902	249		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.0762	249	1
3_MACS_peak_13365_lociStitched	chr19	16693489	16711615	3	11878	54071.6706	3117.672	250	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.18380000000000002	250	1
4_MACS_peak_16157_lociStitched	chr2	219742565	219763350	4	15728	53934.9965	3244.5385	251	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.1738999999999997	251	1
2_MACS_peak_25472_lociStitched	chr7	47513302	47524534	2	10548	52960.0032	2301.4368	252	TNS3		TNS3	TNS3	0.22659999999999997	252	1
3_MACS_peak_10943_lociStitched	chr17	4837254	4854685	3	12041	53408.584	2815.1065	253	GP1BA,RNF167,ENO3,SLC25A11,PFN1	C17orf107,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	RNF167	RNF167	2.9842	253	1
2_MACS_peak_17280_lociStitched	chr21	19152108	19169251	2	15021	53503.303	3025.7395	254	C21orf91		C21orf91	C21orf91	1.1659000000000002	254	1
2_MACS_peak_14562_lociStitched	chr2	47526679	47539614	2	8080	52441.077	2065.7195	255			EPCAM	EPCAM	NONE	255	1
4_MACS_peak_12036_lociStitched	chr17	72733116	72757413	4	20389	53995.2231	3804.9102	256	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.1438	256	1
1_MACS_peak_26385_lociStitched	chr7	142504404	142509305	1	4902	51781.5155	1615.3696	257		PRSS1,TRY6,PRSS2,EPHB6	PRSS2	EPHB6	0.017199999999999993	257	1
4_MACS_peak_5177_lociStitched	chr11	82764955	82790106	4	12826	54716.0005	4688.1464	258	RAB30	SNORA70E	RAB30	RAB30	0.7326	258	1
1_MACS_peak_22264_lociStitched	chr5	88565507	88570200	1	4694	51231.6038	1209.3861	259			MEF2C	MEF2C	0.6508	259	1
1_MACS_peak_13502_lociStitched	chr19	29120736	29126312	1	5577	50999.7688	1149.7712	260			LOC148145	LOC148145	NONE	260	1
1_MACS_peak_16550_lociStitched	chr20	9489867	9499418	1	9552	51563.9388	1721.0902	261	C20orf103		C20orf103	C20orf103	1.9144	261	1
3_MACS_peak_9675_lociStitched	chr15	93346384	93364576	3	10601	52269.2544	2608.7328	262		ASB9P1	ASB9P1	NONE	NONE	262	1
3_MACS_peak_1854_lociStitched	chr1	160695174	160715353	3	11401	54594.2845	5006.4099	263	SLAMF7	CD48	SLAMF7	CD48	2.1679999999999997	263	1
5_MACS_peak_28874_lociStitched	chr9	134127071	134153578	5	15275	53573.2977	4074.1259	264	FAM78A	PPAPDC3	FAM78A	FAM78A	1.5110999999999999	264	1
1_MACS_peak_16947_lociStitched	chr20	43270174	43282212	1	12039	51598.4794	2245.087	265	ADA	LOC79015	ADA	ADA	1.1630999999999998	265	1
3_MACS_peak_3425_lociStitched	chr10	63798117	63814681	3	10998	52054.0264	2747.9676	266	ARID5B		ARID5B	ARID5B	0.4087	266	1
1_MACS_peak_22580_lociStitched	chr5	131435415	131441321	1	5907	50540.595	1319.4004	267		IL3,CSF2	CSF2	NONE	NONE	267	1
3_MACS_peak_23567_lociStitched	chr6	27791112	27808230	3	10385	51706.6308	2571.1236	268	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	HIST1H3H	2.665	268	1
2_MACS_peak_6006_lociStitched	chr12	26265873	26280370	2	13960	51591.9236	2573.2175	269	BHLHE41		BHLHE41	BHLHE41	2.656	269	1
3_MACS_peak_20690_lociStitched	chr4	71519989	71535387	3	14051	51566.3622	2710.048	270	IGJ	ENAM,UTP3,RUFY3	IGJ	IGJ	2.3574	270	1
1_MACS_peak_9134_lociStitched	chr15	58582586	58591652	1	9067	50429.625	1735.2324	271			LIPC	LIPC	NONE	271	1
1_MACS_peak_4195_lociStitched	chr11	267232	270728	1	3497	49378.9024	685.9152	272		PSMD13,NLRP6,ATHL1,IFITM2,IFITM1,SIRT3,IFITM5	NLRP6	PSMD13	0.18719999999999998	272	1
1_MACS_peak_1590_lociStitched	chr1	149855529	149861107	1	5579	50590.7866	1984.6524	273	HIST2H2AC,HIST2H2BE,HIST2H2AB	BOLA1,HIST2H3A,HIST2H2AA4,HIST2H2BC,SV2A,SF3B4,MTMR11	HIST2H2BE	HIST2H2BE	3.9377999999999997	273	1
1_MACS_peak_1573_lociStitched	chr1	149222016	149225709	1	3694	50705.6286	2226.5097	274			LOC388692	LOC388692	NONE	274	1
1_MACS_peak_2833_lociStitched	chr1	244996213	245001489	1	5277	49565.9096	1351.1836	275	FAM36A	NCRNA00201,HNRNPU	FAM36A	FAM36A	2.4264	275	1
5_MACS_peak_16027_lociStitched	chr2	204548198	204573787	5	12939	52774.7536	4613.6967	276	CD28		CD28	CD28	1.2416	276	1
2_MACS_peak_13004_lociStitched	chr19	2618179	2628885	2	7512	50747.5106	2609.0522	277	GNG7		GNG7	GNG7	0.777	277	1
2_MACS_peak_5586_lociStitched	chr11	126056725	126069080	2	7252	50303.3825	2193.0125	278		FAM118B,RPUSD4	RPUSD4	RPUSD4	0.3244	278	1
2_MACS_peak_22258_lociStitched	chr5	88110643	88132759	2	21027	51424.1232	3410.2872	279	MEF2C		MEF2C	MEF2C	0.6508	279	1
3_MACS_peak_23480_lociStitched	chr6	25365817	25390371	3	17921	52221.4472	4292.0392	280	LRRC16A		LRRC16A	LRRC16A	0.5042	280	1
2_MACS_peak_1055_lociStitched	chr1	75596223	75612509	2	15841	49927.9902	2056.9218	281	LHX8		LHX8	LHX8	1.1027	281	1
6_MACS_peak_10206_lociStitched	chr16	29815516	29837407	6	14188	50614.1811	3150.1149	282	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.4777	282	1
1_MACS_peak_14386_lociStitched	chr2	33699681	33705456	1	5776	48669.39	1357.7025	283	RASGRP3	RASGRP3	RASGRP3	RASGRP3	0.6224000000000001	283	1
1_MACS_peak_12134_lociStitched	chr17	75078840	75093108	1	14269	49928.0124	2663.8356	284	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	3.1008	284	1
2_MACS_peak_27637_lociStitched	chr8	134576715	134585889	2	9013	49133.1918	1883.4222	285	ST3GAL1		ST3GAL1	ST3GAL1	0.6313000000000001	285	1
2_MACS_peak_20839_lociStitched	chr4	84132486	84144278	2	9045	49206.8368	2227.5088	286			COQ2	COQ2	NONE	286	1
1_MACS_peak_28960_lociStitched	chr9	139791704	139798468	1	6765	48325.398	1389.3256	287	TRAF2	PHPT1,MAMDC4,C8G,LCN12,EDF1,FBXW5	TRAF2	TRAF2	1.3294000000000001	287	1
6_MACS_peak_14719_lociStitched	chr2	64862674	64895812	6	17025	52387.8642	5524.1046	288	SERTAD2	LOC339807	SERTAD2	SERTAD2	1.1433	288	1
1_MACS_peak_14742_lociStitched	chr2	65254659	65261258	1	6600	48164.1213	1319.8	289		SLC1A4,CEP68	CEP68	SLC1A4	0.5845	289	1
2_MACS_peak_26232_lociStitched	chr7	128572518	128582410	2	7294	48982.2164	2505.6436	290	IRF5	KCP	IRF5	IRF5	2.2224	290	1
1_MACS_peak_18037_lociStitched	chr22	39145951	39153297	1	7347	48001.7024	1535.314	291	SUN2	GTPBP1,JOSD1,DNAL4	SUN2	SUN2	1.5281	291	1
1_MACS_peak_239_lociStitched	chr1	16991458	16994565	1	3108	47913.047	1559.714	292		MST1P2,CROCCP2	MST1P2	MST1P2	1.4424	292	1
2_MACS_peak_27585_lociStitched	chr8	129665755	129673258	2	6293	47642.5494	1472.8389	293			MIR1208	MIR1208	NONE	293	1
1_MACS_peak_14187_lociStitched	chr2	13661729	13665934	1	4206	46970.691	814.5085	294			MIR3125	MIR3125	NONE	294	1
1_MACS_peak_398_lociStitched	chr1	27018395	27030574	1	12180	48187.4314	2109.4028	295	ARID1A		ARID1A	ARID1A	0.6544	295	1
1_MACS_peak_2537_lociStitched	chr1	218336075	218339933	1	3859	47177.553	1116.5052	296			RRP15	RRP15	NONE	296	1
1_MACS_peak_6529_lociStitched	chr12	68381142	68387312	1	6171	47143.119	1125.408	297			IFNG	IFNG	NONE	297	1
6_MACS_peak_14816_lociStitched	chr2	70335006	70360838	6	11599	49824.7616	3843.8016	298	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	6.6178	298	1
1_MACS_peak_240_lociStitched	chr1	17065603	17068407	1	2805	47087.0112	1305.262	299		ESPNP,MST1P9	ESPNP	NONE	NONE	299	1
5_MACS_peak_8374_lociStitched	chr14	77487961	77508132	5	14638	47619.6968	1871.8688	300	C14orf4		C14orf4	C14orf4	2.0316	300	1
2_MACS_peak_22760_lociStitched	chr5	142771332	142785985	2	13886	47833.2532	2181.8317	301	NR3C1		NR3C1	NR3C1	0.2949	301	1
3_MACS_peak_6701_lociStitched	chr12	92854455	92866289	3	8504	47711.1378	2209.4078	302		CLLU1,CLLU1OS	CLLU1OS	CLLU1	0.0733	302	1
3_MACS_peak_28372_lociStitched	chr9	94181007	94196003	3	13669	48303.6156	2856.738	303	NFIL3		NFIL3	NFIL3	1.3553000000000002	303	1
2_MACS_peak_3061_lociStitched	chr10	15824893	15833138	2	7513	46827.4775	1412.3685	304	FAM188A		ITGA8	ITGA8	NONE	304	1
2_MACS_peak_10794_lociStitched	chr16	89033337	89046162	2	9325	46485.495	1137.5775	305	CBFA2T3	CBFA2T3	CBFA2T3	CBFA2T3	0.3992	305	1
1_MACS_peak_9737_lociStitched	chr15	101737856	101744273	1	6418	46507.2075	1189.7118	306	CHSY1		CHSY1	CHSY1	0.5889	306	1
1_MACS_peak_2330_lociStitched	chr1	203732162	203736108	1	3947	46392.3328	1434.7656	307	LAX1	SNORA77,ZC3H11A,ZBED6	LAX1	LAX1	2.0909	307	1
4_MACS_peak_25369_lociStitched	chr7	38383546	38408541	4	19377	49722.5535	4781.5435	308			TARP	TARP	NONE	308	1
2_MACS_peak_17490_lociStitched	chr21	41295760	41309237	2	8099	48143.8871	3381.3793	309	PCP4		PCP4	PCP4	0.21300000000000002	309	1
1_MACS_peak_25157_lociStitched	chr7	20254621	20262330	1	7710	46324.1519	1578.0323	310	MACC1		MACC1	MACC1	0.5184	310	1
1_MACS_peak_1853_lociStitched	chr1	160676429	160685117	1	8689	47479.92	2751.4896	311	CD48	SLAMF7	CD48	CD48	2.1679999999999997	311	1
2_MACS_peak_22435_lociStitched	chr5	112256292	112266853	2	8100	46527.5416	1859.7921	312	REEP5	DCP2	REEP5	REEP5	0.3424	312	1
4_MACS_peak_23098_lociStitched	chr5	176717146	176740791	4	14766	48394.2215	3936.8925	313	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	2.1877999999999997	313	1
1_MACS_peak_1715_lociStitched	chr1	154830913	154834574	1	3662	45854.025	1410.2172	314	KCNN3		KCNN3	KCNN3	0.47009999999999996	314	1
1_MACS_peak_22811_lociStitched	chr5	148204541	148215876	1	11336	46979.041	2577.579	315	ADRB2		ADRB2	ADRB2	2.2633	315	1
2_MACS_peak_22593_lociStitched	chr5	131822535	131837720	2	12606	47191.943	2892.7425	316	IRF1	IL5	IRF1	IRF1	0.8472	316	1
3_MACS_peak_12016_lociStitched	chr17	70582359	70601748	3	13576	47460.3942	3173.9793	317	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.2975	317	1
1_MACS_peak_17160_lociStitched	chr20	56192325	56197310	1	4986	45246.3525	1100.1895	318	ZBP1		ZBP1	ZBP1	2.5021999999999998	318	1
1_MACS_peak_27630_lociStitched	chr8	134245135	134248978	1	3844	45152.5599	1041.0687	319		WISP1	WISP1	WISP1	0.7394	319	1
3_MACS_peak_14704_lociStitched	chr2	64430316	64443680	3	9977	46578.8856	2473.6764	320	LOC150992		LOC150992	LOC150992	0.33049999999999996	320	1
1_MACS_peak_19766_lociStitched	chr3	160116119	160123756	1	7638	46061.8018	2056.6441	321	SMC4,MIR15B,MIR16-2,IFT80	IFT80,TRIM59	SMC4	SMC4	0.9817	321	1
1_MACS_peak_18398_lociStitched	chr3	13371460	13378188	1	6729	45078.9456	1159.9072	322	NUP210		NUP210	NUP210	0.5714	322	1
1_MACS_peak_13096_lociStitched	chr19	6799120	6803937	1	4818	45546.6618	1673.4258	323	VAV1	SH2D3A	VAV1	VAV1	0.6837	323	1
4_MACS_peak_29069_lociStitched	chrX	10073999	10090980	4	12032	45381.7225	1563.9501	324	WWC3	CLCN4	CLCN4	NONE	NONE	324	1
