REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_673_lociStitched	chr1	40838978	40858483	4	14349	38563.3355	3780.069	157	SMAP2	SMAP2	SMAP2	SMAP2	0.549	157	1
3_MACS_peak_3646_lociStitched	chr10	81001341	81020519	3	14319	44627.206	3097.247	158	ZMIZ1		PPIF	PPIF	NONE	158	1
4_MACS_peak_23546_lociStitched	chr6	27094285	27116260	4	14286	58253.5275	3524.79	159	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.1365999999999998	159	1
1_MACS_peak_12134_lociStitched	chr17	75078840	75093108	1	14269	49928.0124	2663.8356	160	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	3.1008	160	1
2_MACS_peak_28798_lociStitched	chr9	130828748	130845873	2	14240	41692.525	2998.5875	161	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.7674	161	1
4_MACS_peak_6403_lociStitched	chr12	57021985	57040884	4	14229	32143.4192	3318.6644	162	BAZ2A,ATP5B,SNORD59B,SNORD59A	PTGES3	BAZ2A	PTGES3	1.0282	162	1
3_MACS_peak_22480_lociStitched	chr5	118657796	118678578	3	14206	59288.9678	3692.9614	163	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.4905	163	1
6_MACS_peak_10206_lociStitched	chr16	29815516	29837407	6	14188	50614.1811	3150.1149	164	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.4777	164	1
1_MACS_peak_18027_lociStitched	chr22	38700810	38714984	1	14175	34377.6196	2136.0218	165	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.8949	165	1
3_MACS_peak_9985_lociStitched	chr16	12052337	12072051	3	14155	147332.579	3863.944	166	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	10.5937	166	1
3_MACS_peak_12188_lociStitched	chr17	76763382	76779698	3	14144	41018.424	2793.2992	167	CYTH1		CYTH1	CYTH1	0.9152999999999999	167	1
3_MACS_peak_20690_lociStitched	chr4	71519989	71535387	3	14051	51566.3622	2710.048	168	IGJ	ENAM,UTP3,RUFY3	IGJ	IGJ	2.3574	168	1
1_MACS_peak_17831_lociStitched	chr22	29185729	29199766	1	14038	75537.3081	2777.9223	169	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	4.543699999999999	169	1
4_MACS_peak_2342_lociStitched	chr1	204474740	204494284	4	14019	73200.0976	4940.7232	170	MDM4	PIK3C2B	MDM4	MDM4	1.0525	170	1
2_MACS_peak_6006_lociStitched	chr12	26265873	26280370	2	13960	51591.9236	2573.2175	171	BHLHE41		BHLHE41	BHLHE41	2.656	171	1
2_MACS_peak_22760_lociStitched	chr5	142771332	142785985	2	13886	47833.2532	2181.8317	172	NR3C1		NR3C1	NR3C1	0.2949	172	1
1_MACS_peak_11456_lociStitched	chr17	37924914	37938760	1	13847	46168.1024	2521.3566	173	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.3774	173	1
2_MACS_peak_29365_lociStitched	chrX	48790519	48805632	2	13835	77212.317	1760.6645	174	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	2.2614	174	1
1_MACS_peak_5383_lociStitched	chr11	111237801	111251596	1	13796	73888.779	2935.576	175	POU2AF1		POU2AF1	POU2AF1	1.938	175	1
3_MACS_peak_28372_lociStitched	chr9	94181007	94196003	3	13669	48303.6156	2856.738	176	NFIL3		NFIL3	NFIL3	1.3553000000000002	176	1
4_MACS_peak_18082_lociStitched	chr22	39910207	39929664	4	13650	38425.6293	3278.5045	177	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.6851	177	1
4_MACS_peak_2967_lociStitched	chr10	7511582	7535741	4	13623	68536.6671	3582.7797	178			SFMBT2	SFMBT2	NONE	178	1
2_MACS_peak_4462_lociStitched	chr11	19450042	19465834	2	13612	99631.728	3589.5216	179	NAV2		NAV2	NAV2	0.0936	179	1
3_MACS_peak_1850_lociStitched	chr1	160633708	160655702	3	13595	83302.275	5619.467	180	CD48	SLAMF1	SLAMF1	NONE	NONE	180	1
3_MACS_peak_12016_lociStitched	chr17	70582359	70601748	3	13576	47460.3942	3173.9793	181	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.2975	181	1
7_MACS_peak_21786_lociStitched	chr5	32276164	32296893	7	13476	20208.7021	3358.098	182	MTMR12		MTMR12	MTMR12	0.1968	182	1
4_MACS_peak_3662_lociStitched	chr10	81946400	81966408	4	13451	40214.0792	3127.2504	183	ANXA11		ANXA11	ANXA11	0.6114999999999999	183	1
2_MACS_peak_5058_lociStitched	chr11	72850923	72869793	2	13442	129451.974	3917.412	184	FCHSD2		FCHSD2	FCHSD2	0.11549999999999999	184	1
6_MACS_peak_26805_lociStitched	chr8	27930127	27951599	6	13436	36395.04	3407.6064	185	ELP3,C8orf80		C8orf80	C8orf80	0.5291	185	1
6_MACS_peak_14543_lociStitched	chr2	46785696	46804514	6	13427	35447.4666	3295.0318	186	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.71	186	1
4_MACS_peak_3299_lociStitched	chr10	45913458	45934200	4	13341	90090.8028	3279.3102	187	ALOX5		ALOX5	ALOX5	1.0641	187	1
2_MACS_peak_17765_lociStitched	chr22	24176924	24192286	2	13328	125942.2846	2697.5672	188	DERL3	SMARCB1,SLC2A11,MIF	DERL3	DERL3	1.0573	188	1
4_MACS_peak_8467_lociStitched	chr14	91781662	91802214	4	13298	28799.5176	1580.4488	189	CCDC88C		GPR68	GPR68	NONE	189	1
2_MACS_peak_23177_lociStitched	chr6	389082	404174	2	13178	35662.396	3114.9888	190	IRF4		IRF4	IRF4	1.1113	190	1
4_MACS_peak_22265_lociStitched	chr5	88595830	88617351	4	13078	86238.9512	3447.6642	191			MEF2C	MEF2C	0.6508	191	1
1_MACS_peak_7821_lociStitched	chr13	114555109	114568182	1	13074	87132.8523	3119.2178	192	GAS6	FLJ44054,GAS6	GAS6	GAS6	1.6383999999999999	192	1
3_MACS_peak_29262_lociStitched	chrX	39953163	39969576	3	13066	32958.9453	1088.1819	193	BCOR		BCOR	BCOR	0.4766	193	1
4_MACS_peak_15986_lociStitched	chr2	202040103	202060142	4	13010	22371.5396	3045.928	194	CASP10	CASP8	CASP10	CASP8	1.524	194	1
2_MACS_peak_2651_lociStitched	chr1	226839543	226852732	2	13009	77156.9689	3621.6994	195	ITPKB		ITPKB	ITPKB	0.8647999999999999	195	1
5_MACS_peak_29816_lociStitched	chrX	128902431	128921397	5	13001	33734.8242	1720.2162	196	XPNPEP2,SASH3		SASH3	SASH3	0.8412	196	1
1_MACS_peak_645_lociStitched	chr1	40030135	40043102	1	12968	25934	2610.2571	197	PABPC4,SNORA55	PPIEL	SNORA55	SNORA55	1.2348000000000001	197	1
2_MACS_peak_4000_lociStitched	chr10	112255901	112273942	2	12947	42170.8375	3151.7627	198	DUSP5		DUSP5	DUSP5	1.6462999999999999	198	1
5_MACS_peak_16027_lociStitched	chr2	204548198	204573787	5	12939	52774.7536	4613.6967	199	CD28		CD28	CD28	1.2416	199	1
4_MACS_peak_12983_lociStitched	chr19	2254644	2274629	4	12917	43213.5655	4406.6925	200	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	MIR1227	2.0344	200	1
1_MACS_peak_2478_lociStitched	chr1	211743600	211756514	1	12915	30393.099	3303.4012	201	SLC30A1		SLC30A1	SLC30A1	1.9768999999999999	201	1
3_MACS_peak_20064_lociStitched	chr3	186703019	186719900	3	12873	88694.4621	4920.8115	202	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	1.0972	202	1
1_MACS_peak_14493_lociStitched	chr2	43444206	43457037	1	12832	89261.4177	2509.7436	203	LOC100129726,ZFP36L2		ZFP36L2	ZFP36L2	6.1034999999999995	203	1
4_MACS_peak_5177_lociStitched	chr11	82764955	82790106	4	12826	54716.0005	4688.1464	204	RAB30	SNORA70E	RAB30	RAB30	0.7326	204	1
4_MACS_peak_24402_lociStitched	chr6	109214215	109228492	4	12807	36844.6539	2418.5238	205	ARMC2		ARMC2	ARMC2	0.4749	205	1
3_MACS_peak_20493_lociStitched	chr4	38307125	38322570	3	12767	67398.891	3078.1885	206			KLF3	KLF3	0.27249999999999996	206	1
2_MACS_peak_16782_lociStitched	chr20	32988867	33005831	2	12708	40674.5828	2622.6344	207	ITCH	MIR644	ITCH	ITCH	0.2916	207	1
4_MACS_peak_21943_lociStitched	chr5	55272701	55292080	4	12657	30087.8354	3430.083	208	IL6ST		IL6ST	IL6ST	0.37240000000000006	208	1
4_MACS_peak_1757_lociStitched	chr1	155900663	155919531	4	12650	30958.6144	3943.412	209	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	RXFP4	1.4847	209	1
3_MACS_peak_17810_lociStitched	chr22	26974826	26992377	3	12636	45644.8857	3050.3638	210	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	1.3608	210	1
2_MACS_peak_22593_lociStitched	chr5	131822535	131837720	2	12606	47191.943	2892.7425	211	IRF1	IL5	IRF1	IRF1	0.8472	211	1
4_MACS_peak_27713_lociStitched	chr8	145009636	145027958	4	12576	30912.8784	2312.2364	212	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.6752	212	1
3_MACS_peak_17832_lociStitched	chr22	29206889	29225841	3	12549	70378.252	3212.364	213		CCDC117,XBP1	XBP1	XBP1	4.543699999999999	213	1
2_MACS_peak_21797_lociStitched	chr5	32530179	32543944	2	12536	54852.1485	2730.976	214		SUB1	SUB1	SUB1	2.0242	214	1
4_MACS_peak_21627_lociStitched	chr5	1327869	1346220	4	12526	36830.457	2827.8891	215	CLPTM1L	TERT	CLPTM1L	CLPTM1L	4.1376	215	1
4_MACS_peak_4989_lociStitched	chr11	67760487	67778519	4	12521	35759.2592	2825.6144	216	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	NDUFS8	1.1869999999999998	216	1
5_MACS_peak_16707_lociStitched	chr20	30146996	30162133	5	12501	20932.9573	2181.2417	217	HM13	PSIMCT-1,ID1,MIR3193	PSIMCT-1	PSIMCT-1	0.1965	217	1
4_MACS_peak_14316_lociStitched	chr2	27293226	27311006	4	12425	23039.324	2606.548	218	AGBL5,EMILIN1,KHK,OST4	TMEM214,AGBL5,ABHD1,CGREF1,PREB	EMILIN1	EMILIN1	0.9487999999999999	218	1
4_MACS_peak_10369_lociStitched	chr16	50713977	50732869	4	12424	31132.1268	2728.0048	219	NOD2,SNX20	CYLD	NOD2	NOD2	0.09999999999999999	219	1
2_MACS_peak_23672_lociStitched	chr6	31694666	31709396	2	12381	59345.697	2735.361	220	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	3.5373	220	1
1_MACS_peak_21800_lociStitched	chr5	32580651	32593002	1	12352	59865.297	2472.6702	221	SUB1		SUB1	SUB1	2.0242	221	1
1_MACS_peak_12495_lociStitched	chr18	22928795	22941128	1	12334	25598.3748	1877.0826	222	ZNF521		ZNF521	ZNF521	0.02220000000000001	222	1
4_MACS_peak_11011_lociStitched	chr17	7736885	7762350	4	12327	26150.0085	3374.1125	223	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	KDM6B	0.8704	223	1
4_MACS_peak_16354_lociStitched	chr2	238599799	238613301	4	12313	20899.7458	1448.7646	224	LRRFIP1		LRRFIP1	LRRFIP1	0.1199	224	1
4_MACS_peak_6114_lociStitched	chr12	33037801	33060523	4	12303	23169.6234	3817.296	225	PKP2		PKP2	PKP2	0.1263	225	1
2_MACS_peak_15996_lociStitched	chr2	202115950	202128514	2	12299	83594.574	2498.9796	226	CASP8		CASP8	CASP8	1.524	226	1
6_MACS_peak_18985_lociStitched	chr3	66530822	66552361	6	12291	20976.8321	3125.3089	227	LRIG1		LRIG1	LRIG1	0.10229999999999999	227	1
1_MACS_peak_23483_lociStitched	chr6	25403001	25415269	1	12269	132978.986	2670.7436	228	LRRC16A		LRRC16A	LRRC16A	0.5042	228	1
5_MACS_peak_10192_lociStitched	chr16	29463692	29487879	5	12234	20271.1247	4469.7576	229	SLX1B,SLX1A-SULT1A3,SULT1A4,SULT1A3,BOLA2B,LOC388242	LOC606724	LOC388242	LOC606724	2.9463999999999997	229	1
5_MACS_peak_2044_lociStitched	chr1	174923031	174942217	5	12220	24784.4748	4132.6644	230	RABGAP1L	CACYBP	CACYBP	CACYBP	1.2826	230	1
1_MACS_peak_398_lociStitched	chr1	27018395	27030574	1	12180	48187.4314	2109.4028	231	ARID1A		ARID1A	ARID1A	0.6544	231	1
5_MACS_peak_5868_lociStitched	chr12	11901802	11920238	5	12138	40282.66	3342.4468	232	ETV6		ETV6	ETV6	0.2875	232	1
3_MACS_peak_5780_lociStitched	chr12	7022750	7038870	3	12132	25659.816	2743.624	233	LRRC23,ENO2,ATN1	TPI1,RPL13P5,DSTNP2,C12orf57,PTPN6,MIR200C,MIR141,EMG1,SPSB2,SCARNA12,PHB2	ATN1	PTPN6	3.6325	233	1
3_MACS_peak_1874_lociStitched	chr1	161144107	161163247	3	12116	80286.558	4884.528	234	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	2.5578	234	1
2_MACS_peak_3267_lociStitched	chr10	43890460	43906061	2	12087	35604.6022	2335.4697	235	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.7010000000000001	235	1
2_MACS_peak_25503_lociStitched	chr7	50343624	50357535	2	12046	40944.2463	2508.1533	236	IKZF1		IKZF1	IKZF1	0.274	236	1
3_MACS_peak_10943_lociStitched	chr17	4837254	4854685	3	12041	53408.584	2815.1065	237	GP1BA,RNF167,ENO3,SLC25A11,PFN1	C17orf107,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	RNF167	RNF167	2.9842	237	1
1_MACS_peak_16947_lociStitched	chr20	43270174	43282212	1	12039	51598.4794	2245.087	238	ADA	LOC79015	ADA	ADA	1.1630999999999998	238	1
4_MACS_peak_29069_lociStitched	chrX	10073999	10090980	4	12032	45381.7225	1563.9501	239	WWC3	CLCN4	CLCN4	NONE	NONE	239	1
6_MACS_peak_10498_lociStitched	chr16	67191582	67218746	6	12014	23695.1572	3830.124	240	FBXL8,HSF4,NOL3,TRADD,KIAA0895L,EXOC3L	C16orf70,E2F4,ELMO3,TMEM208,B3GNT9,MIR328,LRRC29	NOL3	NOL3	0.5207	240	1
4_MACS_peak_19669_lociStitched	chr3	151985324	152002004	4	11996	29685.396	2883.972	241	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.2379	241	1
4_MACS_peak_28781_lociStitched	chr9	130532006	130550922	4	11927	34107.4396	2716.3376	242	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	TOR2A	0.5678000000000001	242	1
1_MACS_peak_10674_lociStitched	chr16	79628832	79640739	1	11908	28988.7822	947.7972	243	MAF		MAF	MAF	1.5168	243	1
3_MACS_peak_13365_lociStitched	chr19	16693489	16711615	3	11878	54071.6706	3117.672	244	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.18380000000000002	244	1
3_MACS_peak_20718_lociStitched	chr4	74454135	74475387	3	11844	59169.8184	3192.0504	245	RASSF6		RASSF6	RASSF6	0.9967000000000001	245	1
4_MACS_peak_24215_lociStitched	chr6	88625763	88640260	4	11759	43373.5743	2661.6492	246			SPACA1	SPACA1	NONE	246	1
4_MACS_peak_13869_lociStitched	chr19	48880438	48902353	4	11738	32320.242	3037.419	247	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	KDELR1	1.4784	247	1
1_MACS_peak_15806_lociStitched	chr2	182168508	182180232	1	11725	115065.198	2300.2488	248			ITGA4	ITGA4	NONE	248	1
2_MACS_peak_12921_lociStitched	chr19	1015282	1030085	2	11690	33216.4517	2936.9152	249	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	C19orf6	ABCA7	1.0425	249	1
3_MACS_peak_14480_lociStitched	chr2	42344044	42360964	3	11659	44085.06	2693.664	250		EML4	EML4	EML4	0.012200000000000003	250	1
3_MACS_peak_2136_lociStitched	chr1	183865465	183885886	3	11658	71561.3103	4702.9563	251	RGL1		GLT25D2	GLT25D2	NONE	251	1
2_MACS_peak_2755_lociStitched	chr1	234734107	234749828	2	11633	70431.6521	3971.1246	252	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	4.319100000000001	252	1
2_MACS_peak_17729_lociStitched	chr22	23088106	23102022	2	11600	36362.508	2418.6008	253			MIR650	MIR650	2.0283	253	1
6_MACS_peak_14816_lociStitched	chr2	70335006	70360838	6	11599	49824.7616	3843.8016	254	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	6.6178	254	1
3_MACS_peak_18479_lociStitched	chr3	20080074	20098151	3	11574	28039.2347	2859.7814	255	KAT2B	C3orf48	KAT2B	KAT2B	0.16799999999999998	255	1
5_MACS_peak_22250_lociStitched	chr5	87954526	87976763	5	11560	68770.1462	3268.839	256	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.42239999999999994	256	1
4_MACS_peak_13272_lociStitched	chr19	13043335	13057850	4	11501	22496.7985	2336.915	257	CALR,RAD23A,FARSA	GCDH,DAND5,NFIX,KLF1,SYCE2,GADD45GIP1	CALR	CALR	1.1272	257	1
3_MACS_peak_16926_lociStitched	chr20	42569035	42585612	3	11496	41140.7986	2586.012	258	TOX2		TOX2	TOX2	0.5772	258	1
3_MACS_peak_19174_lociStitched	chr3	101495513	101513342	3	11475	33076.3608	3145.0356	259	FAM55C	NFKBIZ	FAM55C	FAM55C	0.6036	259	1
4_MACS_peak_19727_lociStitched	chr3	156804715	156824277	4	11443	70337.1272	5052.8646	260	LOC100498859,LOC339894		LOC100498859	LOC100498859	3.0637000000000003	260	1
1_MACS_peak_9483_lociStitched	chr15	81584997	81596435	1	11439	54432.2982	2531.2294	261	IL16	STARD5	IL16	STARD5	0.738	261	1
3_MACS_peak_5032_lociStitched	chr11	71413785	71426911	3	11402	54787.924	2668.5158	262			FAM86C	FAM86C	NONE	262	1
3_MACS_peak_1854_lociStitched	chr1	160695174	160715353	3	11401	54594.2845	5006.4099	263	SLAMF7	CD48	SLAMF7	CD48	2.1679999999999997	263	1
3_MACS_peak_17202_lociStitched	chr20	61273070	61291004	3	11397	37184.3556	2537.661	264	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	0.8711	264	1
1_MACS_peak_29364_lociStitched	chrX	48768074	48779446	1	11373	31166.1032	1115.5932	265	SLC35A2,PIM2,OTUD5	PQBP1,TIMM17B,KCND1	PIM2	PIM2	1.905	265	1
3_MACS_peak_18054_lociStitched	chr22	39458982	39474377	3	11349	37308.243	2452.4235	266	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	APOBEC3C	2.128	266	1
1_MACS_peak_22811_lociStitched	chr5	148204541	148215876	1	11336	46979.041	2577.579	267	ADRB2		ADRB2	ADRB2	2.2633	267	1
3_MACS_peak_24096_lociStitched	chr6	74220362	74234460	3	11246	37352.651	2885.8606	268	EEF1A1	MTO1	EEF1A1	EEF1A1	2.2601999999999998	268	1
3_MACS_peak_17555_lociStitched	chr21	45194839	45210684	3	11242	45471.981	3623.7515	269	RRP1,CSTB	LOC284837	CSTB	CSTB	1.0994000000000002	269	1
2_MACS_peak_23929_lociStitched	chr6	45386680	45402502	2	11195	63386.0964	2314.7586	270	RUNX2	SUPT3H	RUNX2	RUNX2	0.2771	270	1
2_MACS_peak_1798_lociStitched	chr1	156709563	156722906	2	11167	37839.4137	2914.1112	271	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	HDGF	HDGF	1.7589	271	1
4_MACS_peak_17115_lociStitched	chr20	52545962	52566634	4	11162	38187.3856	3464.6272	272	BCAS1		SUMO1P1	SUMO1P1	1.4533	272	1
5_MACS_peak_2186_lociStitched	chr1	192498637	192521130	5	11162	57827.2537	5310.5973	273		RGS1	RGS1	RGS1	1.1426	273	1
3_MACS_peak_23030_lociStitched	chr5	171601133	171616234	3	11151	41345.0279	2550.5589	274	STK10	EFCAB9	STK10	STK10	0.2523	274	1
2_MACS_peak_17099_lociStitched	chr20	52267651	52279274	2	11148	63689.3908	2168.8518	275			ZNF217	ZNF217	1.3032	275	1
3_MACS_peak_12172_lociStitched	chr17	76163829	76183972	3	11147	28051.1418	2711.2478	276	SYNGR2,AFMID,TK1	TMC8,C17orf99,BIRC5,LOC283999,TMC6,EPR1	SYNGR2	TMC8	1.9219999999999997	276	1
1_MACS_peak_24388_lociStitched	chr6	108986320	108997462	1	11143	44973.5688	1693.584	277	FOXO3		NCRNA00222	NCRNA00222	NONE	277	1
5_MACS_peak_4942_lociStitched	chr11	66861855	66889841	5	11113	21025.8818	3526.236	278	KDM2A	RHOD	KDM2A	KDM2A	0.1638	278	1
4_MACS_peak_14014_lociStitched	chr19	56145537	56167684	4	11096	31975.8386	2839.2454	279	ZNF580,ZNF581,CCDC106,U2AF2	ZNF524,ZNF865,EPN1,FIZ1,ZNF784	ZNF581	ZNF524	1.2222000000000002	279	1
3_MACS_peak_23275_lociStitched	chr6	7135209	7147980	3	11089	35253.0684	2326.8762	280	RREB1		RREB1	RREB1	0.2703	280	1
3_MACS_peak_454_lociStitched	chr1	28827011	28846143	3	11086	24862.034	3288.7908	281	RCC1,SNHG3	TRNAU1AP	RCC1	TRNAU1AP	0.6787	281	1
2_MACS_peak_21666_lociStitched	chr5	6475261	6487201	2	11075	97158.168	2029.8	282	UBE2QL1		UBE2QL1	UBE2QL1	1.9226999999999999	282	1
4_MACS_peak_12972_lociStitched	chr19	2040927	2062801	4	11072	36523.0178	4191.0584	283	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	MOBKL2A	4.3989	283	1
1_MACS_peak_6286_lociStitched	chr12	51312074	51323139	1	11066	42211.8685	2133.332	284	METTL7A	HIGD1C	METTL7A	METTL7A	2.1451	284	1
4_MACS_peak_24632_lociStitched	chr6	135322733	135344061	4	11017	35756.392	3516.9872	285	HBS1L	MIR3662,HBS1L	MIR3662	HBS1L	0.3387	285	1
2_MACS_peak_7160_lociStitched	chr12	125397458	125413069	2	11009	40562.0613	1562.6611	286	UBC	SCARB1	UBC	UBC	2.4292000000000002	286	1
3_MACS_peak_3425_lociStitched	chr10	63798117	63814681	3	10998	52054.0264	2747.9676	287	ARID5B		ARID5B	ARID5B	0.4087	287	1
4_MACS_peak_9097_lociStitched	chr15	52959465	52977157	4	10998	32609.8944	2777.644	288	KIAA1370		KIAA1370	KIAA1370	0.24290000000000003	288	1
3_MACS_peak_16875_lociStitched	chr20	37486910	37505944	3	10992	132128.3178	3251.0072	289	PPP1R16B	FAM83D	FAM83D	FAM83D	0.0816	289	1
5_MACS_peak_22910_lociStitched	chr5	156339573	156361507	5	10990	44773.8742	3296.6802	290	LOC100286948,TIMD4		LOC100286948	LOC100286948	0.37829999999999997	290	1
3_MACS_peak_10711_lociStitched	chr16	81841537	81857636	3	10948	33944.7415	1682.3455	291	PLCG2		PLCG2	PLCG2	0.19269999999999998	291	1
4_MACS_peak_13916_lociStitched	chr19	50165971	50184389	4	10946	29848.2108	2860.3154	292	BCL2L12,PRMT1,IRF3	SCAF1,C19orf76,CPT1C,RRAS	PRMT1	RRAS	0.7298	292	1
5_MACS_peak_13091_lociStitched	chr19	6765552	6789475	5	10916	22856.0342	4901.8227	293	VAV1,SH2D3A	TRIP10,C3,GPR108	VAV1	GPR108	0.9157	293	1
4_MACS_peak_12936_lociStitched	chr19	1258401	1277520	4	10887	37934.0079	3540.8388	294	MIDN,CIRBP,C19orf24,C19orf23	ATP5D,EFNA2,C19orf26	CIRBP	CIRBP	1.4782	294	1
3_MACS_peak_24745_lociStitched	chr6	143162764	143180102	3	10881	35756.1574	1612.434	295	HIVEP2		HIVEP2	HIVEP2	0.2404	295	1
2_MACS_peak_2381_lociStitched	chr1	206282036	206295531	2	10857	108534.887	3622.058	296	C1orf186	CTSE	C1orf186	C1orf186	1.6602999999999999	296	1
3_MACS_peak_24482_lociStitched	chr6	117858878	117877313	3	10846	30633.4395	2730.2235	297	DCBLD1	GOPC	GOPC	GOPC	0.1528	297	1
1_MACS_peak_5729_lociStitched	chr12	4377736	4388573	1	10838	31725.3175	1702.4927	298	CCND2	C12orf5	CCND2	CCND2	0.7552	298	1
2_MACS_peak_6666_lociStitched	chr12	89738070	89749542	2	10805	64554.0912	2250.8064	299	DUSP6		DUSP6	DUSP6	4.3064	299	1
4_MACS_peak_4271_lociStitched	chr11	3874469	3893383	4	10804	26852.2058	3258.8822	300	STIM1	PGAP2,RHOG	STIM1	RHOG	0.3035	300	1
3_MACS_peak_14477_lociStitched	chr2	42323185	42334808	3	10790	73738.6366	2331.5738	301		PKDCC	PKDCC	NONE	NONE	301	1
6_MACS_peak_18740_lociStitched	chr3	46421350	46438801	6	10782	14664.0753	2757.258	302		CCR2,CCR5,CCRL2	CCR5	CCR2	1.6666999999999998	302	1
5_MACS_peak_12127_lociStitched	chr17	74773595	74788878	5	10766	26503.7786	1809.5072	303	MFSD11	MIR636,SRSF2	MFSD11	MIR636	1.8904	303	1
1_MACS_peak_22402_lociStitched	chr5	109023753	109034480	1	10728	38248.1912	2234.4341	304	MAN2A1		MAN2A1	MAN2A1	0.4347	304	1
2_MACS_peak_8766_lociStitched	chr15	31546356	31560805	2	10723	126136.8802	2892.6898	305			KLF13	KLF13	1.9993	305	1
3_MACS_peak_5499_lociStitched	chr11	118963218	118979795	3	10710	29144.0237	3202.6764	306	HMBS,C2CD2L,H2AFX,DPAGT1	VPS11,HINFP,ABCG4,HYOU1	DPAGT1	DPAGT1	1.4583	306	1
2_MACS_peak_27653_lociStitched	chr8	137189319	137201492	2	10680	42797.8334	2490.5958	307			KHDRBS3	KHDRBS3	NONE	307	1
4_MACS_peak_7891_lociStitched	chr14	23024066	23040324	4	10676	21923.913	1263.2466	308	DAD1	ABHD4	DAD1	ABHD4	0.4267	308	1
3_MACS_peak_599_lociStitched	chr1	37930819	37946559	3	10662	37420.276	2439.7	309	ZC3H12A	MEAF6	ZC3H12A	ZC3H12A	1.6492	309	1
2_MACS_peak_23519_lociStitched	chr6	26355385	26367580	2	10647	65243.25	2185.344	310	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	2.1057	310	1
3_MACS_peak_23492_lociStitched	chr6	26020348	26034852	3	10643	38071.5496	2387.3584	311	HIST1H3A,HIST1H4A,HIST1H4B,HIST1H3B,HIST1H2AB	HIST1H3C,HIST1H1A,HIST1H2BB,HIST1H1C	HIST1H4B	HIST1H1C	2.3028	311	1
4_MACS_peak_11030_lociStitched	chr17	8088540	8104315	4	10618	21111.6825	2770.09	312	MIR3676,C17orf59	PFAS,PER1,VAMP2,TMEM107,AURKB,C17orf44,C17orf68	C17orf59	C17orf59	1.2336	312	1
