REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X17_0EX3_0229Kronos_MM1S.KB.6hr.1_H3K27Ac_hs.dm_i33.bam	X41_0EXT_0229Kronos_MM1S.KB.6hr.1_Input_hs_i85.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
4_MACS_peak_2342_lociStitched	chr1	204474740	204494284	4	14019	73200.0976	4940.7232	162	MDM4	PIK3C2B	MDM4	MDM4	1.0525	162	1
4_MACS_peak_16157_lociStitched	chr2	219742565	219763350	4	15728	53934.9965	3244.5385	163	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	2.1738999999999997	163	1
3_MACS_peak_18545_lociStitched	chr3	30682661	30703503	3	16603	39464.327	3474.3614	164	TGFBR2		TGFBR2	TGFBR2	0.416	164	1
2_MACS_peak_1055_lociStitched	chr1	75596223	75612509	2	15841	49927.9902	2056.9218	165	LHX8		LHX8	LHX8	1.1027	165	1
4_MACS_peak_23504_lociStitched	chr6	26183622	26207333	4	14529	64764.2254	3653.8651	166	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H3D	2.9842	166	1
2_MACS_peak_2651_lociStitched	chr1	226839543	226852732	2	13009	77156.9689	3621.6994	167	ITPKB		ITPKB	ITPKB	0.8647999999999999	167	1
1_MACS_peak_11287_lociStitched	chr17	29635069	29649505	1	14437	63164.718	2895.8616	168	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	2.3106	168	1
5_MACS_peak_28874_lociStitched	chr9	134127071	134153578	5	15275	53573.2977	4074.1259	169	FAM78A	PPAPDC3	FAM78A	FAM78A	1.5110999999999999	169	1
4_MACS_peak_2967_lociStitched	chr10	7511582	7535741	4	13623	68536.6671	3582.7797	170			SFMBT2	SFMBT2	NONE	170	1
2_MACS_peak_17280_lociStitched	chr21	19152108	19169251	2	15021	53503.303	3025.7395	171	C21orf91		C21orf91	C21orf91	1.1659000000000002	171	1
3_MACS_peak_1874_lociStitched	chr1	161144107	161163247	3	12116	80286.558	4884.528	172	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	2.5578	172	1
6_MACS_peak_27543_lociStitched	chr8	126285286	126308122	6	15437	46443.8568	3836.448	173	NSMCE2		TRIB1	TRIB1	NONE	173	1
5_MACS_peak_8675_lociStitched	chr15	21976481	22002418	5	16027	34843.7658	3779.0209	174		LOC646214,CXADRP2	CXADRP2	LOC646214	0.039099999999999996	174	1
2_MACS_peak_16768_lociStitched	chr20	32461603	32473789	2	8932	92172.4668	2241.0054	175			CHMP4B	CHMP4B	2.5751999999999997	175	1
3_MACS_peak_22480_lociStitched	chr5	118657796	118678578	3	14206	59288.9678	3692.9614	176	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.4905	176	1
4_MACS_peak_23546_lociStitched	chr6	27094285	27116260	4	14286	58253.5275	3524.79	177	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	1.1365999999999998	177	1
1_MACS_peak_5932_lociStitched	chr12	15100994	15116294	1	15301	44096.13	3098.25	178	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	1.3679000000000001	178	1
1_MACS_peak_18029_lociStitched	chr22	38782028	38797226	1	15199	42575.6772	2667.249	179	LOC400927	KCNJ4	LOC400927	LOC400927	0.7351	179	1
3_MACS_peak_17832_lociStitched	chr22	29206889	29225841	3	12549	70378.252	3212.364	181		CCDC117,XBP1	XBP1	XBP1	4.543699999999999	181	1
6_MACS_peak_8875_lociStitched	chr15	40329651	40358396	6	15034	46377.183	4924.0185	182	SRP14	BMF	SRP14	BMF	3.5202	182	1
4_MACS_peak_23098_lociStitched	chr5	176717146	176740791	4	14766	48394.2215	3936.8925	183	NSD1,PRELID1,RAB24,MXD3	RGS14,LMAN2	RAB24	RAB24	2.1877999999999997	183	1
2_MACS_peak_3998_lociStitched	chr10	112216110	112226066	2	8810	89947.482	2291.8712	184		DUSP5	DUSP5	DUSP5	1.6462999999999999	184	1
5_MACS_peak_8374_lociStitched	chr14	77487961	77508132	5	14638	47619.6968	1871.8688	185	C14orf4		C14orf4	C14orf4	2.0316	185	1
5_MACS_peak_8667_lociStitched	chr15	20969938	20995773	5	15298	39005.683	3663.403	186		BCL8	BCL8	NONE	NONE	186	1
3_MACS_peak_20493_lociStitched	chr4	38307125	38322570	3	12767	67398.891	3078.1885	187			KLF3	KLF3	NONE	187	1
1_MACS_peak_2438_lociStitched	chr1	209275292	209283933	1	8642	90096.2506	2366.7699	188			LOC642587	LOC642587	NONE	188	1
1_MACS_peak_9124_lociStitched	chr15	56656088	56666490	1	10403	81141.8412	1950.375	189	TEX9		TEX9	TEX9	0.8427	189	1
2_MACS_peak_20069_lociStitched	chr3	186779536	186792502	2	10409	82706.2242	3815.8938	190	ST6GAL1		ST6GAL1	ST6GAL1	1.0972	190	1
1_MACS_peak_12134_lociStitched	chr17	75078840	75093108	1	14269	49928.0124	2663.8356	191	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	3.1008	191	1
4_MACS_peak_19463_lociStitched	chr3	129026464	129054624	4	15007	40195.584	3995.904	192	C3orf47,H1FX	C3orf37	H1FX	H1FX	2.6062000000000003	192	1
6_MACS_peak_10206_lociStitched	chr16	29815516	29837407	6	14188	50614.1811	3150.1149	193	KIF22,MAZ,PRRT2,C16orf53,MVP	ZG16,LOC440356,CDIPT	C16orf53	C16orf53	1.4777	193	1
3_MACS_peak_20690_lociStitched	chr4	71519989	71535387	3	14051	51566.3622	2710.048	194	IGJ	ENAM,UTP3,RUFY3	IGJ	IGJ	2.3574	194	1
2_MACS_peak_6006_lociStitched	chr12	26265873	26280370	2	13960	51591.9236	2573.2175	195	BHLHE41		BHLHE41	BHLHE41	2.656	195	1
2_MACS_peak_15261_lociStitched	chr2	112455752	112465718	2	9725	82413.837	2209.4622	196			ANAPC1	ANAPC1	NONE	196	1
3_MACS_peak_7116_lociStitched	chr12	123371215	123387355	3	14877	36344.052	1596.246	197	VPS37B		VPS37B	VPS37B	1.1399	197	1
4_MACS_peak_16950_lociStitched	chr20	43583355	43609218	4	14897	38287.5852	3933.7623	198	STK4,TOMM34	PABPC1L	STK4	STK4	0.5023	198	1
2_MACS_peak_11917_lociStitched	chr17	62195764	62210498	2	14594	41233.099	2843.662	199	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.6062	199	1
3_MACS_peak_3646_lociStitched	chr10	81001341	81020519	3	14319	44627.206	3097.247	200	ZMIZ1		PPIF	PPIF	NONE	200	1
3_MACS_peak_2136_lociStitched	chr1	183865465	183885886	3	11658	71561.3103	4702.9563	201	RGL1		GLT25D2	GLT25D2	NONE	201	1
2_MACS_peak_22760_lociStitched	chr5	142771332	142785985	2	13886	47833.2532	2181.8317	202	NR3C1		NR3C1	NR3C1	0.2949	202	1
2_MACS_peak_2755_lociStitched	chr1	234734107	234749828	2	11633	70431.6521	3971.1246	203	IRF2BP2	NCRNA00184	IRF2BP2	IRF2BP2	4.319100000000001	203	1
3_MACS_peak_20771_lociStitched	chr4	77608720	77624753	3	14552	38453.5472	3078.336	204	SHROOM3		ANKRD56	ANKRD56	NONE	204	1
3_MACS_peak_25436_lociStitched	chr7	44661685	44680155	3	14519	38860.88	3174.993	205	OGDH	DDX56,TMED4	OGDH	TMED4	0.8696	205	1
3_MACS_peak_14477_lociStitched	chr2	42323185	42334808	3	10790	73738.6366	2331.5738	206		PKDCC	PKDCC	NONE	NONE	206	1
2_MACS_peak_28798_lociStitched	chr9	130828748	130845873	2	14240	41692.525	2998.5875	207	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.7674	207	1
5_MACS_peak_22250_lociStitched	chr5	87954526	87976763	5	11560	68770.1462	3268.839	208	LOC645323,MIR9-2		MIR9-2	MIR9-2	0.42239999999999994	208	1
1_MACS_peak_11456_lociStitched	chr17	37924914	37938760	1	13847	46168.1024	2521.3566	209	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.3774	209	1
3_MACS_peak_28372_lociStitched	chr9	94181007	94196003	3	13669	48303.6156	2856.738	210	NFIL3		NFIL3	NFIL3	1.3553000000000002	210	1
2_MACS_peak_20693_lociStitched	chr4	71541667	71555344	2	10005	77057.5857	2346.9732	211	UTP3	ENAM,RUFY3,IGJ	UTP3	IGJ	2.3574	211	1
3_MACS_peak_12188_lociStitched	chr17	76763382	76779698	3	14144	41018.424	2793.2992	212	CYTH1		CYTH1	CYTH1	0.9152999999999999	212	1
4_MACS_peak_673_lociStitched	chr1	40838978	40858483	4	14349	38563.3355	3780.069	213	SMAP2	SMAP2	SMAP2	SMAP2	0.549	213	1
4_MACS_peak_19727_lociStitched	chr3	156804715	156824277	4	11443	70337.1272	5052.8646	214	LOC100498859,LOC339894		LOC100498859	LOC100498859	3.0637000000000003	214	1
3_MACS_peak_27216_lociStitched	chr8	81046365	81061752	3	14475	34854.6324	2717.3442	215	TPD52		TPD52	TPD52	0.48179999999999995	215	1
2_MACS_peak_14814_lociStitched	chr2	70310216	70323345	2	8688	82851.8674	2348.7781	216	PCBP1,LOC400960	LOC100133985	PCBP1	PCBP1	6.6178	216	1
1_MACS_peak_11615_lociStitched	chr17	43298033	43308624	1	10592	72857.6072	2285.5378	217	FMNL1	LOC100133991,C17orf46	FMNL1	FMNL1	2.1821	217	1
1_MACS_peak_21800_lociStitched	chr5	32580651	32593002	1	12352	59865.297	2472.6702	218	SUB1		SUB1	SUB1	2.0242	218	1
3_MACS_peak_12016_lociStitched	chr17	70582359	70601748	3	13576	47460.3942	3173.9793	219	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.2975	219	1
2_MACS_peak_23672_lociStitched	chr6	31694666	31709396	2	12381	59345.697	2735.361	220	MSH5,DDAH2,CLIC1	LY6G6F,LY6G6D,C6orf25,C6orf26,LY6G5C,BAT5,LY6G6E,LY6G6C,C6orf27	CLIC1	CLIC1	3.5373	220	1
2_MACS_peak_5434_lociStitched	chr11	115090307	115102449	2	9296	78869.5752	2238.9848	221	CADM1		CADM1	CADM1	0.2891	221	1
2_MACS_peak_18725_lociStitched	chr3	46245679	46257265	2	9685	76459.4898	2449.2804	222	CCR1	CCR3	CCR1	CCR1	3.5186	222	1
2_MACS_peak_17153_lociStitched	chr20	55957819	55975863	2	14351	32154.408	2805.842	223	RBM38	RAE1,MTRNR2L3	RBM38	RBM38	0.9335000000000001	223	1
1_MACS_peak_18027_lociStitched	chr22	38700810	38714984	1	14175	34377.6196	2136.0218	224	CSNK1E	TMEM184B	CSNK1E	CSNK1E	0.8949	224	1
4_MACS_peak_5177_lociStitched	chr11	82764955	82790106	4	12826	54716.0005	4688.1464	225	RAB30	SNORA70E	RAB30	RAB30	0.7326	225	1
5_MACS_peak_16027_lociStitched	chr2	204548198	204573787	5	12939	52774.7536	4613.6967	226	CD28		CD28	CD28	1.2416	226	1
2_MACS_peak_21797_lociStitched	chr5	32530179	32543944	2	12536	54852.1485	2730.976	227		SUB1	SUB1	SUB1	2.0242	227	1
3_MACS_peak_19916_lociStitched	chr3	178230191	178241410	3	10416	71235.0405	2736.3141	228		KCNMB2	KCNMB2	NONE	NONE	228	1
4_MACS_peak_6403_lociStitched	chr12	57021985	57040884	4	14229	32143.4192	3318.6644	229	BAZ2A,ATP5B,SNORD59B,SNORD59A	PTGES3	BAZ2A	PTGES3	1.0282	229	1
7_MACS_peak_4825_lociStitched	chr11	63992632	64020247	7	14411	28366.128	3830.2005	230	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	C11orf20	1.1998	230	1
1_MACS_peak_23332_lociStitched	chr6	11827867	11836718	1	8852	77685.227	2106.538	231		C6orf105	C6orf105	C6orf105	0.41290000000000004	231	1
3_MACS_peak_20718_lociStitched	chr4	74454135	74475387	3	11844	59169.8184	3192.0504	232	RASSF6		RASSF6	RASSF6	0.9967000000000001	232	1
2_MACS_peak_17099_lociStitched	chr20	52267651	52279274	2	11148	63689.3908	2168.8518	233			ZNF217	ZNF217	1.3032	233	1
1_MACS_peak_20985_lociStitched	chr4	105407122	105417605	1	10484	67844.9277	1752.7576	234	CXXC4		CXXC4	CXXC4	2.2346999999999997	234	1
2_MACS_peak_23929_lociStitched	chr6	45386680	45402502	2	11195	63386.0964	2314.7586	235	RUNX2	SUPT3H	RUNX2	RUNX2	0.2771	235	1
4_MACS_peak_18082_lociStitched	chr22	39910207	39929664	4	13650	38425.6293	3278.5045	236	SMCR7L,ATF4,RPS19BP1	MGAT3,CACNA1I	ATF4	ATF4	1.6851	236	1
1_MACS_peak_300_lociStitched	chr1	23849230	23858893	1	9664	72691.8501	1888.1502	237	E2F2	ASAP3,ID3	E2F2	E2F2	2.0593	237	1
2_MACS_peak_26092_lociStitched	chr7	114561651	114574037	2	10089	71666.6346	3541.1574	238	MDFIC		MDFIC	MDFIC	2.2499000000000002	238	1
4_MACS_peak_3662_lociStitched	chr10	81946400	81966408	4	13451	40214.0792	3127.2504	239	ANXA11		ANXA11	ANXA11	0.6114999999999999	239	1
2_MACS_peak_6666_lociStitched	chr12	89738070	89749542	2	10805	64554.0912	2250.8064	240	DUSP6		DUSP6	DUSP6	4.3064	240	1
2_MACS_peak_23519_lociStitched	chr6	26355385	26367580	2	10647	65243.25	2185.344	241	BTN3A2	BTN3A2,BTN2A2,BTN3A1	BTN3A2	BTN3A2	2.1057	241	1
2_MACS_peak_19906_lociStitched	chr3	177068562	177079792	2	8753	76868.227	3214.026	242			TBL1XR1	TBL1XR1	0.4349	242	1
1_MACS_peak_23708_lociStitched	chr6	32934588	32943006	1	8419	76633.263	1778.7234	243	BRD2	HLA-DMB,HLA-DMA,HLA-DOA	BRD2	BRD2	3.2832000000000003	243	1
3_MACS_peak_10943_lociStitched	chr17	4837254	4854685	3	12041	53408.584	2815.1065	244	GP1BA,RNF167,ENO3,SLC25A11,PFN1	C17orf107,KIF1C,CHRNE,SPAG7,CAMTA2,INCA1	RNF167	RNF167	2.9842	244	1
6_MACS_peak_26805_lociStitched	chr8	27930127	27951599	6	13436	36395.04	3407.6064	245	ELP3,C8orf80		C8orf80	C8orf80	0.5291	245	1
2_MACS_peak_22593_lociStitched	chr5	131822535	131837720	2	12606	47191.943	2892.7425	246	IRF1	IL5	IRF1	IRF1	0.8472	246	1
6_MACS_peak_14543_lociStitched	chr2	46785696	46804514	6	13427	35447.4666	3295.0318	247	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.71	247	1
2_MACS_peak_4000_lociStitched	chr10	112255901	112273942	2	12947	42170.8375	3151.7627	248	DUSP5		DUSP5	DUSP5	1.6462999999999999	248	1
3_MACS_peak_13365_lociStitched	chr19	16693489	16711615	3	11878	54071.6706	3117.672	249	MED26	CHERP,SLC35E1	SLC35E1	CHERP	0.18380000000000002	249	1
1_MACS_peak_16947_lociStitched	chr20	43270174	43282212	1	12039	51598.4794	2245.087	250	ADA	LOC79015	ADA	ADA	1.1630999999999998	250	1
3_MACS_peak_17810_lociStitched	chr22	26974826	26992377	3	12636	45644.8857	3050.3638	251	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	CRYBB1	1.3608	251	1
4_MACS_peak_12983_lociStitched	chr19	2254644	2274629	4	12917	43213.5655	4406.6925	252	OAZ1,JSRP1	SF3A2,AMH,MIR4321,MIR1227,PLEKHJ1,C19orf35,LINGO3	OAZ1	MIR1227	2.0344	252	1
1_MACS_peak_4701_lociStitched	chr11	58340092	58348107	1	8016	76983.2735	1731.24	253	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	1.2811	253	1
2_MACS_peak_17385_lociStitched	chr21	34600577	34613163	2	10243	65736.678	3087.3458	254	IFNAR2	IL10RB	IFNAR2	IFNAR2	1.7206000000000001	254	1
1_MACS_peak_398_lociStitched	chr1	27018395	27030574	1	12180	48187.4314	2109.4028	255	ARID1A		ARID1A	ARID1A	0.6544	255	1
3_MACS_peak_19814_lociStitched	chr3	169656758	169668399	3	9952	67620.2408	3446.9001	256	SAMD7,LOC100128164	SEC62	LOC100128164	LOC100128164	2.3043	256	1
2_MACS_peak_23177_lociStitched	chr6	389082	404174	2	13178	35662.396	3114.9888	257	IRF4		IRF4	IRF4	1.1113	257	1
1_MACS_peak_19899_lociStitched	chr3	176911739	176920855	1	9117	70906.0712	2359.2208	258	TBL1XR1		TBL1XR1	TBL1XR1	0.4349	258	1
2_MACS_peak_16782_lociStitched	chr20	32988867	33005831	2	12708	40674.5828	2622.6344	259	ITCH	MIR644	ITCH	ITCH	0.2916	259	1
1_MACS_peak_9483_lociStitched	chr15	81584997	81596435	1	11439	54432.2982	2531.2294	260	IL16	STARD5	IL16	STARD5	0.738	260	1
3_MACS_peak_5032_lociStitched	chr11	71413785	71426911	3	11402	54787.924	2668.5158	261			FAM86C	FAM86C	NONE	261	1
3_MACS_peak_29262_lociStitched	chrX	39953163	39969576	3	13066	32958.9453	1088.1819	262	BCOR		BCOR	BCOR	0.4766	262	1
4_MACS_peak_8467_lociStitched	chr14	91781662	91802214	4	13298	28799.5176	1580.4488	263	CCDC88C		GPR68	GPR68	NONE	263	1
5_MACS_peak_29816_lociStitched	chrX	128902431	128921397	5	13001	33734.8242	1720.2162	264	XPNPEP2,SASH3		SASH3	SASH3	0.8412	264	1
2_MACS_peak_23066_lociStitched	chr5	173696453	173709934	2	9269	68854.2075	2452.1939	265			HMP19	HMP19	NONE	265	1
1_MACS_peak_14973_lociStitched	chr2	86220234	86228775	1	8542	71909.2413	1721.0115	266		LOC90784	LOC90784	LOC90784	0.004699999999999996	266	1
4_MACS_peak_24402_lociStitched	chr6	109214215	109228492	4	12807	36844.6539	2418.5238	268	ARMC2		ARMC2	ARMC2	0.4749	268	1
1_MACS_peak_1505_lociStitched	chr1	145448687	145458068	1	9382	68355.5946	3085.4109	269	POLR3GL	HFE2,TXNIP,ANKRD34A,LIX1L,RBM8A	TXNIP	TXNIP	3.0298	269	1
5_MACS_peak_2186_lociStitched	chr1	192498637	192521130	5	11162	57827.2537	5310.5973	270		RGS1	RGS1	RGS1	1.1426	270	1
4_MACS_peak_29069_lociStitched	chrX	10073999	10090980	4	12032	45381.7225	1563.9501	271	WWC3	CLCN4	CLCN4	NONE	NONE	271	1
2_MACS_peak_17156_lociStitched	chr20	56047649	56058388	2	9811	63914.2324	1666.6928	272		CTCFL	CTCFL	NONE	NONE	272	1
1_MACS_peak_16256_lociStitched	chr2	231729235	231739751	1	10517	58002.0496	1005.3296	273	ITM2C		ITM2C	ITM2C	2.3573999999999997	273	1
3_MACS_peak_1854_lociStitched	chr1	160695174	160715353	3	11401	54594.2845	5006.4099	274	SLAMF7	CD48	SLAMF7	CD48	2.1679999999999997	274	1
1_MACS_peak_20681_lociStitched	chr4	69434595	69443765	1	9171	66558.611	1601.999	276		UGT2B15,UGT2B17	UGT2B17	UGT2B17	0.49239999999999995	276	1
2_MACS_peak_25236_lociStitched	chr7	26002348	26011622	2	8497	70634.4936	2072.739	277		MIR148A	MIR148A	MIR148A	2.011	277	1
6_MACS_peak_14816_lociStitched	chr2	70335006	70360838	6	11599	49824.7616	3843.8016	278	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	6.6178	278	1
4_MACS_peak_21627_lociStitched	chr5	1327869	1346220	4	12526	36830.457	2827.8891	279	CLPTM1L	TERT	CLPTM1L	CLPTM1L	4.1376	279	1
1_MACS_peak_2478_lociStitched	chr1	211743600	211756514	1	12915	30393.099	3303.4012	280	SLC30A1		SLC30A1	SLC30A1	1.9768999999999999	280	1
3_MACS_peak_15030_lociStitched	chr2	89049793	89066630	3	9580	64182.644	3025.6089	281	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.001799999999999996	281	1
4_MACS_peak_4989_lociStitched	chr11	67760487	67778519	4	12521	35759.2592	2825.6144	282	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	UNC93B1	NDUFS8	1.1869999999999998	282	1
2_MACS_peak_242_lociStitched	chr1	17221342	17233202	2	7047	77896.48	4139.14	283		CROCC	CROCC	NONE	NONE	283	1
3_MACS_peak_28563_lociStitched	chr9	112668834	112683223	3	8291	70458.6163	2548.2919	284	PALM2,PALM2-AKAP2		PALM2	PALM2	0.3341	284	1
2_MACS_peak_25503_lociStitched	chr7	50343624	50357535	2	12046	40944.2463	2508.1533	287	IKZF1		IKZF1	IKZF1	0.274	287	1
5_MACS_peak_5868_lociStitched	chr12	11901802	11920238	5	12138	40282.66	3342.4468	288	ETV6		ETV6	ETV6	0.2875	288	1
3_MACS_peak_3425_lociStitched	chr10	63798117	63814681	3	10998	52054.0264	2747.9676	289	ARID5B		ARID5B	ARID5B	0.4087	289	1
4_MACS_peak_24215_lociStitched	chr6	88625763	88640260	4	11759	43373.5743	2661.6492	290			SPACA1	SPACA1	NONE	290	1
1_MACS_peak_24348_lociStitched	chr6	106610055	106617385	1	7331	72926.903	1670.507	292			PRDM1	PRDM1	4.5849	292	1
4_MACS_peak_27713_lociStitched	chr8	145009636	145027958	4	12576	30912.8784	2312.2364	293	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.6752	293	1
3_MACS_peak_14480_lociStitched	chr2	42344044	42360964	3	11659	44085.06	2693.664	294		EML4	EML4	EML4	0.012200000000000003	294	1
4_MACS_peak_1757_lociStitched	chr1	155900663	155919531	4	12650	30958.6144	3943.412	295	RXFP4,KIAA0907,ARHGEF2	RIT1,SNORA42,SCARNA4	RXFP4	RXFP4	1.4847	295	1
4_MACS_peak_21943_lociStitched	chr5	55272701	55292080	4	12657	30087.8354	3430.083	296	IL6ST		IL6ST	IL6ST	0.37240000000000006	296	1
1_MACS_peak_22811_lociStitched	chr5	148204541	148215876	1	11336	46979.041	2577.579	297	ADRB2		ADRB2	ADRB2	2.2633	297	1
2_MACS_peak_25472_lociStitched	chr7	47513302	47524534	2	10548	52960.0032	2301.4368	298	TNS3		TNS3	TNS3	0.22659999999999997	298	1
4_MACS_peak_10369_lociStitched	chr16	50713977	50732869	4	12424	31132.1268	2728.0048	299	NOD2,SNX20	CYLD	NOD2	NOD2	0.09999999999999999	299	1
3_MACS_peak_18751_lociStitched	chr3	46578142	46589484	3	8275	67493.9736	2142.5038	300	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	1.0884	300	1
2_MACS_peak_3267_lociStitched	chr10	43890460	43906061	2	12087	35604.6022	2335.4697	301	HNRNPF	FXYD4,ZNF487P	HNRNPF	HNRNPF	0.7010000000000001	301	1
3_MACS_peak_9675_lociStitched	chr15	93346384	93364576	3	10601	52269.2544	2608.7328	302		ASB9P1	ASB9P1	NONE	NONE	302	1
1_MACS_peak_15569_lociStitched	chr2	158293859	158302480	1	8622	65300.6266	1956.1049	303	CYTIP		CYTIP	CYTIP	1.5991	303	1
1_MACS_peak_24388_lociStitched	chr6	108986320	108997462	1	11143	44973.5688	1693.584	304	FOXO3		NCRNA00222	NCRNA00222	NONE	304	1
3_MACS_peak_17555_lociStitched	chr21	45194839	45210684	3	11242	45471.981	3623.7515	305	RRP1,CSTB	LOC284837	CSTB	CSTB	1.0994000000000002	305	1
3_MACS_peak_16926_lociStitched	chr20	42569035	42585612	3	11496	41140.7986	2586.012	306	TOX2		TOX2	TOX2	0.5772	306	1
2_MACS_peak_17747_lociStitched	chr22	23477857	23488726	2	9644	57379.6248	2075.979	307	RAB36,RTDR1	BCR	RTDR1	RTDR1	0.5801000000000001	307	1
1_MACS_peak_16997_lociStitched	chr20	45978274	45987284	1	9011	61277.911	1846.149	309	ZMYND8	LOC100131496	ZMYND8	ZMYND8	0.3935	309	1
1_MACS_peak_6743_lociStitched	chr12	94596091	94603840	1	7750	68000.5746	1794.6684	310	PLXNC1		PLXNC1	PLXNC1	0.9511000000000001	310	1
1_MACS_peak_1335_lociStitched	chr1	111172681	111181479	1	8799	61637.0284	1153.4178	311		KCNA2,KCNA3	KCNA2	KCNA3	1.0111	311	1
3_MACS_peak_23567_lociStitched	chr6	27791112	27808230	3	10385	51706.6308	2571.1236	312	HIST1H4J,HIST1H2BN,HIST1H4K,HIST1H2AK	HIST1H2AI,HIST1H3H,HIST1H2BM,HIST1H2AL,HIST1H2BL,HIST1H2AJ,HIST1H1B,HIST1H3I,HIST1H4L	HIST1H4K	HIST1H3H	2.665	312	1
4_MACS_peak_28781_lociStitched	chr9	130532006	130550922	4	11927	34107.4396	2716.3376	313	CDK9,MIR2861,SH2D3C	FPGS,TOR2A,SH2D3C	SH2D3C	TOR2A	0.5678000000000001	313	1
1_MACS_peak_2134_lociStitched	chr1	183808910	183815938	1	7029	71152.8776	2168.138	314	RGL1		APOBEC4	APOBEC4	NONE	314	1
1_MACS_peak_6831_lociStitched	chr12	102870787	102879529	1	8743	62260.524	1874.2848	315	IGF1		IGF1	IGF1	0.5977	315	1
1_MACS_peak_12495_lociStitched	chr18	22928795	22941128	1	12334	25598.3748	1877.0826	316	ZNF521		ZNF521	ZNF521	0.02220000000000001	316	1
5_MACS_peak_22910_lociStitched	chr5	156339573	156361507	5	10990	44773.8742	3296.6802	320	LOC100286948,TIMD4		LOC100286948	LOC100286948	0.37829999999999997	320	1
2_MACS_peak_17729_lociStitched	chr22	23088106	23102022	2	11600	36362.508	2418.6008	321			MIR650	MIR650	2.0283	321	1
1_MACS_peak_3196_lociStitched	chr10	30989278	30996879	1	7602	66618.9645	1495.1167	322			LYZL2	LYZL2	NONE	322	1
1_MACS_peak_6286_lociStitched	chr12	51312074	51323139	1	11066	42211.8685	2133.332	323	METTL7A	HIGD1C	METTL7A	METTL7A	2.1451	323	1
2_MACS_peak_10409_lociStitched	chr16	56943586	56952634	2	7935	65188.1256	1776.1224	324	SLC12A3	HERPUD1,CETP	HERPUD1	HERPUD1	2.8001	324	1
4_MACS_peak_19669_lociStitched	chr3	151985324	152002004	4	11996	29685.396	2883.972	325	MBNL1,LOC401093	MBNL1	LOC401093	LOC401093	1.2379	325	1
3_MACS_peak_23030_lociStitched	chr5	171601133	171616234	3	11151	41345.0279	2550.5589	326	STK10	EFCAB9	STK10	STK10	0.2523	326	1
1_MACS_peak_10674_lociStitched	chr16	79628832	79640739	1	11908	28988.7822	947.7972	327	MAF		MAF	MAF	1.5168	327	1
2_MACS_peak_14555_lociStitched	chr2	47204601	47215089	2	9442	55944.0408	2092.356	330	TTC7A	MCFD2	MCFD2	MCFD2	0.5296	330	1
3_MACS_peak_17202_lociStitched	chr20	61273070	61291004	3	11397	37184.3556	2537.661	333	SLCO4A1	NTSR1,LOC100127888	SLCO4A1	SLCO4A1	0.8711	333	1
2_MACS_peak_12921_lociStitched	chr19	1015282	1030085	2	11690	33216.4517	2936.9152	334	CNN2,C19orf6	WDR18,GRIN3B,ABCA7,HMHA1	C19orf6	ABCA7	1.0425	334	1
4_MACS_peak_13869_lociStitched	chr19	48880438	48902353	4	11738	32320.242	3037.419	336	GRIN2D,KDELR1	SYNGR4,GRWD1,TMEM143	KDELR1	KDELR1	1.4784	336	1
