GENE_ID	locusLine	bin_1_06_0EWS_0229Kronos_MM1S-KB-3hr-2_H3K18Ac_hs-dm_i13.bam
NM_030810	chr6(.):7876482-7916047	3.1734
NR_033910	chr6(.):10407550-10421402	0.9304
NM_001032280	chr6(.):10391915-10417607	0.6243
NM_001042425	chr6(.):10391915-10424797	0.5351
NR_027793	chr6(.):10423017-10440055	0.3379
NM_003220	chr6(.):10391915-10420470	0.6057
NM_032744	chr6(.):11708887-11784280	0.6209
NM_005319	chr6(.):26050967-26061699	1.2428
NM_003537	chr6(.):26026816-26037288	1.1876
NM_003544	chr6(.):26022123-26032480	0.9242
NM_021062	chr6(.):26038454-26048885	1.1353
NM_003531	chr6(.):26040638-26051097	1.1437
NM_005325	chr6(.):26012259-26023040	0.6244
NM_003538	chr6(.):26016906-26027278	1.0297
NM_003513	chr6(.):26028319-26038796	0.8991
NM_003529	chr6(.):26015717-26026186	0.7071
NM_021065	chr6(.):26194011-26204471	1.7327
NM_003530	chr6(.):26192011-26204464	1.4734
NM_138720	chr6(.):26153348-26176576	0.7684
NM_003523	chr6(.):26179023-26189458	0.5503
NM_003539	chr6(.):26183937-26194304	0.6173
NM_003545	chr6(.):26199872-26210249	1.1266
NM_005321	chr6(.):26151558-26162343	0.9108
NM_003522	chr6(.):26194786-26205216	2.0302
NM_003518	chr6(.):26211427-26221872	0.5505
NM_021052	chr6(.):26212147-26222711	0.5436
NM_003543	chr6(.):26280353-26290727	1.0427
NM_003532	chr6(.):26220382-26230844	0.5326
NM_003524	chr6(.):26246878-26257303	1.613
NM_003534	chr6(.):26266145-26276612	2.0605
NM_003547	chr6(.):26241838-26252205	1.43
NM_003540	chr6(.):26235653-26246021	0.1555
NM_021018	chr6(.):26245369-26255835	1.606
NM_005320	chr6(.):26229439-26240216	0.7272
NM_003525	chr6(.):26268203-26278640	2.0703
NM_001145008	chr6(.):26397464-26420444	0.265
NM_001197240	chr6(.):26378328-26400100	0.4061
NM_001197247	chr6(.):26360397-26383540	1.435
NM_001197238	chr6(.):26378323-26400100	0.4061
NM_007047	chr6(.):26360397-26383548	1.436
NM_001197237	chr6(.):26378438-26400100	0.4049
NM_001197248	chr6(.):26360469-26383540	1.4188
NM_001197246	chr6(.):26363405-26383540	0.6517
NM_021064	chr6(.):27095816-27106314	1.2581
NM_080593	chr6(.):27101071-27119637	0.9891
NM_080596	chr6(.):27109907-27120346	0.8501
NR_036096	chr6(.):27110404-27120467	0.8803
NM_021058	chr6(.):27095094-27105575	1.2605
NM_003495	chr6(.):27102087-27112457	0.6281
NM_021066	chr6(.):27777079-27787518	0.8611
NM_003536	chr6(.):27772841-27783314	1.323
NM_003509	chr6(.):27770976-27781445	0.9567
NM_003519	chr6(.):27770256-27780709	0.9431
NM_003521	chr6(.):27777821-27788267	0.8173
NM_003535	chr6(.):27853092-27863570	1.8084
NM_003527	chr6(.):27856202-27866669	1.8475
NM_003520	chr6(.):27801439-27811888	1.774
NM_003511	chr6(.):27828106-27838576	0.6517
NM_003533	chr6(.):27834622-27845099	0.2624
NM_003510	chr6(.):27800657-27811117	1.7788
NM_003541	chr6(.):27793951-27804305	0.5422
NM_005322	chr6(.):27829569-27840359	0.6817
NM_033057	chr6(.):27873962-27885174	0.0504
NM_021968	chr6(.):27786902-27797258	0.6022
NM_003514	chr6(.):27855476-27865963	1.844
NM_003546	chr6(.):27835925-27846289	0.1362
NM_003587	chr6(.):30615895-30645830	0.1002
NM_001031722	chr6(.):30589662-30619598	0.2507
NR_033823	chr6(.):30589612-30619598	0.2505
NM_001161376	chr6(.):30609815-30625987	0.3419
NM_002714	chr6(.):30563181-30590020	0.8589
NM_014046	chr6(.):30580485-30599174	1.2466
NM_133471	chr6(.):30639165-30660672	1.0829
NM_001134870	chr6(.):30639165-30660093	1.1092
NM_007243	chr6(.):30650825-30663769	1.1785
NR_030615	chr6(.):30547108-30557194	0.0408
NM_005803	chr6(.):30690510-30715453	0.2911
NM_003897	chr6(.):30705975-30717327	0.4149
NM_178014	chr6(.):30683156-30698195	1.5927
NM_007109	chr6(.):31121302-31136992	0.4317
NM_001173531	chr6(.):31127113-31139615	0.1815
NR_026791	chr6(.):31160536-31176745	1.2244
NM_019052	chr6(.):31105215-31131015	0.268
NM_001105563	chr6(.):31105215-31130566	0.2719
NR_026816	chr6(.):31136511-31150676	0.1275
NM_002701	chr6(.):31127113-31143451	0.1591
NM_004847	chr6(.):31577993-31589798	0.6833
NM_001623	chr6(.):31578032-31589798	0.6856
NM_032955	chr6(.):31578788-31589798	0.7274
NM_080702	chr6(.):31601804-31625477	0.4309
NM_001098534	chr6(.):31601804-31625170	0.4362
NM_021246	chr6(.):31678132-31690581	0.0914
NM_138275	chr6(.):31686160-31697851	0.6652
NR_033488	chr6(.):31649725-31675850	0.2432
NM_001320	chr6(.):31628656-31642843	0.6763
NM_013974	chr6(.):31689816-31703039	0.956
NM_025262	chr6(.):31639460-31653150	0.1494
NM_001288	chr6(.):31693357-31709341	2.4566
NM_019101	chr6(.):31618670-31630987	0.9819
NM_021184	chr6(.):31621074-31633549	0.8049
NM_001003693	chr6(.):31669683-31683372	0.4081
NM_021221	chr6(.):31633727-31645227	0.1456
NM_021160	chr6(.):31649725-31676137	0.2409
NR_002971	chr6(.):31585855-31595987	0.7022
NR_024541	chr6(.):31674752-31686842	0.0869
NM_080686	chr6(.):31583449-31610554	0.3081
NM_025261	chr6(.):31681424-31694510	0.0937
NM_033177	chr6(.):31624005-31638179	0.8206
NM_001199240	chr6(.):31624005-31638407	0.8088
NM_001199238	chr6(.):31624005-31638639	0.799
NM_001199237	chr6(.):31624005-31639060	0.7787
NM_001039651	chr6(.):31725772-31737624	0.1297
NM_025258	chr6(.):31728370-31750108	0.4356
NR_002742	chr6(.):31799852-31809916	1.0513
NM_000434	chr6(.):31821828-31835709	0.3542
NM_021177	chr6(.):31760173-31779743	0.6858
NR_002745	chr6(.):31798039-31808103	1.0983
NM_001178045	chr6(.):31825969-31850448	0.242
NM_001040438	chr6(.):31797692-31812541	0.7716
NM_005345	chr6(.):31778290-31790719	0.7669
NM_005527	chr6(.):31772395-31787835	0.3859
NM_001178044	chr6(.):31825969-31851823	0.2317
NM_006295	chr6(.):31740296-31768712	0.8175
NM_005346	chr6(.):31790511-31803031	1.0693
NM_006120	chr6(.):32911390-32925899	0.28
NM_002119	chr6(.):32966959-32982389	0.0613
NM_002118	chr6(.):32897405-32913847	0.2483
NM_005104	chr6(.):32931436-32954282	2.1471
NM_001113182	chr6(.):32933664-32954282	2.3669
NM_001199455	chr6(.):32934371-32954282	2.4481
NM_001199456	chr6(.):32935860-32954282	2.5648
NM_001188	chr6(.):33535322-33553070	0.8734
NM_002224	chr6(.):33584155-33669348	0.1545
NM_002648	chr6(.):37132921-37148204	1.0617
NM_000322	chr6(.):42659332-42695358	0.1128
NM_003192	chr6(.):42707233-42718884	0.5875
NR_037141	chr6(.):42690313-42700932	0.1727
NM_015349	chr6(.):42783793-42841296	0.0683
NM_001402	chr6(.):74220472-74235755	1.5519
NM_002043	chr6(.):89962238-90029967	0.2333
NM_182907	chr6(.):106541814-106562811	3.4849
NM_001198	chr6(.):106529194-106562814	3.5422
NM_001145207	chr6(.):135351994-135381036	0.2005
NM_006620	chr6(.):135276516-135381036	0.319
NR_037435	chr6(.):135295475-135305570	0.0708
NM_006290	chr6(.):138183580-138209449	1.0112
NR_037463	chr6(.):157945163-157955232	0.0447
NM_001259	chr7(.):92229234-92468231	0.3064
NM_001145306	chr7(.):92229234-92470941	0.3037
NM_030796	chr7(.):55533305-55645200	1.5275
NM_012301	chr7(.):77641373-79087890	0.1117
NR_033766	chr7(.):113721364-114338827	0.1307
NM_001145354	chr7(.):130789854-131186398	0.2273
NM_001164458	chr7(.):149939300-150025758	0.2915
NM_182762	chr7(.):20169278-20262013	0.5331
NM_002214	chr7(.):20365724-20460382	0.4645
NM_002541	chr7(.):44641120-44753669	0.4163
NM_001003941	chr7(.):44641120-44721195	0.5616
NM_022748	chr7(.):47309751-47584199	0.2356
NM_006060	chr7(.):50339377-50477798	0.2657
NM_012395	chr7(.):90333711-90844904	0.2012
NM_017984	chr7(.):99993494-100031302	0.5841
NM_017621	chr7(.):102091666-102110321	0.4864
NM_182931	chr7(.):104649636-104759532	0.4612
NM_022444	chr7(.):122748587-122845025	0.3287
NM_001098627	chr7(.):128575771-128595088	1.1948
NM_001098630	chr7(.):128572993-128595088	1.2522
NM_032643	chr7(.):128573270-128595088	1.2052
NM_003344	chr7(.):129467994-129597789	0.2529
NR_015431	chr7(.):130623918-130798562	0.3251
NR_024153	chr7(.):130623918-130796789	0.3261
NM_014149	chr7(.):134863589-134901316	0.1604
NM_001166254	chr7(.):139473046-139725125	0.3067
NR_029394	chr7(.):139523951-139725125	0.2722
NM_173680	chr7(.):150071405-150100719	2.1542
NM_013321	chr7(.):2286404-2359099	0.0663
NM_003751	chr7(.):2389473-2425377	0.7625
NM_018641	chr7(.):2438258-2479216	0.4118
NR_029597	chr7(.):25984538-25994606	1.7812
NM_019082	chr7(.):44600402-44619137	0.1803
NM_182547	chr7(.):44613761-44626827	0.506
NM_001123065	chr7(.):47689841-47706246	0.1506
NM_001163636	chr7(.):74067029-74180022	0.177
NM_013439	chr7(.):99966067-100002722	0.2233
NM_173564	chr7(.):100076549-100097422	0.1392
NM_030935	chr7(.):100059141-100081902	0.1744
NM_145030	chr7(.):100027911-100039094	0.4033
NM_019606	chr7(.):100022253-100036749	1.3307
NM_001194992	chr7(.):100021412-100036749	1.2687
NM_001004323	chr7(.):100049237-100066894	0.061
NM_020979	chr7(.):101923404-101967178	0.8764
NR_036245	chr7(.):101931368-101941453	0.7492
NM_032831	chr7(.):102068995-102102268	1.9532
NM_024653	chr7(.):102031803-102072129	1.359
NM_001146210	chr7(.):101981191-102001889	0.1556
NM_006234	chr7(.):102108547-102124381	0.2385
NM_152892	chr7(.):102100389-102118612	0.3051
NR_027374	chr7(.):104530074-104572092	0.354
NR_024586	chr7(.):104645988-104659588	3.0525
NM_002649	chr7(.):106500923-106552592	0.903
NM_001166346	chr7(.):114557208-114568720	1.9632
NM_199072	chr7(.):114557208-114664970	0.6813
NM_001024613	chr7(.):121936447-121949565	0.7794
NR_036484	chr7(.):121938711-121955131	1.5173
NM_199349	chr7(.):128525000-128555773	0.1542
NM_018295	chr7(.):134827765-134855967	1.231
NR_024185	chr7(.):134845531-134860532	1.5226
NM_002769	chr7(.):142452318-142465927	0.1494
NM_004445	chr7(.):142547791-142573847	0.1651
NM_002770	chr7(.):142474907-142486378	0.1677
NR_001296	chr7(.):142473756-142487399	0.1582
NM_013400	chr7(.):150060878-150076133	3.6608
NM_014374	chr7(.):150063257-150076133	4.2076
NM_001142928	chr7(.):150015295-150040245	0.7409
NM_002889	chr7(.):150030406-150043763	0.0829
NM_138434	chr7(.):150021937-150034811	0.103
NR_027237	chr7(.):150097839-150114558	2.8253
NM_175571	chr7(.):150142961-150181483	0.108
NR_034033	chr7(.):150125741-150150228	1.058
NM_080838	chr8(.):134198311-134245053	0.5134
NM_004103	chr8(.):27163998-27321903	0.5328
NM_173176	chr8(.):27178053-27321903	0.5433
NM_173175	chr8(.):27178080-27321903	0.5434
NM_001386	chr8(.):26430420-26520693	0.2505
NM_001197293	chr8(.):26366708-26520693	0.2295
NM_001010906	chr8(.):27874480-27946388	0.4241
NM_024787	chr8(.):33400272-33429643	0.8341
NR_033651	chr8(.):72751350-72973547	0.1667
NR_033652	chr8(.):72750357-72973547	0.1661
NM_024094	chr8(.):120841180-120873170	0.2198
NM_022783	chr8(.):120880899-121068157	0.4584
NM_173685	chr8(.):126099082-126384367	0.3188
NM_003033	chr8(.):134462090-134589183	0.4802
NM_003970	chr8(.):1988157-2098380	0.9062
NM_171982	chr8(.):27137403-27173834	0.198
NM_018091	chr8(.):27945583-28053669	0.0978
NM_057158	chr8(.):29188616-29211322	0.8961
NM_001394	chr8(.):29188619-29213185	0.8349
NR_026765	chr8(.):29573775-29610625	0.5545
NM_025115	chr8(.):33351235-33375656	0.3018
NM_001102401	chr8(.):33351235-33375703	0.3013
NM_024025	chr8(.):33443853-33462439	0.1304
NM_031415	chr8(.):130755441-130804134	0.4626
NM_201378	chr8(.):144984320-145052697	0.4477
NM_032789	chr8(.):145046319-145065635	0.4842
NM_000445	chr8(.):144984320-145055913	0.4482
NM_201381	chr8(.):144984320-145023905	0.5517
NM_201382	chr8(.):144984320-145023110	0.5548
NM_201383	chr8(.):144984320-145021692	0.5555
NM_201379	chr8(.):144984320-145033088	0.5279
NM_001009184	chr8(.):145059225-145072583	0.3282
NM_201384	chr8(.):144984320-145018758	0.5938
NR_030383	chr8(.):145014358-145024447	0.9713
NM_201380	chr8(.):144984320-145030044	0.5595
NM_002839	chr9(.):8309245-10617723	0.0748
NM_022490	chr9(.):37480944-37508693	0.175
NM_001206	chr9(.):72994512-73034573	0.288
NM_053016	chr9(.):112537576-112718756	0.2853
NM_001037293	chr9(.):112398067-112718756	0.1875
NM_007203	chr9(.):112537576-112939791	0.3432
NM_001004065	chr9(.):112805877-112939791	0.5031
NM_015404	chr9(.):117159359-117272736	0.4771
NM_001083885	chr9(.):117159359-117270495	0.4841
NM_005047	chr9(.):123573331-123610206	0.2277
NM_015033	chr9(.):132644465-132810473	0.2761
NM_012166	chr9(.):37505888-37581250	0.4665
NR_033912	chr9(.):93820575-93842414	0.1282
NM_005384	chr9(.):94166326-94191144	0.821
NM_001012993	chr9(.):112956845-112975413	0.0952
NM_001136562	chr9(.):112882780-112939791	0.7428
NM_000608	chr9(.):117087068-117100536	0.0748
NM_030767	chr9(.):117091432-117161685	0.6473
NM_000607	chr9(.):117080302-117093759	0.0762
NM_005658	chr9(.):123659670-123694173	0.5427
NM_015651	chr9(.):123612930-123644606	0.7401
NM_001190945	chr9(.):123659670-123696451	0.5794
NM_001190947	chr9(.):123659670-123681850	0.3703
NM_001009936	chr9(.):123626852-123644606	1.2526
NR_024408	chr9(.):123600319-123621651	0.3392
NM_173689	chr9(.):126113447-126146032	0.0789
NR_024425	chr9(.):130885807-130897913	0.527
NR_027812	chr9(.):130877971-130895712	0.3963
NM_001006641	chr9(.):130825478-130876524	0.4787
NM_197956	chr9(.):130818511-130834599	0.6652
NM_001006643	chr9(.):130855835-130876524	0.094
NM_001006642	chr9(.):130849127-130876524	0.0942
NM_052901	chr9(.):130855816-130876524	0.0944
NM_025072	chr9(.):130877971-130895474	0.3992
NR_033374	chr9(.):130868449-130886013	0.1061
NM_016520	chr9(.):132584563-132602572	0.2555
NM_006676	chr9(.):132592695-132649107	0.2429
NM_001008563	chr9(.):132592756-132649107	0.2431
NM_032728	chr9(.):134160080-134189649	0.0976
NM_033387	chr9(.):134128464-134156906	0.9191
NM_178536	chr9(.):139841767-139854949	0.2383
NM_153200	chr9(.):139752232-139765738	0.1543
NM_000606	chr9(.):139834697-139846426	0.5415
NM_021138	chr9(.):139775964-139826067	0.7862
NM_018998	chr9(.):139829886-139844173	0.2851
NM_206920	chr9(.):139741818-139760251	0.3018
NM_014172	chr9(.):139738255-139750490	0.4072
NM_015691	chrX(.):9978794-10117518	0.247
NM_001001671	chrX(.):19373175-19538379	0.4504
NM_001123384	chrX(.):39905498-40041582	0.3109
NM_144495	chrX(.):48750194-48765420	0.2489
NM_001167990	chrX(.):48750212-48765420	0.2491
NM_001032384	chrX(.):48750538-48765420	0.2539
NM_001167992	chrX(.):48750774-48765420	0.2568
NM_001104544	chrX(.):119387504-119450391	0.4352
NM_005334	chrX(.):153208007-153241819	0.5694
NM_001830	chrX(.):10119984-10210699	0.0404
NM_001167947	chrX(.):48745729-48760426	0.3346
NM_001042498	chrX(.):48755888-48774235	0.2662
NM_001136158	chrX(.):48774302-48819893	1.2401
NM_001136159	chrX(.):48774302-48820648	1.2206
NM_006875	chrX(.):48765458-48781413	0.8203
NM_004979	chrX(.):48813638-48833251	0.2153
NM_005660	chrX(.):48755458-48773917	0.2705
NM_001032289	chrX(.):48755889-48773933	0.2524
NM_006777	chrX(.):119379606-119397251	0.1836
NM_001184742	chrX(.):119379609-119397251	0.1836
NM_003399	chrX(.):128867945-128908525	0.3235
NM_018990	chrX(.):128908891-128934176	0.6269
NM_006359	chrX(.):135062585-135134428	0.2979
NM_001177651	chrX(.):135062582-135134428	0.2979
NM_003491	chrX(.):153190376-153205468	1.105
NM_001666	chrX(.):153167829-153196714	0.6093
NM_002910	chrX(.):153195721-153215232	0.1588
NM_001025243	chrX(.):153270956-153290342	0.409
NM_003492	chrX(.):153232990-153253646	1.0768
NR_031757	chrX(.):153280370-153290440	0.5127
NR_036175	chrX(.):153241548-153251627	0.4493
NR_036174	chrX(.):153241547-153251628	0.4494
NM_015892	chr10(.):125762181-125856930	0.9328
NM_014863	chr10(.):125774168-125856930	1.0592
NM_001083591	chr10(.):11201992-11383672	1.0584
NM_001025077	chr10(.):11042258-11383672	0.6183
NM_006561	chr10(.):11054892-11383672	0.6402
NM_024948	chr10(.):15815174-15907519	0.4855
NR_033842	chr10(.):45301471-45460137	0.3635
NM_032023	chr10(.):45450218-45495172	0.606
NM_000698	chr10(.):45864628-45946563	0.6749
NM_032199	chr10(.):63656012-63861707	0.345
NM_001198798	chr10(.):73851273-73980751	0.1169
NM_001198799	chr10(.):73851273-73981183	0.1168
NM_020338	chr10(.):80823791-81081285	0.2752
NM_145868	chr10(.):81909879-81970328	0.5726
NM_001134363	chr10(.):112399154-112604227	0.2558
NM_007373	chr10(.):112674300-112778425	0.1191
NM_005308	chr10(.):120962196-121220131	0.1686
NR_027653	chr10(.):3813187-3832473	1.3418
NM_025209	chr10(.):32552858-32641113	0.2885
NM_001098207	chr10(.):43876064-43897794	0.5449
NM_004966	chr10(.):43876064-43909656	0.7543
NM_173160	chr10(.):43862091-43876783	0.0563
NM_001098204	chr10(.):43876064-43909696	0.7534
NM_001098208	chr10(.):43876064-43897279	0.5555
NM_001098205	chr10(.):43876064-43909332	0.7611
NM_001098206	chr10(.):43876064-43908299	0.7838
NR_026693	chr10(.):43927573-43983007	0.2828
NM_001123376	chr10(.):45401763-45435642	0.1451
NM_007021	chr10(.):45466708-45479330	0.5153
NM_001039380	chr10(.):45488145-45501470	0.6208
NM_006963	chr10(.):45491272-45505777	0.559
NM_173473	chr10(.):73970805-74000618	0.205
NM_019058	chr10(.):74028676-74040797	0.3772
NM_001114094	chr10(.):97946454-98036333	0.3187
NM_001017520	chr10(.):98059084-98103321	0.0887
NM_030912	chr10(.):104399251-104423076	1.0527
NM_001083913	chr10(.):104498726-104581021	0.532
NM_017787	chr10(.):104530887-104581021	0.7331
NR_024552	chr10(.):105201542-105217162	0.3307
NM_001129742	chr10(.):105227560-105243997	1.2227
NM_001001412	chr10(.):105208143-105223648	0.4549
NM_004210	chr10(.):105248734-105357309	0.3348
NM_005871	chr10(.):112047797-112069707	0.2117
NM_004419	chr10(.):112252624-112276302	1.0993
NM_145341	chr10(.):112626595-112664764	0.3462
NM_001195307	chr10(.):112653487-112684124	0.2853
NM_001195306	chr10(.):112653487-112683694	0.2865
NR_026932	chr10(.):112623647-112635662	1.8679
NM_001111018	chr11(.):19367270-20148147	0.1943
NM_006819	chr11(.):63948586-63977020	0.4445
NM_001098517	chr11(.):115039344-115380241	0.352
NM_030962	chr11(.):9795213-10320754	0.0714
NM_001143830	chr11(.):22683159-22839547	0.7154
NM_177553	chr11(.):22684653-22839547	0.7176
NM_005256	chr11(.):22691318-22839547	0.4013
NM_004811	chr11(.):58289343-58348390	0.9308
NM_001143995	chr11(.):58289343-58350639	0.9007
NM_206893	chr11(.):60547820-60573778	0.0625
NM_024092	chr11(.):60676370-60695915	0.863
NM_001077241	chr11(.):65137662-65155142	0.772
NR_002819	chr11(.):65260232-65278939	2.6111
NM_030930	chr11(.):67753574-67776593	0.789
NM_006645	chr11(.):72460773-72509750	0.2028
NM_014824	chr11(.):72542789-72858143	0.1707
NM_176796	chr11(.):72970569-73013850	0.8016
NM_176798	chr11(.):72975938-73013850	0.8992
NM_004154	chr11(.):72978246-73014664	0.9174
NM_014488	chr11(.):82687477-82787884	0.6927
NM_032427	chr11(.):95706439-96081344	0.2199
NM_001166	chr11(.):102212965-102254401	0.227
NM_004397	chr11(.):118613472-118666972	0.3966
NM_024556	chr11(.):126076618-126137879	0.0914
NR_033839	chr11(.):126206611-126230482	0.1438
NM_002017	chr11(.):128558812-128688162	0.661
NM_001167681	chr11(.):128557388-128688162	0.6543
NM_012239	chr11(.):210029-241362	0.1739
NM_002817	chr11(.):231807-257984	0.1953
NM_138329	chr11(.):273569-290304	0.0999
NM_006435	chr11(.):303106-314410	0.1272
NM_025092	chr11(.):284137-300688	0.1048
NM_003641	chr11(.):308990-320272	0.1512
NM_001025295	chr11(.):293202-304526	0.0704
NM_021034	chr11(.):314672-325914	0.0903
NM_001124	chr11(.):10321641-10333923	2.6387
NM_022725	chr11(.):22639078-22652387	0.574
NM_000610	chr11(.):35155416-35258949	0.4966
NM_000614	chr11(.):58385145-58398205	0.1903
NR_024091	chr11(.):58341586-58398205	0.8975
NM_053023	chr11(.):58341586-58394023	0.9537
NM_004778	chr11(.):60613397-60628444	0.1029
NM_207341	chr11(.):60630014-60648164	0.8399
NM_024098	chr11(.):60604428-60623561	1.2811
NM_014502	chr11(.):60653019-60679061	0.4191
NM_016582	chr11(.):60699554-60724257	0.1444
NM_178031	chr11(.):60686912-60709631	0.0942
NM_004470	chr11(.):64003412-64016607	1.0541
NM_000932	chr11(.):64013994-64041924	0.4091
NM_005528	chr11(.):63992752-64006753	0.6415
NM_001160390	chr11(.):63986270-63998726	0.5992
NM_032344	chr11(.):63988737-64002488	0.6004
NM_004322	chr11(.):64032299-64057176	0.6288
NM_178443	chr11(.):63969151-63996363	0.3925
NM_057092	chr11(.):64004587-64016607	1.1475
NM_033310	chr11(.):64053792-64072503	0.5948
NM_003377	chr11(.):63997265-64011259	0.978
NM_020155	chr11(.):64048581-64061972	0.5801
NM_001135208	chr11(.):64003603-64016607	1.0679
NM_001039496	chr11(.):64062862-64077239	0.9214
NM_001170726	chr11(.):64046810-64061972	0.52
NM_001160393	chr11(.):63986270-63998341	0.5577
NM_001170881	chr11(.):64047284-64061972	0.5361
NM_001177358	chr11(.):64047282-64061972	0.536
NM_138689	chr11(.):64006950-64019413	1.1286
NR_028272	chr11(.):65185268-65199003	7.9487
NR_030343	chr11(.):65206928-65217028	0.4128
NM_031904	chr11(.):65149040-65185995	0.9411
NM_021070	chr11(.):65301029-65330699	0.3135
NM_001048218	chr11(.):65287547-65311182	0.2658
NM_001161473	chr11(.):67771047-67801743	0.7129
NM_006053	chr11(.):67805446-67823366	0.4471
NM_006019	chr11(.):67801482-67823366	0.3794
NM_002496	chr11(.):67793083-67809114	0.8204
NM_000694	chr11(.):67772789-67801743	0.6991
NM_003824	chr11(.):70044268-70058508	0.4469
NM_033388	chr11(.):72520450-72545680	1.1387
NM_002564	chr11(.):72924343-72952395	0.1722
NM_176071	chr11(.):72924501-72952395	0.1724
NM_014786	chr11(.):73014662-73085425	0.1682
NR_033347	chr11(.):82747505-82757640	0.1263
NR_036125	chr11(.):96069601-96079690	1.9947
NM_024725	chr11(.):96080928-96128083	0.1199
NM_003772	chr11(.):96118157-96131727	0.261
NM_001165	chr11(.):102183193-102213465	0.7609
NM_006235	chr11(.):111217980-111255157	1.3323
NR_026691	chr11(.):117852105-117877199	0.792
NM_000190	chr11(.):118950586-118969259	0.4634
NM_002105	chr11(.):118959584-118971177	0.536
NM_001024382	chr11(.):118953696-118969259	0.5495
NM_001130991	chr11(.):118909895-118932925	0.2413
NM_015517	chr11(.):118987287-119010765	0.1634
NM_006389	chr11(.):118909895-118932916	0.2414
NM_014807	chr11(.):118973092-118992827	0.4955
NM_021729	chr11(.):118933492-118957688	0.2146
NM_001382	chr11(.):118962212-118977785	1.0628
NM_001142505	chr11(.):119015298-119038374	0.0901
NM_022169	chr11(.):119014749-119038374	0.0902
NR_027288	chr11(.):122883273-122895319	0.0976
NM_006597	chr11(.):122923199-122937844	1.5673
NM_032795	chr11(.):126066988-126086587	0.4602
NM_017547	chr11(.):126134054-126153027	0.3014
NM_014026	chr11(.):126168646-126220644	0.4219
NM_148910	chr11(.):126147981-126168071	0.3443
NM_001177842	chr11(.):126127813-126143877	0.2716
NM_006278	chr11(.):126221095-126289533	0.0993
NM_003658	chr11(.):129240880-129327174	0.4833
NR_024233	chr11(.):129867518-129880381	1.9065
NM_199437	chr11(.):129764600-129877730	0.2851
NM_014325	chr12(.):109033886-109130295	0.4354
NM_152641	chr12(.):46118619-46306819	0.1778
NM_002392	chr12(.):69196970-69244212	0.5258
NM_020375	chr12(.):4425358-4474190	0.092
NM_018173	chr12(.):6414601-6442672	0.1872
NM_007273	chr12(.):7069516-7084891	0.6582
NR_015382	chr12(.):6543166-6565683	0.981
NM_001144857	chr12(.):6416816-6442672	0.1943
NM_001144856	chr12(.):6415098-6442672	0.19
NM_001144831	chr12(.):7069514-7084916	0.6595
NM_001987	chr12(.):11797787-12053325	0.3702
NM_031289	chr12(.):13232041-13253709	0.6759
NM_006143	chr12(.):12808994-12854121	0.4197
NM_001080555	chr12(.):13232041-13261619	0.7769
NM_152321	chr12(.):15061975-15096463	0.0774
NM_001033873	chr12(.):51634132-51668994	0.0804
NM_001031628	chr12(.):51634132-51669202	0.0811
NM_001128914	chr12(.):53840885-53879946	0.733
NM_000966	chr12(.):53599352-53631036	1.1222
NM_001042728	chr12(.):53599352-53619150	1.6092
NM_013449	chr12(.):56984379-57035163	0.2683
NM_005761	chr12(.):94537498-94704225	0.644
NM_020244	chr12(.):102086416-102127846	0.2253
NM_003299	chr12(.):104319188-104346703	1.233
NM_014706	chr12(.):108910990-108960165	0.6619
NM_018984	chr12(.):109171465-109256359	0.4192
NM_003959	chr12(.):123315038-123352507	0.0659
NM_001082959	chr12(.):125257173-125353519	0.0811
NM_001759	chr12(.):4377901-4419522	0.8115
NM_002342	chr12(.):6488356-6505732	0.0951
NM_001159576	chr12(.):6451008-6489390	0.6563
NM_001065	chr12(.):6432922-6456283	0.7943
NM_001038	chr12(.):6451008-6489905	0.6483
NM_001159575	chr12(.):6451008-6491523	0.6246
NM_014231	chr12(.):6566403-6584843	0.6302
NM_001193457	chr12(.):6643693-6670249	0.4109
NM_006170	chr12(.):6661036-6682480	0.2183
NM_002046	chr12(.):6638656-6652536	1.4074
NM_001242	chr12(.):6549050-6565884	1.2921
NM_014865	chr12(.):6598297-6646132	0.6273
NM_016497	chr12(.):6596315-6607471	0.8526
NR_004387	chr12(.):6614387-6624717	0.0536
NM_018009	chr12(.):6556176-6576488	1.3035
NR_003012	chr12(.):6685638-6695775	0.0563
NM_001975	chr12(.):7018613-7037859	0.9712
NM_002831	chr12(.):7055433-7075479	1.538
NR_029779	chr12(.):7067861-7077929	1.3745
NM_080548	chr12(.):7050739-7075479	1.665
NM_001007026	chr12(.):7028625-7056484	1.0847
NM_006992	chr12(.):7008896-7028406	0.4543
NM_001940	chr12(.):7032479-7056484	0.977
NR_003010	chr12(.):7071499-7081769	0.6079
NM_138425	chr12(.):7048202-7060165	1.3332
NR_029682	chr12(.):7068259-7078354	1.0747
NM_005768	chr12(.):7080346-7130842	0.1269
NM_006331	chr12(.):7074943-7090165	0.4441
NR_033399	chr12(.):9565286-9605768	0.6449
NM_004064	chr12(.):12865301-12880305	5.6638
NR_030344	chr12(.):12912582-12922677	0.0641
NM_001130415	chr12(.):12873850-12949399	0.6392
NM_020853	chr12(.):13192314-13241383	0.2033
NM_006205	chr12(.):15120955-15139799	0.1295
NM_001175	chr12(.):15089949-15119562	0.9515
NM_030762	chr12(.):26267958-26283003	2.5436
NM_005086	chr12(.):26343505-26392708	0.0932
