GENE_ID	locusLine	bin_1_23_0F29_0229Kronos_MM1S-KB-1hr-1_H3K27me3_hs-dm_i05.bam
1_MACS_peak_4873_lociStitched	chr10(.):125666094-125666637	0.6244
1_MACS_peak_4874_lociStitched	chr10(.):125727702-125728380	0.8226
1_MACS_peak_4875_lociStitched	chr10(.):125732156-125732586	0.648
1_MACS_peak_4876_lociStitched	chr10(.):125753150-125754392	0.8966
2_MACS_peak_4877_lociStitched	chr10(.):126066971-126069456	0.8238
1_MACS_peak_4879_lociStitched	chr10(.):126136184-126140040	1.7181
1_MACS_peak_4880_lociStitched	chr10(.):126254194-126254721	0.6345
1_MACS_peak_4881_lociStitched	chr10(.):126255876-126256331	0.8739
1_MACS_peak_4882_lociStitched	chr10(.):126264066-126264493	0.5072
1_MACS_peak_4883_lociStitched	chr10(.):126281061-126281742	0.6078
1_MACS_peak_4884_lociStitched	chr10(.):126554337-126554764	0.7706
1_MACS_peak_4885_lociStitched	chr10(.):126683023-126683380	0.6615
7_MACS_peak_4886_lociStitched	chr10(.):126686427-126700568	0.9474
3_MACS_peak_4893_lociStitched	chr10(.):126701709-126707605	0.9037
2_MACS_peak_4896_lociStitched	chr10(.):126710401-126717541	0.9954
3_MACS_peak_4898_lociStitched	chr10(.):126718653-126721887	0.6971
2_MACS_peak_4901_lociStitched	chr10(.):126727288-126729055	0.6636
1_MACS_peak_4903_lociStitched	chr10(.):126730827-126732387	0.8045
1_MACS_peak_4904_lociStitched	chr10(.):126736861-126752540	1.2056
13_MACS_peak_4905_lociStitched	chr10(.):126753602-126777481	0.9039
2_MACS_peak_4918_lociStitched	chr10(.):126782653-126784208	0.7639
1_MACS_peak_4920_lociStitched	chr10(.):126791414-126792359	0.885
2_MACS_peak_4921_lociStitched	chr10(.):126804265-126805858	0.4556
1_MACS_peak_4923_lociStitched	chr10(.):126807314-126807765	0.8169
1_MACS_peak_4924_lociStitched	chr10(.):126809333-126809848	0.6633
1_MACS_peak_4925_lociStitched	chr10(.):126814702-126815527	0.8262
2_MACS_peak_4926_lociStitched	chr10(.):126818044-126820256	0.8627
3_MACS_peak_4928_lociStitched	chr10(.):126825297-126828112	0.7021
3_MACS_peak_4931_lociStitched	chr10(.):126830171-126833026	0.7139
2_MACS_peak_4934_lociStitched	chr10(.):126836415-126838923	0.7463
2_MACS_peak_4936_lociStitched	chr10(.):126841336-126842653	0.7742
1_MACS_peak_4938_lociStitched	chr10(.):126846894-126847839	1.0649
1_MACS_peak_4939_lociStitched	chr10(.):126853698-126854091	0.7036
1_MACS_peak_4940_lociStitched	chr10(.):126896832-126897635	0.7574
1_MACS_peak_4941_lociStitched	chr10(.):126908576-126909293	0.7531
1_MACS_peak_4942_lociStitched	chr10(.):126955411-126956189	0.8502
1_MACS_peak_4943_lociStitched	chr10(.):127584724-127586236	1.0073
1_MACS_peak_4944_lociStitched	chr10(.):127754684-127755103	1.0724
1_MACS_peak_4945_lociStitched	chr10(.):128973488-128974281	0.7067
1_MACS_peak_4946_lociStitched	chr10(.):129705864-129706592	1.0231
1_MACS_peak_4947_lociStitched	chr10(.):129808024-129808446	0.5618
1_MACS_peak_4948_lociStitched	chr10(.):130085836-130086223	0.5947
2_MACS_peak_4949_lociStitched	chr10(.):130227675-130229565	0.7273
2_MACS_peak_4951_lociStitched	chr10(.):130261931-130264105	0.8769
1_MACS_peak_4953_lociStitched	chr10(.):130279326-130280670	0.8375
1_MACS_peak_4954_lociStitched	chr10(.):130338715-130339132	0.5605
1_MACS_peak_4955_lociStitched	chr10(.):130371540-130371975	0.4816
1_MACS_peak_4956_lociStitched	chr10(.):130731698-130732071	0.4793
1_MACS_peak_4957_lociStitched	chr10(.):131590270-131590784	0.5583
1_MACS_peak_4958_lociStitched	chr10(.):131742595-131743075	0.524
1_MACS_peak_4959_lociStitched	chr10(.):131747749-131748146	0.4275
1_MACS_peak_4960_lociStitched	chr10(.):131768627-131769254	0.7854
1_MACS_peak_4961_lociStitched	chr10(.):131837210-131837692	0.6082
2_MACS_peak_4962_lociStitched	chr10(.):131848165-131849399	0.7448
5_MACS_peak_4964_lociStitched	chr10(.):131999092-132003343	0.5956
1_MACS_peak_4969_lociStitched	chr10(.):132019835-132020743	0.682
1_MACS_peak_4970_lociStitched	chr10(.):132583891-132584674	0.4541
1_MACS_peak_4971_lociStitched	chr10(.):133251323-133252022	0.6366
2_MACS_peak_4972_lociStitched	chr10(.):133476467-133477949	0.6511
1_MACS_peak_4974_lociStitched	chr10(.):133676588-133677138	0.6876
1_MACS_peak_4975_lociStitched	chr10(.):133800305-133800695	0.5641
1_MACS_peak_4976_lociStitched	chr10(.):133812303-133812800	0.5234
1_MACS_peak_4977_lociStitched	chr10(.):133816840-133817605	0.7267
1_MACS_peak_4978_lociStitched	chr10(.):133827465-133827996	0.6812
1_MACS_peak_4979_lociStitched	chr10(.):133840245-133840741	0.6391
1_MACS_peak_4980_lociStitched	chr10(.):133848768-133849205	0.671
1_MACS_peak_4981_lociStitched	chr10(.):133851096-133851583	0.6923
1_MACS_peak_4982_lociStitched	chr10(.):133871873-133872326	0.8126
3_MACS_peak_4983_lociStitched	chr10(.):133876378-133881494	0.8183
3_MACS_peak_4986_lociStitched	chr10(.):133913945-133915945	0.6622
1_MACS_peak_4989_lociStitched	chr10(.):133917460-133917970	0.6559
1_MACS_peak_4990_lociStitched	chr10(.):133924089-133924691	0.7699
2_MACS_peak_4991_lociStitched	chr10(.):133928838-133931277	0.6102
4_MACS_peak_4993_lociStitched	chr10(.):133944015-133948604	0.8042
1_MACS_peak_4997_lociStitched	chr10(.):133950813-133951330	0.6326
1_MACS_peak_4998_lociStitched	chr10(.):133953462-133955453	0.7268
2_MACS_peak_4999_lociStitched	chr10(.):133957048-133959522	0.8942
1_MACS_peak_5001_lociStitched	chr10(.):133981035-133985125	0.8951
2_MACS_peak_5002_lociStitched	chr10(.):134001642-134003453	0.7436
2_MACS_peak_5004_lociStitched	chr10(.):134009687-134016172	0.8545
2_MACS_peak_5006_lociStitched	chr10(.):134114714-134116743	0.5518
1_MACS_peak_5008_lociStitched	chr10(.):134168310-134168810	0.6607
4_MACS_peak_5009_lociStitched	chr10(.):134183895-134190950	0.9686
3_MACS_peak_5013_lociStitched	chr10(.):134191994-134198638	0.8482
1_MACS_peak_5016_lociStitched	chr10(.):134199792-134200398	0.6327
1_MACS_peak_5017_lociStitched	chr10(.):134204165-134204611	0.5298
4_MACS_peak_5018_lociStitched	chr10(.):134206859-134213853	0.8491
1_MACS_peak_5022_lociStitched	chr10(.):134231392-134231798	0.686
1_MACS_peak_5023_lociStitched	chr10(.):134235024-134235665	0.6469
4_MACS_peak_5024_lociStitched	chr10(.):134267574-134270851	0.7835
2_MACS_peak_5028_lociStitched	chr10(.):134272311-134281243	1.2494
2_MACS_peak_5030_lociStitched	chr10(.):134282616-134286311	0.7767
1_MACS_peak_5032_lociStitched	chr10(.):134290514-134292224	0.8341
1_MACS_peak_5033_lociStitched	chr10(.):134296346-134296912	0.6309
3_MACS_peak_5034_lociStitched	chr10(.):134299257-134303259	0.9437
2_MACS_peak_5037_lociStitched	chr10(.):134305731-134307411	0.7979
1_MACS_peak_5039_lociStitched	chr10(.):134309788-134312025	0.9448
3_MACS_peak_5040_lociStitched	chr10(.):134314354-134316957	0.7103
1_MACS_peak_5043_lociStitched	chr10(.):134318302-134318704	0.7154
1_MACS_peak_5044_lociStitched	chr10(.):134322075-134324017	0.9783
3_MACS_peak_5045_lociStitched	chr10(.):134330160-134338916	0.9144
2_MACS_peak_5048_lociStitched	chr10(.):134340236-134342190	0.7692
1_MACS_peak_5050_lociStitched	chr10(.):134454097-134454514	0.6746
1_MACS_peak_5051_lociStitched	chr10(.):134467624-134468175	0.5824
1_MACS_peak_5052_lociStitched	chr10(.):134470111-134471193	0.6795
1_MACS_peak_5053_lociStitched	chr10(.):134542222-134542588	0.719
1_MACS_peak_5054_lociStitched	chr10(.):134562306-134562755	0.6047
5_MACS_peak_5055_lociStitched	chr10(.):134609744-134615069	0.685
1_MACS_peak_5060_lociStitched	chr10(.):134618369-134618852	0.6817
2_MACS_peak_5061_lociStitched	chr10(.):134620661-134623458	0.851
2_MACS_peak_5063_lociStitched	chr10(.):134628825-134631892	0.8448
3_MACS_peak_5065_lociStitched	chr10(.):134660204-134666032	0.87
2_MACS_peak_5068_lociStitched	chr10(.):134672820-134676843	0.9024
3_MACS_peak_5070_lociStitched	chr10(.):134678632-134681543	0.8597
2_MACS_peak_5073_lociStitched	chr10(.):134686009-134687361	0.737
3_MACS_peak_5075_lociStitched	chr10(.):134690450-134695453	0.8895
2_MACS_peak_5078_lociStitched	chr10(.):134696610-134700500	0.8346
1_MACS_peak_5080_lociStitched	chr10(.):134702669-134704052	0.8239
3_MACS_peak_5081_lociStitched	chr10(.):134711657-134714866	0.6418
3_MACS_peak_5084_lociStitched	chr10(.):134721185-134726816	0.7895
3_MACS_peak_5087_lociStitched	chr10(.):134727952-134730433	0.8331
4_MACS_peak_5090_lociStitched	chr10(.):134732319-134743778	0.9823
6_MACS_peak_5094_lociStitched	chr10(.):134745964-134760208	0.8796
1_MACS_peak_5100_lociStitched	chr10(.):134761852-134762462	0.7618
1_MACS_peak_5101_lociStitched	chr10(.):134765083-134766200	0.8697
7_MACS_peak_5102_lociStitched	chr10(.):134767876-134780993	1.0118
3_MACS_peak_5109_lociStitched	chr10(.):134784040-134791261	0.9821
1_MACS_peak_5112_lociStitched	chr10(.):134795131-134795612	0.7777
7_MACS_peak_5113_lociStitched	chr10(.):134796939-134805193	0.8157
5_MACS_peak_5120_lociStitched	chr10(.):134807147-134815130	0.8144
2_MACS_peak_5125_lociStitched	chr10(.):134818039-134824046	0.9514
3_MACS_peak_5127_lociStitched	chr10(.):134826643-134829562	0.7811
6_MACS_peak_5130_lociStitched	chr10(.):134831942-134848659	0.9677
7_MACS_peak_5136_lociStitched	chr10(.):134850267-134866023	0.8829
3_MACS_peak_5143_lociStitched	chr10(.):134869862-134875485	0.8019
6_MACS_peak_5146_lociStitched	chr10(.):134880684-134889187	0.7856
3_MACS_peak_5152_lociStitched	chr10(.):134894771-134898150	0.8332
1_MACS_peak_5155_lociStitched	chr10(.):134900530-134901045	0.7519
8_MACS_peak_5156_lociStitched	chr10(.):134902582-134920619	0.9507
1_MACS_peak_5164_lociStitched	chr10(.):134922614-134924057	0.7561
1_MACS_peak_5165_lociStitched	chr10(.):134927820-134928647	0.8331
3_MACS_peak_5166_lociStitched	chr10(.):134936127-134937960	0.6175
3_MACS_peak_5169_lociStitched	chr10(.):134944127-134948936	0.9251
1_MACS_peak_5172_lociStitched	chr10(.):134952822-134959210	1.3137
1_MACS_peak_5173_lociStitched	chr10(.):134963520-134964281	0.7896
1_MACS_peak_5174_lociStitched	chr10(.):134965795-134966550	0.8913
2_MACS_peak_5175_lociStitched	chr10(.):134968501-134969982	0.5725
5_MACS_peak_5177_lociStitched	chr10(.):134971760-134985407	0.9433
2_MACS_peak_5182_lociStitched	chr10(.):134991983-134996169	0.9354
5_MACS_peak_5184_lociStitched	chr10(.):134997990-135004320	0.8709
3_MACS_peak_5189_lociStitched	chr10(.):135007920-135021432	1.2699
4_MACS_peak_5192_lociStitched	chr10(.):135022868-135035281	0.9583
1_MACS_peak_5196_lociStitched	chr10(.):135036533-135043330	1.2127
8_MACS_peak_5197_lociStitched	chr10(.):135044974-135075068	1.2585
1_MACS_peak_5205_lociStitched	chr10(.):135134445-135135290	0.7618
5_MACS_peak_5206_lociStitched	chr10(.):135138313-135149864	1.2833
8_MACS_peak_5211_lociStitched	chr10(.):135153141-135171400	0.9104
2_MACS_peak_5219_lociStitched	chr10(.):135178464-135179951	0.6478
1_MACS_peak_5221_lociStitched	chr10(.):135183891-135184321	0.5381
2_MACS_peak_5222_lociStitched	chr10(.):135189893-135192119	0.7677
1_MACS_peak_5224_lociStitched	chr10(.):135276000-135276454	0.5066
1_MACS_peak_5225_lociStitched	chr10(.):135280196-135280751	0.4961
2_MACS_peak_5226_lociStitched	chr10(.):135294485-135295748	0.86
1_MACS_peak_5228_lociStitched	chr10(.):135333793-135334811	0.9483
1_MACS_peak_5229_lociStitched	chr10(.):135337303-135337716	0.4522
1_MACS_peak_5230_lociStitched	chr10(.):135340187-135341234	0.8465
1_MACS_peak_5231_lociStitched	chr10(.):135344619-135345157	0.6483
1_MACS_peak_5232_lociStitched	chr10(.):135389005-135389725	0.5364
1_MACS_peak_5233_lociStitched	chr10(.):135405127-135405619	0.7741
1_MACS_peak_5234_lociStitched	chr10(.):135450941-135451571	0.6634
3_MACS_peak_5235_lociStitched	chr10(.):135478212-135482235	0.602
5_MACS_peak_5238_lociStitched	chr10(.):135483660-135488840	0.5305
2_MACS_peak_5243_lociStitched	chr10(.):135490442-135492098	0.897
1_MACS_peak_5245_lociStitched	chr10(.):135493694-135494927	0.8057
2_MACS_peak_5246_lociStitched	chr11(.):123853-126016	0.6688
1_MACS_peak_5248_lociStitched	chr11(.):127472-128189	0.5735
2_MACS_peak_5249_lociStitched	chr11(.):192301-198234	1.8736
1_MACS_peak_5251_lociStitched	chr11(.):278792-279236	0.6175
4_MACS_peak_5252_lociStitched	chr11(.):280473-288808	1.0017
1_MACS_peak_5256_lociStitched	chr11(.):295759-300983	1.2474
1_MACS_peak_5257_lociStitched	chr11(.):303043-303542	0.7643
2_MACS_peak_5258_lociStitched	chr11(.):305020-312786	1.217
4_MACS_peak_5260_lociStitched	chr11(.):314092-339027	1.1766
1_MACS_peak_5264_lociStitched	chr11(.):341657-342374	0.6879
4_MACS_peak_5265_lociStitched	chr11(.):343983-349740	0.8066
2_MACS_peak_5269_lociStitched	chr11(.):351019-356330	1.2393
4_MACS_peak_5271_lociStitched	chr11(.):358077-369057	1.1054
1_MACS_peak_5275_lociStitched	chr11(.):370205-374396	1.2248
3_MACS_peak_5276_lociStitched	chr11(.):377182-397601	1.4017
1_MACS_peak_5279_lociStitched	chr11(.):399930-400806	0.9702
3_MACS_peak_5280_lociStitched	chr11(.):403802-420168	1.431
1_MACS_peak_5283_lociStitched	chr11(.):425888-428000	0.9293
1_MACS_peak_5284_lociStitched	chr11(.):433798-434356	0.8546
1_MACS_peak_5285_lociStitched	chr11(.):437392-438468	0.692
5_MACS_peak_5286_lociStitched	chr11(.):440260-447224	0.8703
1_MACS_peak_5291_lociStitched	chr11(.):525824-526515	0.7439
2_MACS_peak_5292_lociStitched	chr11(.):547714-549940	0.7398
2_MACS_peak_5294_lociStitched	chr11(.):552534-559086	1.279
1_MACS_peak_5296_lociStitched	chr11(.):569165-569943	0.9556
2_MACS_peak_5297_lociStitched	chr11(.):573730-575718	0.6682
2_MACS_peak_5299_lociStitched	chr11(.):705552-714098	1.4509
4_MACS_peak_5301_lociStitched	chr11(.):717240-721847	0.8587
1_MACS_peak_5305_lociStitched	chr11(.):724168-725895	0.8694
2_MACS_peak_5306_lociStitched	chr11(.):728765-730367	0.8947
3_MACS_peak_5308_lociStitched	chr11(.):731387-735026	0.8799
2_MACS_peak_5311_lociStitched	chr11(.):736425-738913	0.9424
1_MACS_peak_5313_lociStitched	chr11(.):828254-832250	1.5486
3_MACS_peak_5314_lociStitched	chr11(.):843040-864832	1.6308
1_MACS_peak_5317_lociStitched	chr11(.):924276-924796	0.5573
4_MACS_peak_5318_lociStitched	chr11(.):1026139-1063117	1.6923
2_MACS_peak_5322_lociStitched	chr11(.):1064278-1065651	0.6426
1_MACS_peak_5324_lociStitched	chr11(.):1067854-1068823	0.6687
3_MACS_peak_5325_lociStitched	chr11(.):1071043-1089570	1.5698
2_MACS_peak_5328_lociStitched	chr11(.):1093887-1099450	1.1034
1_MACS_peak_5330_lociStitched	chr11(.):1100501-1105576	1.3787
2_MACS_peak_5331_lociStitched	chr11(.):1108517-1117067	1.1498
1_MACS_peak_5333_lociStitched	chr11(.):1119412-1126586	1.5281
2_MACS_peak_5334_lociStitched	chr11(.):1131967-1135451	0.8594
1_MACS_peak_5336_lociStitched	chr11(.):1136513-1137006	0.6652
1_MACS_peak_5337_lociStitched	chr11(.):1139237-1140836	0.7574
3_MACS_peak_5338_lociStitched	chr11(.):1142329-1148923	1.161
2_MACS_peak_5341_lociStitched	chr11(.):1149992-1161697	1.4817
2_MACS_peak_5343_lociStitched	chr11(.):1212738-1232489	1.6276
10_MACS_peak_5345_lociStitched	chr11(.):1237002-1280472	1.2125
3_MACS_peak_5355_lociStitched	chr11(.):1364047-1372950	1.3956
1_MACS_peak_5358_lociStitched	chr11(.):1374255-1377842	1.3476
9_MACS_peak_5359_lociStitched	chr11(.):1378941-1407018	1.0521
2_MACS_peak_5368_lociStitched	chr11(.):1408606-1415330	1.3091
3_MACS_peak_5370_lociStitched	chr11(.):1416561-1430358	1.2178
1_MACS_peak_5373_lociStitched	chr11(.):1432058-1432672	0.7889
3_MACS_peak_5374_lociStitched	chr11(.):1443273-1448322	0.8448
7_MACS_peak_5377_lociStitched	chr11(.):1454300-1480070	1.3054
2_MACS_peak_5384_lociStitched	chr11(.):1558833-1571554	1.7244
2_MACS_peak_5386_lociStitched	chr11(.):1574864-1577123	0.8462
30_MACS_peak_5388_lociStitched	chr11(.):1587788-1700995	1.3268
3_MACS_peak_5418_lociStitched	chr11(.):1702173-1724825	1.5233
8_MACS_peak_5421_lociStitched	chr11(.):1726715-1743249	0.9718
1_MACS_peak_5429_lociStitched	chr11(.):1744417-1744990	0.6025
1_MACS_peak_5430_lociStitched	chr11(.):1746081-1747067	1.0002
7_MACS_peak_5431_lociStitched	chr11(.):1748108-1767116	1.056
2_MACS_peak_5438_lociStitched	chr11(.):1769153-1771187	0.6565
19_MACS_peak_5440_lociStitched	chr11(.):1787290-1859175	1.3603
4_MACS_peak_5459_lociStitched	chr11(.):1861082-1870077	1.0444
3_MACS_peak_5463_lociStitched	chr11(.):1885847-1888009	0.6395
6_MACS_peak_5466_lociStitched	chr11(.):1889195-1897849	0.7526
3_MACS_peak_5472_lociStitched	chr11(.):1899783-1902785	0.6784
2_MACS_peak_5475_lociStitched	chr11(.):1908844-1912769	0.8011
3_MACS_peak_5477_lociStitched	chr11(.):1916910-1933309	1.1069
1_MACS_peak_5480_lociStitched	chr11(.):1934379-1935791	0.8974
6_MACS_peak_5481_lociStitched	chr11(.):1937338-1968121	1.6398
1_MACS_peak_5487_lociStitched	chr11(.):1981897-2063462	2.0843
1_MACS_peak_5488_lociStitched	chr11(.):2078199-2078835	0.64
2_MACS_peak_5489_lociStitched	chr11(.):2090836-2098617	1.1145
16_MACS_peak_5491_lociStitched	chr11(.):2102685-2145710	1.1387
13_MACS_peak_5507_lociStitched	chr11(.):2148625-2241889	1.4874
1_MACS_peak_5520_lociStitched	chr11(.):2244501-2245011	0.6964
1_MACS_peak_5521_lociStitched	chr11(.):2254283-2254841	0.8862
3_MACS_peak_5522_lociStitched	chr11(.):2255988-2260829	0.8845
1_MACS_peak_5525_lociStitched	chr11(.):2268957-2272967	0.983
4_MACS_peak_5526_lociStitched	chr11(.):2275875-2286155	1.2397
1_MACS_peak_5530_lociStitched	chr11(.):2287729-2288261	0.6549
2_MACS_peak_5531_lociStitched	chr11(.):2292496-2298665	1.0199
6_MACS_peak_5533_lociStitched	chr11(.):2305655-2342951	1.3199
5_MACS_peak_5539_lociStitched	chr11(.):2344643-2352843	0.9437
3_MACS_peak_5544_lociStitched	chr11(.):2356862-2364311	0.815
1_MACS_peak_5547_lociStitched	chr11(.):2366731-2367239	0.5822
13_MACS_peak_5548_lociStitched	chr11(.):2370389-2408648	1.104
1_MACS_peak_5561_lociStitched	chr11(.):2410164-2418331	1.3603
2_MACS_peak_5562_lociStitched	chr11(.):2426069-2449274	2.2479
2_MACS_peak_5564_lociStitched	chr11(.):2879434-2880991	0.653
1_MACS_peak_5566_lociStitched	chr11(.):2884177-2884818	0.819
2_MACS_peak_5567_lociStitched	chr11(.):2891554-2893441	0.8098
1_MACS_peak_5569_lociStitched	chr11(.):2899862-2900697	0.704
3_MACS_peak_5570_lociStitched	chr11(.):2904976-2908902	0.8796
1_MACS_peak_5573_lociStitched	chr11(.):2910587-2911304	0.5691
6_MACS_peak_5574_lociStitched	chr11(.):2933176-2951801	1.4744
3_MACS_peak_5580_lociStitched	chr11(.):3186918-3194168	1.3033
3_MACS_peak_5583_lociStitched	chr11(.):3209730-3227135	1.5509
2_MACS_peak_5586_lociStitched	chr11(.):3235250-3237857	1.0698
1_MACS_peak_5588_lociStitched	chr11(.):3239084-3242119	1.1475
4_MACS_peak_5589_lociStitched	chr11(.):3247545-3254002	0.8717
1_MACS_peak_5593_lociStitched	chr11(.):3361018-3361572	0.6647
1_MACS_peak_5594_lociStitched	chr11(.):3429996-3431247	0.7151
1_MACS_peak_5595_lociStitched	chr11(.):3600693-3602478	1.0141
1_MACS_peak_5596_lociStitched	chr11(.):3663596-3664207	0.5617
1_MACS_peak_5597_lociStitched	chr11(.):5711666-5712438	0.7276
1_MACS_peak_5598_lociStitched	chr11(.):6440592-6441279	0.7575
1_MACS_peak_5599_lociStitched	chr11(.):6545647-6546928	0.6691
1_MACS_peak_5600_lociStitched	chr11(.):6677510-6678131	0.703
1_MACS_peak_5601_lociStitched	chr11(.):7694923-7695592	0.74
1_MACS_peak_5602_lociStitched	chr11(.):8040132-8041168	0.6758
2_MACS_peak_5603_lociStitched	chr11(.):8251565-8254319	0.7591
1_MACS_peak_5605_lociStitched	chr11(.):8283120-8284708	0.9929
1_MACS_peak_5606_lociStitched	chr11(.):8288658-8290324	1.0434
3_MACS_peak_5607_lociStitched	chr11(.):9111312-9114118	0.7577
2_MACS_peak_5610_lociStitched	chr11(.):9285627-9288565	0.9968
1_MACS_peak_5612_lociStitched	chr11(.):9624959-9625910	0.7509
1_MACS_peak_5613_lociStitched	chr11(.):10466243-10467203	0.8689
1_MACS_peak_5614_lociStitched	chr11(.):10471219-10473964	1.3059
1_MACS_peak_5615_lociStitched	chr11(.):10952855-10953718	0.6448
2_MACS_peak_5616_lociStitched	chr11(.):13984556-13985641	0.6865
1_MACS_peak_5618_lociStitched	chr11(.):16633971-16635148	1.0199
1_MACS_peak_5619_lociStitched	chr11(.):17250881-17251786	0.7231
2_MACS_peak_5620_lociStitched	chr11(.):17253375-17254997	0.6929
1_MACS_peak_5622_lociStitched	chr11(.):17373118-17375417	1.1562
1_MACS_peak_5623_lociStitched	chr11(.):17497301-17498384	1.0474
1_MACS_peak_5624_lociStitched	chr11(.):17522409-17523312	0.6575
1_MACS_peak_5625_lociStitched	chr11(.):17550969-17551521	0.9125
1_MACS_peak_5626_lociStitched	chr11(.):17755444-17756264	0.7631
3_MACS_peak_5627_lociStitched	chr11(.):17759309-17763851	0.9142
2_MACS_peak_5630_lociStitched	chr11(.):17767452-17769799	0.8067
3_MACS_peak_5632_lociStitched	chr11(.):17771947-17775141	0.6066
1_MACS_peak_5635_lociStitched	chr11(.):17796867-17797665	0.9451
1_MACS_peak_5636_lociStitched	chr11(.):17799109-17799957	0.8033
1_MACS_peak_5637_lociStitched	chr11(.):18727389-18727860	0.767
1_MACS_peak_5638_lociStitched	chr11(.):18812561-18814341	1.1687
2_MACS_peak_5639_lociStitched	chr11(.):20178086-20180274	0.6933
1_MACS_peak_5641_lociStitched	chr11(.):20184579-20185391	0.8454
1_MACS_peak_5642_lociStitched	chr11(.):23731969-23732166	1.3954
1_MACS_peak_5643_lociStitched	chr11(.):27721097-27721487	0.5358
1_MACS_peak_5644_lociStitched	chr11(.):31828563-31829129	0.6554
3_MACS_peak_5645_lociStitched	chr11(.):31831214-31837167	1.1121
1_MACS_peak_5648_lociStitched	chr11(.):32458324-32458977	0.6444
3_MACS_peak_5649_lociStitched	chr11(.):33889525-33893763	0.8528
1_MACS_peak_5652_lociStitched	chr11(.):33913123-33914884	0.814
1_MACS_peak_5653_lociStitched	chr11(.):33915961-33918140	0.8864
1_MACS_peak_5654_lociStitched	chr11(.):33919374-33919868	0.7922
1_MACS_peak_5655_lociStitched	chr11(.):34377611-34379312	1.7121
1_MACS_peak_5656_lociStitched	chr11(.):34426206-34426733	0.7354
2_MACS_peak_5657_lociStitched	chr11(.):35439106-35442204	0.8852
4_MACS_peak_5659_lociStitched	chr11(.):35935644-35941876	0.8373
1_MACS_peak_5663_lociStitched	chr11(.):35964414-35965008	0.7203
1_MACS_peak_5664_lociStitched	chr11(.):36397279-36398367	0.6954
4_MACS_peak_5665_lociStitched	chr11(.):43596534-43605180	1.1393
2_MACS_peak_5669_lociStitched	chr11(.):43892201-43896744	0.8907
2_MACS_peak_5671_lociStitched	chr11(.):43898413-43900002	0.7668
2_MACS_peak_5673_lociStitched	chr11(.):43963612-43966614	0.7617
4_MACS_peak_5675_lociStitched	chr11(.):44322840-44335647	1.0517
2_MACS_peak_5679_lociStitched	chr11(.):44336656-44343350	1.2562
2_MACS_peak_5681_lociStitched	chr11(.):44540484-44543171	0.8405
3_MACS_peak_5683_lociStitched	chr11(.):44747223-44752093	0.8496
1_MACS_peak_5686_lociStitched	chr11(.):44900467-44900929	0.5778
1_MACS_peak_5687_lociStitched	chr11(.):44948807-44949539	0.7723
1_MACS_peak_5688_lociStitched	chr11(.):44950822-44952356	0.9232
1_MACS_peak_5689_lociStitched	chr11(.):45122945-45124125	0.8078
1_MACS_peak_5690_lociStitched	chr11(.):45306549-45306949	0.6483
2_MACS_peak_5691_lociStitched	chr11(.):45403155-45405349	0.7082
1_MACS_peak_5693_lociStitched	chr11(.):45406505-45407429	0.7468
2_MACS_peak_5694_lociStitched	chr11(.):45413714-45416698	0.8502
1_MACS_peak_5696_lociStitched	chr11(.):45432031-45432417	0.718
1_MACS_peak_5697_lociStitched	chr11(.):45596760-45597363	0.7917
2_MACS_peak_5698_lociStitched	chr11(.):45672486-45675177	0.7916
1_MACS_peak_5700_lociStitched	chr11(.):45677031-45678063	0.7593
3_MACS_peak_5701_lociStitched	chr11(.):45679681-45691005	1.3982
3_MACS_peak_5704_lociStitched	chr11(.):45917940-45928153	1.1768
3_MACS_peak_5707_lociStitched	chr11(.):45943649-45948033	1.0903
1_MACS_peak_5710_lociStitched	chr11(.):46258842-46260859	1.3156
3_MACS_peak_5711_lociStitched	chr11(.):46297816-46304236	1.2116
1_MACS_peak_5714_lociStitched	chr11(.):46313800-46314563	0.6384
2_MACS_peak_5715_lociStitched	chr11(.):46315753-46318504	0.8744
1_MACS_peak_5717_lociStitched	chr11(.):46337757-46338421	0.6942
3_MACS_peak_5718_lociStitched	chr11(.):46348116-46358620	1.2939
2_MACS_peak_5721_lociStitched	chr11(.):46360489-46364617	0.8873
1_MACS_peak_5723_lociStitched	chr11(.):46367346-46368041	0.8995
2_MACS_peak_5724_lociStitched	chr11(.):46402400-46414708	1.477
1_MACS_peak_5726_lociStitched	chr11(.):46938269-46940026	1.5875
2_MACS_peak_5727_lociStitched	chr11(.):47205854-47211511	0.9165
2_MACS_peak_5729_lociStitched	chr11(.):47362763-47370373	1.0892
1_MACS_peak_5731_lociStitched	chr11(.):47614890-47615373	0.6689
1_MACS_peak_5732_lociStitched	chr11(.):47914584-47915190	0.6547
6_MACS_peak_5733_lociStitched	chr11(.):47916416-47929594	0.9783
2_MACS_peak_5739_lociStitched	chr11(.):47931747-47933351	0.7445
1_MACS_peak_5741_lociStitched	chr11(.):48002663-48003250	0.728
2_MACS_peak_5744_lociStitched	chr11(.):57225147-57227963	1.2529
1_MACS_peak_5746_lociStitched	chr11(.):57413104-57417008	1.0134
1_MACS_peak_5747_lociStitched	chr11(.):58939998-58941265	0.8306
2_MACS_peak_5748_lociStitched	chr11(.):60691349-60693926	1.1764
1_MACS_peak_5750_lociStitched	chr11(.):60696855-60697352	0.8195
1_MACS_peak_5751_lociStitched	chr11(.):60701484-60705074	1.0599
