REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
3_MACS_peak_11347_lociStitched	chr17	56404856	56430953	3	19148	119247.6318	5939.6772	165	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	5.001799999999999	165	1
2_MACS_peak_13707_lociStitched	chr2	27374169	27393675	2	18971	60185.763	3596.9064	166	TCF23	ABHD1,C2orf28,CAD,CGREF1,PREB,C2orf53,SLC5A6	TCF23	TCF23	1.4603	166	1
2_MACS_peak_17615_lociStitched	chr3	15834585	15854086	2	18965	51511.8915	4032.8068	167	ANKRD28	ANKRD28	ANKRD28	ANKRD28	0.2142	167	1
2_MACS_peak_8564_lociStitched	chr15	40386097	40409338	2	18950	107498.9214	5133.9369	168	BMF	BUB1B	BMF	BMF	3.5783	168	1
2_MACS_peak_27383_lociStitched	chr9	112665368	112684664	2	18879	74856.9024	4322.304	169	PALM2,PALM2-AKAP2		PALM2	PALM2	0.3821	169	1
3_MACS_peak_6708_lociStitched	chr12	108953743	108973076	3	18770	47290.4513	4127.5955	170	ISCU,SART3	FICD,TMEM119	ISCU	ISCU	2.4015999999999997	170	1
3_MACS_peak_16341_lociStitched	chr20	52257542	52280650	3	18714	94969.2584	4251.872	171			ZNF217	ZNF217	1.0873	171	1
2_MACS_peak_28591_lociStitched	chrX	128901818	128921820	2	18657	45454.545	2642.2642	172	XPNPEP2,SASH3		SASH3	SASH3	1.0265	172	1
3_MACS_peak_11633_lociStitched	chr17	75128687	75147623	3	18646	85456.2744	4124.2608	173	SEC14L1	C17orf86,SCARNA16,SEC14L1	SEC14L1	SCARNA16	2.5069	173	1
2_MACS_peak_15791_lociStitched	chr20	5570215	5592502	2	18640	36552.9087	4798.3911	174	GPCPD1		GPCPD1	GPCPD1	0.39909999999999995	174	1
2_MACS_peak_9140_lociStitched	chr15	81575311	81597362	2	18611	83945.9519	5331.9318	175	IL16	STARD5	IL16	STARD5	0.9529000000000001	175	1
3_MACS_peak_1138_lociStitched	chr1	93408468	93428888	3	18520	28340.918	2317.67	176	FAM69A		FAM69A	FAM69A	0.32399999999999995	176	1
4_MACS_peak_8394_lociStitched	chr15	23659485	23682864	4	18489	34823.0205	3490.4847	177			MKRN3	MKRN3	NONE	177	1
2_MACS_peak_11680_lociStitched	chr17	76711094	76733817	2	18486	42851.0334	4910.4403	178	CYTH1		CYTH1	CYTH1	0.8851	178	1
2_MACS_peak_2135_lociStitched	chr1	192560779	192579520	2	18476	34702.7097	4934.5053	179		RGS1,RGS13	RGS1	RGS1	1.8725999999999998	179	1
2_MACS_peak_3541_lociStitched	chr10	81001113	81020668	2	18395	46771.649	3613.764	180	ZMIZ1		PPIF	PPIF	NONE	180	1
2_MACS_peak_13858_lociStitched	chr2	42342979	42361418	2	18297	74087.902	4028.9215	181		EML4	EML4	EML4	0.02579999999999999	181	1
3_MACS_peak_19089_lociStitched	chr3	181635645	181662346	3	18293	61145.29	6448.2915	182			SOX2	SOX2	1.8076999999999999	182	1
6_MACS_peak_22665_lociStitched	chr6	31773551	31804675	6	18275	33775.7648	5845.0872	183	HSPA1A,HSPA1B,C6orf48,SNORD48,LSM2,HSPA1L	C6orf26,SNORD52,C6orf27,VARS,NEU1,SLC44A4	HSPA1A	VARS	1.0417	183	1
3_MACS_peak_17035_lociStitched	chr22	29206692	29225761	3	18192	60469.7059	3651.7135	184		CCDC117,XBP1	XBP1	XBP1	2.6538000000000004	184	1
2_MACS_peak_1553_lociStitched	chr1	150532196	150553376	2	18183	116750.514	7273.212	185	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	1.0943999999999998	185	1
5_MACS_peak_11616_lociStitched	chr17	74475080	74503231	5	18179	54328.6149	4501.3449	186	RHBDF2	AANAT,PRCD,UBE2O,CYGB	RHBDF2	RHBDF2	1.2499	186	1
4_MACS_peak_2640_lociStitched	chr1	230256346	230287763	4	18141	80304.9937	7235.3351	187	GALNT2		GALNT2	GALNT2	0.4727	187	1
2_MACS_peak_23689_lociStitched	chr6	139631600	139649940	2	18128	70629.174	3370.892	188		TXLNB,CITED2	TXLNB	CITED2	1.8723999999999998	188	1
2_MACS_peak_16986_lociStitched	chr22	24176999	24201037	2	18113	167453.5156	4757.1202	189	SLC2A11,DERL3	SMARCB1,MIF	DERL3	DERL3	2.5442	189	1
1_MACS_peak_21038_lociStitched	chr5	55436161	55454260	1	18100	62300.3778	3884.0454	190	ANKRD55		ANKRD55	ANKRD55	0.4815	190	1
4_MACS_peak_21549_lociStitched	chr5	118657680	118680561	4	18088	53413.4064	4599.081	191	TNFAIP8	TNFAIP8	TNFAIP8	TNFAIP8	0.4445	191	1
2_MACS_peak_1713_lociStitched	chr1	156115317	156133458	2	18075	89723.5719	6062.7222	192	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.2258999999999998	192	1
2_MACS_peak_13070_lociStitched	chr19	39880767	39904003	2	18052	75437.9976	5044.5356	193	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	4.3064	193	1
3_MACS_peak_18142_lociStitched	chr3	66530454	66552495	3	17992	28144.1529	3905.6652	194	LRIG1		LRIG1	LRIG1	0.16149999999999998	194	1
5_MACS_peak_4847_lociStitched	chr11	67760439	67789241	5	17801	40751.9498	4769.6112	195	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	ALDH3B1	ALDH3B1	0.9299999999999999	195	1
3_MACS_peak_27862_lociStitched	chrX	10064783	10091448	3	17788	46605.087	2935.8165	196	WWC3	CLCN4	CLCN4	NONE	NONE	196	1
2_MACS_peak_17892_lociStitched	chr3	46244847	46265384	2	17754	120340.6589	4744.047	197	CCR1	CCR3	CCR1	CCR1	5.1234	197	1
1_MACS_peak_18157_lociStitched	chr3	69128362	69145995	1	17634	45540.7491	3685.297	198	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.3647	198	1
4_MACS_peak_5691_lociStitched	chr12	11901229	11920606	4	17625	43199.0838	3623.499	199	ETV6		ETV6	ETV6	0.3012	199	1
3_MACS_peak_25422_lociStitched	chr8	2027473	2051002	3	17590	72728.139	4204.6323	200	MYOM2		MYOM2	MYOM2	0.892	200	1
4_MACS_peak_1529_lociStitched	chr1	149802911	149834068	4	17578	71888.5461	9079.1498	201	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2AC	3.2878999999999996	201	1
5_MACS_peak_9727_lociStitched	chr16	22194935	22219059	5	17504	36695.0164	5015.3796	202	EEF2K		EEF2K	EEF2K	0.03900000000000001	202	1
3_MACS_peak_17913_lociStitched	chr3	46577145	46601156	3	17500	87313.6004	4482.8537	203	LRRC2	RTP3,TDGF1	LRRC2	LRRC2	1.3641	203	1
4_MACS_peak_14095_lociStitched	chr2	64486066	64516195	4	17478	52225.6086	4754.3562	204			LOC150992	LOC150992	0.5545	204	1
6_MACS_peak_14202_lociStitched	chr2	70330797	70361118	6	17451	55084.1607	5509.3257	205	LOC100133985	PCBP1,LOC400960	LOC100133985	PCBP1	5.3424	205	1
2_MACS_peak_6519_lociStitched	chr12	92753302	92771129	2	17421	84680.0327	3738.3219	206		CLLU1	CLLU1	CLLU1	0.44299999999999995	206	1
4_MACS_peak_16673_lociStitched	chr21	36235938	36263151	4	17410	67488.24	6928.4298	207	RUNX1		RUNX1	RUNX1	0.255	207	1
3_MACS_peak_11528_lociStitched	chr17	70581698	70602182	3	17305	46685.0844	3977.9928	208	LOC100499467,FLJ26484		LOC100499467	LOC100499467	0.3198	208	1
4_MACS_peak_5219_lociStitched	chr11	111231784	111251784	4	17227	48634	4018	209	POU2AF1		POU2AF1	POU2AF1	1.2133	209	1
6_MACS_peak_14171_lociStitched	chr2	68936332	68965896	6	17168	35722.1812	5203.264	210	ARHGAP25	ARHGAP25	ARHGAP25	ARHGAP25	0.2844	210	1
3_MACS_peak_19883_lociStitched	chr4	77602338	77624663	3	17115	31266.1625	3944.8275	211	SHROOM3		ANKRD56	ANKRD56	NONE	211	1
2_MACS_peak_9747_lociStitched	chr16	23402446	23420503	2	17076	74300.9436	3132.8895	212	COG7		COG7	COG7	1.0554	212	1
3_MACS_peak_6358_lociStitched	chr12	68751348	68771035	3	17058	65293.9042	4012.2106	213		MDM1	MDM1	NONE	NONE	213	1
3_MACS_peak_9612_lociStitched	chr16	12051755	12072379	3	17024	110686.9456	4405.2864	214	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	TNFRSF17	7.729	214	1
3_MACS_peak_21950_lociStitched	chr5	156339080	156362354	3	17013	46147.6872	3926.3238	215	LOC100286948,TIMD4		LOC100286948	LOC100286948	1.0160999999999998	215	1
3_MACS_peak_27169_lociStitched	chr9	93670825	93690416	3	16967	61680.3044	3612.5804	216			SYK	SYK	NONE	216	1
2_MACS_peak_980_lociStitched	chr1	75595724	75612770	2	16933	38774.5362	2872.251	217	LHX8		LHX8	LHX8	0.8281000000000001	217	1
2_MACS_peak_15362_lociStitched	chr2	204661302	204683976	2	16726	38752.1334	4065.4482	218		CTLA4	CTLA4	CTLA4	0.08819999999999999	218	1
4_MACS_peak_16137_lociStitched	chr20	37486570	37510861	4	16706	130309.0695	4275.216	219	PPP1R16B	FAM83D	FAM83D	FAM83D	0.006000000000000005	219	1
4_MACS_peak_3440_lociStitched	chr10	74005560	74025889	4	16687	49133.1601	3579.9369	220		ANAPC16,DDIT4,ASCC1	DDIT4	DDIT4	0.7345999999999999	220	1
3_MACS_peak_13094_lociStitched	chr19	40645338	40672035	3	16565	43713.6678	4506.4536	221		MAP3K10,ZNF780A	MAP3K10	ZNF780A	0.0957	221	1
2_MACS_peak_21337_lociStitched	chr5	88633739	88653161	2	16533	88921.6848	4235.9382	222			MEF2C	MEF2C	0.5811999999999999	222	1
2_MACS_peak_23722_lociStitched	chr6	143162657	143180334	2	16524	37082.8106	2177.8064	223	HIVEP2		HIVEP2	HIVEP2	0.2425	223	1
4_MACS_peak_25944_lociStitched	chr8	61811617	61840902	4	16513	40017.9525	5039.9485	224		LOC100130298	LOC100130298	NONE	NONE	224	1
4_MACS_peak_3882_lociStitched	chr10	112101331	112128981	4	16449	115701.425	5256.265	225		SMNDC1	SMNDC1	SMNDC1	0.09189999999999998	225	1
1_MACS_peak_21329_lociStitched	chr5	88170793	88187196	1	16404	79487.2977	4028.5768	226	MEF2C		MEF2C	MEF2C	0.5811999999999999	226	1
2_MACS_peak_25194_lociStitched	chr7	136031538	136048117	2	16357	78572.8547	4748.2256	227			LUZP6	LUZP6	NONE	227	1
3_MACS_peak_19023_lociStitched	chr3	177056369	177081249	3	16345	75428.696	5884.12	228			TBL1XR1	TBL1XR1	0.4531	228	1
3_MACS_peak_8791_lociStitched	chr15	56644744	56667431	3	16332	74159.2656	4802.8379	229	TEX9		TEX9	TEX9	0.6805	229	1
4_MACS_peak_15319_lociStitched	chr2	202081255	202102127	4	16307	35780.8696	4084.6504	230	CASP10,CASP8	CASP8	CASP8	CASP8	1.2958	230	1
4_MACS_peak_25203_lociStitched	chr7	137684173	137716711	4	16211	37324.3398	7106.2992	231	CREB3L2	AKR1D1	CREB3L2	CREB3L2	0.09489999999999998	231	1
1_MACS_peak_4736_lociStitched	chr11	65183101	65199286	1	16186	129996.3015	4832.841	232	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	7.814500000000001	232	1
1_MACS_peak_5752_lociStitched	chr12	15100767	15116940	1	16174	35766.5895	3402.7992	233	ARHGDIB	PDE6H,ERP27	ARHGDIB	ARHGDIB	1.0775000000000001	233	1
2_MACS_peak_16528_lociStitched	chr21	19151489	19169169	2	16094	62896.6	3861.312	234	C21orf91		C21orf91	C21orf91	1.1583	234	1
1_MACS_peak_10849_lociStitched	chr17	29634726	29650813	1	16088	59222.6818	3959.0107	235	NF1,EVI2B,EVI2A	OMG	EVI2B	EVI2B	1.9806	235	1
3_MACS_peak_13665_lociStitched	chr2	25622768	25646566	3	16074	63159.892	4152.751	236	DTNB		DNMT3A	DNMT3A	NONE	236	1
1_MACS_peak_5716_lociStitched	chr12	12865820	12881849	1	16030	110244.2562	3859.7832	237	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	7.0341	237	1
2_MACS_peak_15311_lociStitched	chr2	201979844	201998136	2	16020	97168.9332	4722.9944	238	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	1.628	238	1
1_MACS_peak_19613_lociStitched	chr4	38306726	38322742	1	16017	75315.24	3478.6752	239			KLF3	KLF3	0.38820000000000005	239	1
5_MACS_peak_9142_lociStitched	chr15	81607842	81626424	5	15960	28439.751	3593.7588	240	STARD5,TMC3	IL16	STARD5	STARD5	0.9529000000000001	240	1
3_MACS_peak_1970_lociStitched	chr1	174922304	174942620	3	15954	41196.7848	4993.6728	241	RABGAP1L	CACYBP,MRPS14	CACYBP	CACYBP	0.7165	241	1
2_MACS_peak_21307_lociStitched	chr5	86364864	86380844	2	15868	32723.844	3140.07	242		MIR4280	MIR4280	MIR4280	1.6199999999999999	242	1
3_MACS_peak_5480_lociStitched	chr11	130696141	130720432	3	15866	46237.9185	4270.3578	243			SNX19	SNX19	NONE	243	1
2_MACS_peak_6525_lociStitched	chr12	92851139	92867499	2	15825	86634.38	3731.716	244		CLLU1,CLLU1OS	CLLU1OS	CLLU1	0.44299999999999995	244	1
3_MACS_peak_5914_lociStitched	chr12	32608344	32625783	3	15777	45524.5095	3390.1416	245		FGD4	FGD4	FGD4	0.26589999999999997	245	1
2_MACS_peak_16238_lociStitched	chr20	45172089	45191653	2	15754	37032.6956	2848.5184	246	C20orf123,SLC13A3	ZNF334	C20orf123	C20orf123	1.5179	246	1
2_MACS_peak_27604_lociStitched	chr9	130828568	130846494	2	15732	39575.2302	3536.7998	247	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	SLC25A25	0.6973	247	1
4_MACS_peak_287_lociStitched	chr1	23936721	23963118	4	15719	42712.9857	4234.0788	248	MDS2		MDS2	MDS2	0.37060000000000004	248	1
4_MACS_peak_1652_lociStitched	chr1	154821601	154851763	4	15713	59111.4876	6110.8212	249	KCNN3		KCNN3	KCNN3	0.6563	249	1
3_MACS_peak_16778_lociStitched	chr21	44724956	44747610	3	15702	47534.8882	4270.279	250			SIK1	SIK1	NONE	250	1
3_MACS_peak_9227_lociStitched	chr15	89163776	89185636	3	15675	28483.58	3958.846	251	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.6959	251	1
3_MACS_peak_18615_lociStitched	chr3	132266607	132290013	3	15596	31197.8574	3506.2188	252	ACAD11	CCRL1	CCRL1	NONE	NONE	252	1
2_MACS_peak_8460_lociStitched	chr15	31546203	31562988	2	15559	91056.9465	3101.868	253			KLF13	KLF13	1.5601	253	1
3_MACS_peak_19195_lociStitched	chr3	186702615	186720677	3	15559	75490.129	5337.321	254	ST6GAL1	ST6GAL1	ST6GAL1	ST6GAL1	0.8613999999999999	254	1
4_MACS_peak_22350_lociStitched	chr6	11713462	11736117	4	15557	43271.05	3740.3405	255	C6orf105		C6orf105	C6orf105	0.5782	255	1
6_MACS_peak_22945_lociStitched	chr6	52148512	52173848	6	15554	34223.8688	4646.6224	256	MCM3	IL17F	MCM3	MCM3	0.0471	256	1
4_MACS_peak_22509_lociStitched	chr6	26183533	26207333	4	15546	42549.64	5338.34	257	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	HIST1H2BH	1.8127000000000002	257	1
1_MACS_peak_11668_lociStitched	chr17	76137273	76152811	1	15539	39076.5162	2810.8242	258	TMC8,C17orf99	SYNGR2,AFMID,TMC6,TK1	C17orf99	C17orf99	1.5722	258	1
3_MACS_peak_17865_lociStitched	chr3	45592798	45618129	3	15529	33966.3379	4427.8588	259		LIMD1	LIMD1	LIMD1	0.38869999999999993	259	1
1_MACS_peak_4742_lociStitched	chr11	65263169	65278687	1	15519	50958.0084	3825.187	260	MALAT1	SCYL1,LTBP3	MALAT1	MALAT1	2.5403000000000002	260	1
6_MACS_peak_22286_lociStitched	chr6	6798404	6828138	6	15480	24726.7944	4037.8772	261			LY86-AS1	LY86-AS1	NONE	261	1
3_MACS_peak_13586_lociStitched	chr2	13680221	13702548	3	15465	36718.9842	3831.3132	262			MIR3125	MIR3125	NONE	262	1
2_MACS_peak_12430_lociStitched	chr19	2081476	2098468	2	15448	111482.8128	6061.0464	263	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	3.0279000000000003	263	1
4_MACS_peak_12063_lociStitched	chr18	42288746	42307816	4	15447	19920.522	3129.387	264	SETBP1		SETBP1	SETBP1	0.3482	264	1
1_MACS_peak_11430_lociStitched	chr17	62195572	62210969	1	15398	38047.5267	3459.7059	265	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.3952	265	1
1_MACS_peak_17213_lociStitched	chr22	38782033	38797426	1	15394	33612.1548	2935.4451	266	LOC400927	KCNJ4	LOC400927	LOC400927	0.5923999999999999	266	1
2_MACS_peak_9039_lociStitched	chr15	75351816	75371080	2	15385	63642.4768	3619.7056	267		PPCDC	PPCDC	PPCDC	2.0199	267	1
1_MACS_peak_10024_lociStitched	chr16	56961094	56976439	1	15346	55142.2575	3363.624	268	HERPUD1	CETP,NLRC5	HERPUD1	HERPUD1	2.3939000000000004	268	1
4_MACS_peak_8185_lociStitched	chr14	93029364	93054426	4	15305	30490.4292	2390.9148	269	RIN3		RIN3	RIN3	0.1907	269	1
4_MACS_peak_26534_lociStitched	chr8	145002177	145027937	4	15293	34420.512	3366.832	270	PLEC,MIR661	GRINA,PARP10	PLEC	PARP10	0.6658	270	1
4_MACS_peak_15258_lociStitched	chr2	198062327	198084079	4	15281	44219.6408	3974.0904	271	ANKRD44		ANKRD44	ANKRD44	0.363	271	1
1_MACS_peak_24651_lociStitched	chr7	78113449	78128722	1	15274	81527.274	3972.5073	272	MAGI2		RPL13AP17	RPL13AP17	NONE	272	1
3_MACS_peak_22170_lociStitched	chr5	180228548	180249681	3	15269	55884.1052	4055.4227	273	MGAT1	LOC729678,ZFP62	MGAT1	MGAT1	1.2567	273	1
1_MACS_peak_21079_lociStitched	chr5	58851358	58866590	1	15233	47720.3328	2636.6592	274	PDE4D		PDE4D	PDE4D	0.0829	274	1
3_MACS_peak_1820_lociStitched	chr1	161144659	161163948	3	15208	61028.4671	5221.5323	275	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	UFC1	1.3532	275	1
6_MACS_peak_22546_lociStitched	chr6	27088241	27123680	6	15163	33092.9382	6669.6198	276	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	HIST1H4I	0.5697	276	1
3_MACS_peak_3191_lociStitched	chr10	45453794	45475533	3	15147	39428.0243	4121.7144	277	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	RASSF4	RASSF4	0.8089999999999999	277	1
3_MACS_peak_8576_lociStitched	chr15	40833548	40858278	3	15143	26814.739	4223.884	278	C15orf57	RPUSD2,CASC5,MRPL42P5	C15orf57	C15orf57	0.5766	278	1
4_MACS_peak_1795_lociStitched	chr1	160633638	160655593	4	15125	94979.5255	6922.4115	279	CD48	SLAMF1	SLAMF1	SLAMF1	0.33519999999999994	279	1
1_MACS_peak_5829_lociStitched	chr12	26265394	26280476	1	15083	41573.533	3379.8762	280	BHLHE41		BHLHE41	BHLHE41	2.0068	280	1
3_MACS_peak_8971_lociStitched	chr15	70766773	70787683	3	15018	39741.546	3307.962	281			UACA	UACA	NONE	281	1
4_MACS_peak_16203_lociStitched	chr20	43583263	43609370	4	14986	34200.17	4785.4131	282	STK4,TOMM34	PABPC1L	STK4	STK4	0.8499000000000001	282	1
4_MACS_peak_14149_lociStitched	chr2	67686027	67706442	4	14978	47852.76	3399.0975	283			ETAA1	ETAA1	NONE	283	1
4_MACS_peak_17784_lociStitched	chr3	39247051	39264649	4	14971	37320.0786	3109.5666	284		XIRP1	XIRP1	XIRP1	0.2396	284	1
3_MACS_peak_21947_lociStitched	chr5	156305153	156322040	3	14955	29123.3202	2683.3443	285		PPP1R2P3,LOC100286948	PPP1R2P3	LOC100286948	1.0160999999999998	285	1
3_MACS_peak_9981_lociStitched	chr16	50713887	50733158	3	14935	42371.1477	3752.0637	286	NOD2,SNX20	CYLD	NOD2	NOD2	0.2229	286	1
2_MACS_peak_24368_lociStitched	chr7	44661751	44680440	2	14908	35400.7038	3780.7847	287	OGDH	DDX56,TMED4	OGDH	TMED4	0.5117	287	1
5_MACS_peak_11154_lociStitched	chr17	43504947	43531593	5	14903	24623.5686	4279.3476	288	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	SH3D20	0.6234999999999999	288	1
2_MACS_peak_632_lociStitched	chr1	40839012	40858668	2	14885	41281.5312	4110.0696	289	SMAP2	SMAP2	SMAP2	SMAP2	0.6056999999999999	289	1
3_MACS_peak_25565_lociStitched	chr8	19518489	19540886	3	14852	50823.2724	3697.7447	290	CSGALNACT1		CSGALNACT1	CSGALNACT1	0.2404	290	1
2_MACS_peak_27186_lociStitched	chr9	94181006	94195951	2	14790	48033.23	3579.3275	291	NFIL3		NFIL3	NFIL3	1.3508	291	1
2_MACS_peak_13575_lociStitched	chr2	11883400	11898195	2	14767	64910.1035	3462.03	292	LPIN1		LPIN1	LPIN1	0.6612	292	1
1_MACS_peak_22093_lociStitched	chr5	173696332	173711094	1	14763	71189.745	3166.449	293			HMP19	HMP19	NONE	293	1
4_MACS_peak_6009_lociStitched	chr12	46776097	46798977	4	14756	38642.032	3987.984	294		SLC38A2	SLC38A2	SLC38A2	0.5025000000000001	294	1
4_MACS_peak_3321_lociStitched	chr10	63798119	63814932	4	14741	43836.5349	3700.5413	295	ARID5B		ARID5B	ARID5B	0.31610000000000005	295	1
1_MACS_peak_20876_lociStitched	chr5	32529699	32544408	1	14710	56341.3536	3243.3345	296		SUB1	SUB1	SUB1	1.5566	296	1
3_MACS_peak_23548_lociStitched	chr6	130832812	130851689	3	14689	45806.9282	3403.5231	297			TMEM200A	TMEM200A	NONE	297	1
6_MACS_peak_24302_lociStitched	chr7	38383811	38408359	6	14680	24422.8052	5132.9868	298			TARP	TARP	NONE	298	1
1_MACS_peak_12997_lociStitched	chr19	35693648	35708254	1	14607	85192.4162	3046.8116	299		FXYD5,LSR,FAM187B	FAM187B	LSR	0.6049	299	1
5_MACS_peak_22476_lociStitched	chr6	25162818	25187688	5	14575	28560.708	4280.127	300		CMAH	CMAH	CMAH	0.211	300	1
1_MACS_peak_5224_lociStitched	chr11	111279808	111294292	1	14485	30824.8488	2699.8176	301		POU2AF1	POU2AF1	POU2AF1	1.2133	301	1
1_MACS_peak_22490_lociStitched	chr6	25401483	25415964	1	14482	122258.7387	3898.2852	302	LRRC16A		LRRC16A	LRRC16A	0.5386	302	1
4_MACS_peak_19848_lociStitched	chr4	76022195	76044187	4	14471	62567.24	3842.0024	303			PARM1	PARM1	NONE	303	1
5_MACS_peak_2345_lociStitched	chr1	206987383	207008189	5	14452	20077.79	4385.9048	304	IL19	IL20,IL10	IL19	IL19	0.351	304	1
3_MACS_peak_15958_lociStitched	chr20	25261408	25282750	3	14427	52885.476	3502.2222	305	PYGB,ABHD12		PYGB	PYGB	0.8726	305	1
4_MACS_peak_25663_lociStitched	chr8	27930196	27951569	4	14403	35205.6056	4911.5154	306	ELP3,C8orf80		C8orf80	C8orf80	0.5108	306	1
1_MACS_peak_10994_lociStitched	chr17	37924623	37938975	1	14353	43360.2624	3303.8304	307	IKZF3	GRB7,C17orf37	GRB7	C17orf37	0.32410000000000005	307	1
1_MACS_peak_11631_lociStitched	chr17	75078786	75093130	1	14345	38048.8944	3154.2456	308	C17orf86,SCARNA16	SEC14L1	SCARNA16	SCARNA16	2.5069	308	1
1_MACS_peak_28190_lociStitched	chrX	48790292	48804619	1	14328	61359.6756	1904.0583	309	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	OTUD5	1.8399999999999999	309	1
5_MACS_peak_4021_lociStitched	chr10	126406883	126433850	5	14301	22967.7939	4128.6477	310	FAM53B	METTL10	FAM53B	FAM53B	0.205	310	1
4_MACS_peak_7383_lociStitched	chr13	78593263	78608509	4	14294	19720.701	2289.9492	311		EDNRB	EDNRB	EDNRB	0.01200000000000001	311	1
3_MACS_peak_1800_lociStitched	chr1	160694247	160714837	3	14286	43683.744	6020.516	312	SLAMF7	CD48	SLAMF7	CD48	2.1096	312	1
3_MACS_peak_11219_lociStitched	chr17	46580334	46596204	3	14277	23017.848	2743.923	313		HOXB1,HOXB2	HOXB1	HOXB2	0.0343	313	1
1_MACS_peak_2586_lociStitched	chr1	226838325	226852599	1	14275	57695.508	4587.6636	314	ITPKB		ITPKB	ITPKB	0.7007	314	1
3_MACS_peak_8531_lociStitched	chr15	38401706	38424951	3	14175	36385.3985	3509.995	315			SPRED1	SPRED1	NONE	315	1
2_MACS_peak_24427_lociStitched	chr7	50343324	50357906	2	14146	36542.492	3356.7764	316	IKZF1		IKZF1	IKZF1	0.2253	316	1
2_MACS_peak_16053_lociStitched	chr20	32988826	33006312	2	14136	42679.8288	3460.4794	317	ITCH	MIR644	ITCH	ITCH	0.27140000000000003	317	1
2_MACS_peak_4997_lociStitched	chr11	78127124	78141838	2	14120	24896.088	2639.6916	318	GAB2		GAB2	GAB2	0.014799999999999994	318	1
1_MACS_peak_13857_lociStitched	chr2	42322841	42336943	1	14103	92447.0712	3106.6706	319		PKDCC	PKDCC	PKDCC	0.0039000000000000007	319	1
2_MACS_peak_16730_lociStitched	chr21	41295602	41312143	2	14082	60291.945	4479.3028	320	PCP4		PCP4	PCP4	0.42160000000000003	320	1
2_MACS_peak_5728_lociStitched	chr12	13241957	13256114	2	14072	35514.2502	2790.3447	321	GSG1	KIAA1467	GSG1	GSG1	0.9168999999999999	321	1
3_MACS_peak_15831_lociStitched	chr20	9479080	9499861	3	14021	42418.1772	3952.5462	322	C20orf103		C20orf103	C20orf103	1.3095	322	1
1_MACS_peak_17034_lociStitched	chr22	29185930	29199947	1	14018	45664.5826	3303.8069	323	XBP1	HSCB,CCDC117,CHEK2	XBP1	XBP1	2.6538000000000004	323	1
2_MACS_peak_1296_lociStitched	chr1	112134277	112149157	2	14013	34752.24	1815.36	324	LOC100129269	RAP1A,ADORA3	LOC100129269	LOC100129269	1.421	324	1
3_MACS_peak_13628_lociStitched	chr2	20615140	20631296	3	14006	29294.0592	2901.6176	325		RHOB	RHOB	RHOB	0.5924	325	1
6_MACS_peak_4979_lociStitched	chr11	77146893	77171554	6	13980	18951.9785	3736.1415	326	PAK1		PAK1	PAK1	0.09309999999999999	326	1
2_MACS_peak_19642_lociStitched	chr4	40301325	40319958	2	13978	58416.3183	3942.7428	327		CHRNA9	CHRNA9	NONE	NONE	327	1
