REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X10_0EWW_0229Kronos_MM1S.KB.24hr.2_H3K18Ac_hs.dm_i19.bam	X44_0EXW_0229Kronos_MM1S.KB.24hr.2_Input_hs_i90.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
2_MACS_peak_1713_lociStitched	chr1	156115317	156133458	2	18075	89723.5719	6062.7222	192	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	192	1
2_MACS_peak_13070_lociStitched	chr19	39880767	39904003	2	18052	75437.9976	5044.5356	193	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	193	1
3_MACS_peak_18142_lociStitched	chr3	66530454	66552495	3	17992	28144.1529	3905.6652	194	LRIG1		LRIG1	194	1
5_MACS_peak_4847_lociStitched	chr11	67760439	67789241	5	17801	40751.9498	4769.6112	195	ALDH3B1,UNC93B1	NDUFS8,TCIRG1	ALDH3B1	195	1
3_MACS_peak_27862_lociStitched	chrX	10064783	10091448	3	17788	46605.087	2935.8165	196	WWC3	CLCN4	CLCN4	196	1
2_MACS_peak_17892_lociStitched	chr3	46244847	46265384	2	17754	120340.6589	4744.047	197	CCR1	CCR3	CCR1	197	1
1_MACS_peak_18157_lociStitched	chr3	69128362	69145995	1	17634	45540.7491	3685.297	198	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	198	1
4_MACS_peak_5691_lociStitched	chr12	11901229	11920606	4	17625	43199.0838	3623.499	199	ETV6		ETV6	199	1
3_MACS_peak_25422_lociStitched	chr8	2027473	2051002	3	17590	72728.139	4204.6323	200	MYOM2		MYOM2	200	1
4_MACS_peak_1529_lociStitched	chr1	149802911	149834068	4	17578	71888.5461	9079.1498	201	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	201	1
5_MACS_peak_9727_lociStitched	chr16	22194935	22219059	5	17504	36695.0164	5015.3796	202	EEF2K		EEF2K	202	1
3_MACS_peak_17913_lociStitched	chr3	46577145	46601156	3	17500	87313.6004	4482.8537	203	LRRC2	RTP3,TDGF1	LRRC2	203	1
4_MACS_peak_14095_lociStitched	chr2	64486066	64516195	4	17478	52225.6086	4754.3562	204			LOC150992	204	1
6_MACS_peak_14202_lociStitched	chr2	70330797	70361118	6	17451	55084.1607	5509.3257	205	LOC100133985	PCBP1,LOC400960	LOC100133985	205	1
2_MACS_peak_6519_lociStitched	chr12	92753302	92771129	2	17421	84680.0327	3738.3219	206		CLLU1	CLLU1	206	1
4_MACS_peak_16673_lociStitched	chr21	36235938	36263151	4	17410	67488.24	6928.4298	207	RUNX1		RUNX1	207	1
3_MACS_peak_11528_lociStitched	chr17	70581698	70602182	3	17305	46685.0844	3977.9928	208	LOC100499467,FLJ26484		LOC100499467	208	1
4_MACS_peak_5219_lociStitched	chr11	111231784	111251784	4	17227	48634	4018	209	POU2AF1		POU2AF1	209	1
6_MACS_peak_14171_lociStitched	chr2	68936332	68965896	6	17168	35722.1812	5203.264	210	ARHGAP25	ARHGAP25	ARHGAP25	210	1
3_MACS_peak_19883_lociStitched	chr4	77602338	77624663	3	17115	31266.1625	3944.8275	211	SHROOM3		ANKRD56	211	1
2_MACS_peak_9747_lociStitched	chr16	23402446	23420503	2	17076	74300.9436	3132.8895	212	COG7		COG7	212	1
3_MACS_peak_6358_lociStitched	chr12	68751348	68771035	3	17058	65293.9042	4012.2106	213		MDM1	MDM1	213	1
3_MACS_peak_9612_lociStitched	chr16	12051755	12072379	3	17024	110686.9456	4405.2864	214	TNFRSF17,RUNDC2A	GSPT1	TNFRSF17	214	1
3_MACS_peak_21950_lociStitched	chr5	156339080	156362354	3	17013	46147.6872	3926.3238	215	LOC100286948,TIMD4		LOC100286948	215	1
3_MACS_peak_27169_lociStitched	chr9	93670825	93690416	3	16967	61680.3044	3612.5804	216			SYK	216	1
2_MACS_peak_980_lociStitched	chr1	75595724	75612770	2	16933	38774.5362	2872.251	217	LHX8		LHX8	217	1
2_MACS_peak_15362_lociStitched	chr2	204661302	204683976	2	16726	38752.1334	4065.4482	218		CTLA4	CTLA4	218	1
4_MACS_peak_16137_lociStitched	chr20	37486570	37510861	4	16706	130309.0695	4275.216	219	PPP1R16B	FAM83D	FAM83D	219	1
4_MACS_peak_3440_lociStitched	chr10	74005560	74025889	4	16687	49133.1601	3579.9369	220		ANAPC16,DDIT4,ASCC1	DDIT4	220	1
3_MACS_peak_13094_lociStitched	chr19	40645338	40672035	3	16565	43713.6678	4506.4536	221		MAP3K10,ZNF780A	MAP3K10	221	1
2_MACS_peak_21337_lociStitched	chr5	88633739	88653161	2	16533	88921.6848	4235.9382	222			MEF2C	222	1
2_MACS_peak_23722_lociStitched	chr6	143162657	143180334	2	16524	37082.8106	2177.8064	223	HIVEP2		HIVEP2	223	1
4_MACS_peak_25944_lociStitched	chr8	61811617	61840902	4	16513	40017.9525	5039.9485	224		LOC100130298	LOC100130298	224	1
4_MACS_peak_3882_lociStitched	chr10	112101331	112128981	4	16449	115701.425	5256.265	225		SMNDC1	SMNDC1	225	1
1_MACS_peak_21329_lociStitched	chr5	88170793	88187196	1	16404	79487.2977	4028.5768	226	MEF2C		MEF2C	226	1
2_MACS_peak_25194_lociStitched	chr7	136031538	136048117	2	16357	78572.8547	4748.2256	227			LUZP6	227	1
3_MACS_peak_19023_lociStitched	chr3	177056369	177081249	3	16345	75428.696	5884.12	228			TBL1XR1	228	1
3_MACS_peak_8791_lociStitched	chr15	56644744	56667431	3	16332	74159.2656	4802.8379	229	TEX9		TEX9	229	1
4_MACS_peak_15319_lociStitched	chr2	202081255	202102127	4	16307	35780.8696	4084.6504	230	CASP10,CASP8	CASP8	CASP8	230	1
4_MACS_peak_25203_lociStitched	chr7	137684173	137716711	4	16211	37324.3398	7106.2992	231	CREB3L2	AKR1D1	CREB3L2	231	1
1_MACS_peak_4736_lociStitched	chr11	65183101	65199286	1	16186	129996.3015	4832.841	232	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	232	1
1_MACS_peak_5752_lociStitched	chr12	15100767	15116940	1	16174	35766.5895	3402.7992	233	ARHGDIB	PDE6H,ERP27	ARHGDIB	233	1
2_MACS_peak_16528_lociStitched	chr21	19151489	19169169	2	16094	62896.6	3861.312	234	C21orf91		C21orf91	234	1
1_MACS_peak_10849_lociStitched	chr17	29634726	29650813	1	16088	59222.6818	3959.0107	235	NF1,EVI2B,EVI2A	OMG	EVI2B	235	1
3_MACS_peak_13665_lociStitched	chr2	25622768	25646566	3	16074	63159.892	4152.751	236	DTNB		DNMT3A	236	1
1_MACS_peak_5716_lociStitched	chr12	12865820	12881849	1	16030	110244.2562	3859.7832	237	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	237	1
2_MACS_peak_15311_lociStitched	chr2	201979844	201998136	2	16020	97168.9332	4722.9944	238	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	238	1
1_MACS_peak_19613_lociStitched	chr4	38306726	38322742	1	16017	75315.24	3478.6752	239			KLF3	239	1
5_MACS_peak_9142_lociStitched	chr15	81607842	81626424	5	15960	28439.751	3593.7588	240	STARD5,TMC3	IL16	STARD5	240	1
3_MACS_peak_1970_lociStitched	chr1	174922304	174942620	3	15954	41196.7848	4993.6728	241	RABGAP1L	CACYBP,MRPS14	CACYBP	241	1
2_MACS_peak_21307_lociStitched	chr5	86364864	86380844	2	15868	32723.844	3140.07	242		MIR4280	MIR4280	242	1
3_MACS_peak_5480_lociStitched	chr11	130696141	130720432	3	15866	46237.9185	4270.3578	243			SNX19	243	1
2_MACS_peak_6525_lociStitched	chr12	92851139	92867499	2	15825	86634.38	3731.716	244		CLLU1,CLLU1OS	CLLU1OS	244	1
3_MACS_peak_5914_lociStitched	chr12	32608344	32625783	3	15777	45524.5095	3390.1416	245		FGD4	FGD4	245	1
2_MACS_peak_16238_lociStitched	chr20	45172089	45191653	2	15754	37032.6956	2848.5184	246	C20orf123,SLC13A3	ZNF334	C20orf123	246	1
2_MACS_peak_27604_lociStitched	chr9	130828568	130846494	2	15732	39575.2302	3536.7998	247	SLC25A25,NAIF1	SLC25A25,LOC389791,LOC100289019,PTGES2	SLC25A25	247	1
4_MACS_peak_287_lociStitched	chr1	23936721	23963118	4	15719	42712.9857	4234.0788	248	MDS2		MDS2	248	1
4_MACS_peak_1652_lociStitched	chr1	154821601	154851763	4	15713	59111.4876	6110.8212	249	KCNN3		KCNN3	249	1
3_MACS_peak_16778_lociStitched	chr21	44724956	44747610	3	15702	47534.8882	4270.279	250			SIK1	250	1
3_MACS_peak_9227_lociStitched	chr15	89163776	89185636	3	15675	28483.58	3958.846	251	AEN,ISG20	MIR1179,MIR7-2	ISG20	251	1
3_MACS_peak_18615_lociStitched	chr3	132266607	132290013	3	15596	31197.8574	3506.2188	252	ACAD11	CCRL1	CCRL1	252	1
2_MACS_peak_8460_lociStitched	chr15	31546203	31562988	2	15559	91056.9465	3101.868	253			KLF13	253	1
3_MACS_peak_19195_lociStitched	chr3	186702615	186720677	3	15559	75490.129	5337.321	254	ST6GAL1	ST6GAL1	ST6GAL1	254	1
4_MACS_peak_22350_lociStitched	chr6	11713462	11736117	4	15557	43271.05	3740.3405	255	C6orf105		C6orf105	255	1
6_MACS_peak_22945_lociStitched	chr6	52148512	52173848	6	15554	34223.8688	4646.6224	256	MCM3	IL17F	MCM3	256	1
4_MACS_peak_22509_lociStitched	chr6	26183533	26207333	4	15546	42549.64	5338.34	257	HIST1H2BE,HIST1H2BF,HIST1H4E,HIST1H4D,HIST1H3D,HIST1H2AD	HIST1H1E,HIST1H2BD,HIST1H2AE,HIST1H3E,HIST1H4F,HIST1H2BH,HIST1H2BG,HIST1H1D,HIST1H4G,HIST1H3F	HIST1H3D	257	1
1_MACS_peak_11668_lociStitched	chr17	76137273	76152811	1	15539	39076.5162	2810.8242	258	TMC8,C17orf99	SYNGR2,AFMID,TMC6,TK1	C17orf99	258	1
3_MACS_peak_17865_lociStitched	chr3	45592798	45618129	3	15529	33966.3379	4427.8588	259		LIMD1	LIMD1	259	1
1_MACS_peak_4742_lociStitched	chr11	65263169	65278687	1	15519	50958.0084	3825.187	260	MALAT1	SCYL1,LTBP3	MALAT1	260	1
6_MACS_peak_22286_lociStitched	chr6	6798404	6828138	6	15480	24726.7944	4037.8772	261			LY86-AS1	261	1
3_MACS_peak_13586_lociStitched	chr2	13680221	13702548	3	15465	36718.9842	3831.3132	262			MIR3125	262	1
2_MACS_peak_12430_lociStitched	chr19	2081476	2098468	2	15448	111482.8128	6061.0464	263	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	263	1
4_MACS_peak_12063_lociStitched	chr18	42288746	42307816	4	15447	19920.522	3129.387	264	SETBP1		SETBP1	264	1
1_MACS_peak_11430_lociStitched	chr17	62195572	62210969	1	15398	38047.5267	3459.7059	265	ERN1	SNORD104,SNORA76	ERN1	265	1
1_MACS_peak_17213_lociStitched	chr22	38782033	38797426	1	15394	33612.1548	2935.4451	266	LOC400927	KCNJ4	LOC400927	266	1
2_MACS_peak_9039_lociStitched	chr15	75351816	75371080	2	15385	63642.4768	3619.7056	267		PPCDC	PPCDC	267	1
1_MACS_peak_10024_lociStitched	chr16	56961094	56976439	1	15346	55142.2575	3363.624	268	HERPUD1	CETP,NLRC5	HERPUD1	268	1
4_MACS_peak_8185_lociStitched	chr14	93029364	93054426	4	15305	30490.4292	2390.9148	269	RIN3		RIN3	269	1
4_MACS_peak_26534_lociStitched	chr8	145002177	145027937	4	15293	34420.512	3366.832	270	PLEC,MIR661	GRINA,PARP10	PLEC	270	1
4_MACS_peak_15258_lociStitched	chr2	198062327	198084079	4	15281	44219.6408	3974.0904	271	ANKRD44		ANKRD44	271	1
1_MACS_peak_24651_lociStitched	chr7	78113449	78128722	1	15274	81527.274	3972.5073	272	MAGI2		RPL13AP17	272	1
3_MACS_peak_22170_lociStitched	chr5	180228548	180249681	3	15269	55884.1052	4055.4227	273	MGAT1	LOC729678,ZFP62	MGAT1	273	1
1_MACS_peak_21079_lociStitched	chr5	58851358	58866590	1	15233	47720.3328	2636.6592	274	PDE4D		PDE4D	274	1
3_MACS_peak_1820_lociStitched	chr1	161144659	161163948	3	15208	61028.4671	5221.5323	275	B4GALT3,ADAMTS4	UFC1,USP21,PPOX,NDUFS2,FCER1G,TOMM40L,DEDD,APOA2,NR1I3	B4GALT3	275	1
6_MACS_peak_22546_lociStitched	chr6	27088241	27123680	6	15163	33092.9382	6669.6198	276	HIST1H2AG,HIST1H4I,HIST1H2AH,MIR3143,HIST1H2BJ,HIST1H2BK		HIST1H4I	276	1
3_MACS_peak_3191_lociStitched	chr10	45453794	45475533	3	15147	39428.0243	4121.7144	277	RASSF4,LOC220980,C10orf10	TMEM72,ZNF22,C10orf25	RASSF4	277	1
3_MACS_peak_8576_lociStitched	chr15	40833548	40858278	3	15143	26814.739	4223.884	278	C15orf57	RPUSD2,CASC5,MRPL42P5	C15orf57	278	1
4_MACS_peak_1795_lociStitched	chr1	160633638	160655593	4	15125	94979.5255	6922.4115	279	CD48	SLAMF1	SLAMF1	279	1
1_MACS_peak_5829_lociStitched	chr12	26265394	26280476	1	15083	41573.533	3379.8762	280	BHLHE41		BHLHE41	280	1
3_MACS_peak_8971_lociStitched	chr15	70766773	70787683	3	15018	39741.546	3307.962	281			UACA	281	1
4_MACS_peak_16203_lociStitched	chr20	43583263	43609370	4	14986	34200.17	4785.4131	282	STK4,TOMM34	PABPC1L	STK4	282	1
4_MACS_peak_14149_lociStitched	chr2	67686027	67706442	4	14978	47852.76	3399.0975	283			ETAA1	283	1
4_MACS_peak_17784_lociStitched	chr3	39247051	39264649	4	14971	37320.0786	3109.5666	284		XIRP1	XIRP1	284	1
3_MACS_peak_21947_lociStitched	chr5	156305153	156322040	3	14955	29123.3202	2683.3443	285		PPP1R2P3,LOC100286948	PPP1R2P3	285	1
3_MACS_peak_9981_lociStitched	chr16	50713887	50733158	3	14935	42371.1477	3752.0637	286	NOD2,SNX20	CYLD	NOD2	286	1
2_MACS_peak_24368_lociStitched	chr7	44661751	44680440	2	14908	35400.7038	3780.7847	287	OGDH	DDX56,TMED4	OGDH	287	1
5_MACS_peak_11154_lociStitched	chr17	43504947	43531593	5	14903	24623.5686	4279.3476	288	SH3D20,PLEKHM1	ARHGAP27,MIR4315-1	SH3D20	288	1
2_MACS_peak_632_lociStitched	chr1	40839012	40858668	2	14885	41281.5312	4110.0696	289	SMAP2	SMAP2	SMAP2	289	1
3_MACS_peak_25565_lociStitched	chr8	19518489	19540886	3	14852	50823.2724	3697.7447	290	CSGALNACT1		CSGALNACT1	290	1
2_MACS_peak_27186_lociStitched	chr9	94181006	94195951	2	14790	48033.23	3579.3275	291	NFIL3		NFIL3	291	1
2_MACS_peak_13575_lociStitched	chr2	11883400	11898195	2	14767	64910.1035	3462.03	292	LPIN1		LPIN1	292	1
1_MACS_peak_22093_lociStitched	chr5	173696332	173711094	1	14763	71189.745	3166.449	293			HMP19	293	1
4_MACS_peak_6009_lociStitched	chr12	46776097	46798977	4	14756	38642.032	3987.984	294		SLC38A2	SLC38A2	294	1
4_MACS_peak_3321_lociStitched	chr10	63798119	63814932	4	14741	43836.5349	3700.5413	295	ARID5B		ARID5B	295	1
1_MACS_peak_20876_lociStitched	chr5	32529699	32544408	1	14710	56341.3536	3243.3345	296		SUB1	SUB1	296	1
3_MACS_peak_23548_lociStitched	chr6	130832812	130851689	3	14689	45806.9282	3403.5231	297			TMEM200A	297	1
6_MACS_peak_24302_lociStitched	chr7	38383811	38408359	6	14680	24422.8052	5132.9868	298			TARP	298	1
1_MACS_peak_12997_lociStitched	chr19	35693648	35708254	1	14607	85192.4162	3046.8116	299		FXYD5,LSR,FAM187B	FAM187B	299	1
5_MACS_peak_22476_lociStitched	chr6	25162818	25187688	5	14575	28560.708	4280.127	300		CMAH	CMAH	300	1
1_MACS_peak_5224_lociStitched	chr11	111279808	111294292	1	14485	30824.8488	2699.8176	301		POU2AF1	POU2AF1	301	1
1_MACS_peak_22490_lociStitched	chr6	25401483	25415964	1	14482	122258.7387	3898.2852	302	LRRC16A		LRRC16A	302	1
4_MACS_peak_19848_lociStitched	chr4	76022195	76044187	4	14471	62567.24	3842.0024	303			PARM1	303	1
5_MACS_peak_2345_lociStitched	chr1	206987383	207008189	5	14452	20077.79	4385.9048	304	IL19	IL20,IL10	IL19	304	1
3_MACS_peak_15958_lociStitched	chr20	25261408	25282750	3	14427	52885.476	3502.2222	305	PYGB,ABHD12		PYGB	305	1
4_MACS_peak_25663_lociStitched	chr8	27930196	27951569	4	14403	35205.6056	4911.5154	306	ELP3,C8orf80		C8orf80	306	1
1_MACS_peak_10994_lociStitched	chr17	37924623	37938975	1	14353	43360.2624	3303.8304	307	IKZF3	GRB7,C17orf37	GRB7	307	1
1_MACS_peak_11631_lociStitched	chr17	75078786	75093130	1	14345	38048.8944	3154.2456	308	C17orf86,SCARNA16	SEC14L1	SCARNA16	308	1
1_MACS_peak_28190_lociStitched	chrX	48790292	48804619	1	14328	61359.6756	1904.0583	309	OTUD5	PQBP1,TIMM17B,SLC35A2,PIM2,KCND1	OTUD5	309	1
5_MACS_peak_4021_lociStitched	chr10	126406883	126433850	5	14301	22967.7939	4128.6477	310	FAM53B	METTL10	FAM53B	310	1
4_MACS_peak_7383_lociStitched	chr13	78593263	78608509	4	14294	19720.701	2289.9492	311		EDNRB	EDNRB	311	1
3_MACS_peak_1800_lociStitched	chr1	160694247	160714837	3	14286	43683.744	6020.516	312	SLAMF7	CD48	SLAMF7	312	1
3_MACS_peak_11219_lociStitched	chr17	46580334	46596204	3	14277	23017.848	2743.923	313		HOXB1,HOXB2	HOXB1	313	1
1_MACS_peak_2586_lociStitched	chr1	226838325	226852599	1	14275	57695.508	4587.6636	314	ITPKB		ITPKB	314	1
3_MACS_peak_8531_lociStitched	chr15	38401706	38424951	3	14175	36385.3985	3509.995	315			SPRED1	315	1
2_MACS_peak_24427_lociStitched	chr7	50343324	50357906	2	14146	36542.492	3356.7764	316	IKZF1		IKZF1	316	1
2_MACS_peak_16053_lociStitched	chr20	32988826	33006312	2	14136	42679.8288	3460.4794	317	ITCH	MIR644	ITCH	317	1
2_MACS_peak_4997_lociStitched	chr11	78127124	78141838	2	14120	24896.088	2639.6916	318	GAB2		GAB2	318	1
1_MACS_peak_13857_lociStitched	chr2	42322841	42336943	1	14103	92447.0712	3106.6706	319		PKDCC	PKDCC	319	1
2_MACS_peak_16730_lociStitched	chr21	41295602	41312143	2	14082	60291.945	4479.3028	320	PCP4		PCP4	320	1
2_MACS_peak_5728_lociStitched	chr12	13241957	13256114	2	14072	35514.2502	2790.3447	321	GSG1	KIAA1467	GSG1	321	1
3_MACS_peak_15831_lociStitched	chr20	9479080	9499861	3	14021	42418.1772	3952.5462	322	C20orf103		C20orf103	322	1
1_MACS_peak_17034_lociStitched	chr22	29185930	29199947	1	14018	45664.5826	3303.8069	323	XBP1	HSCB,CCDC117,CHEK2	XBP1	323	1
2_MACS_peak_1296_lociStitched	chr1	112134277	112149157	2	14013	34752.24	1815.36	324	LOC100129269	RAP1A,ADORA3	LOC100129269	324	1
3_MACS_peak_13628_lociStitched	chr2	20615140	20631296	3	14006	29294.0592	2901.6176	325		RHOB	RHOB	325	1
6_MACS_peak_4979_lociStitched	chr11	77146893	77171554	6	13980	18951.9785	3736.1415	326	PAK1		PAK1	326	1
2_MACS_peak_19642_lociStitched	chr4	40301325	40319958	2	13978	58416.3183	3942.7428	327		CHRNA9	CHRNA9	327	1
5_MACS_peak_11587_lociStitched	chr17	73850494	73875796	5	13911	43160.1516	4268.4474	328	WBP2,TRIM47	UNC13D,TRIM65,MRPL38	TRIM47	328	1
3_MACS_peak_4497_lociStitched	chr11	45089023	45105646	3	13903	37355.2056	2416.9842	329		PRDM11	PRDM11	329	1
2_MACS_peak_3688_lociStitched	chr10	94868720	94886573	2	13898	32151.4677	2649.3852	330		CYP26C1,CYP26A1	CYP26A1	330	1
1_MACS_peak_26476_lociStitched	chr8	137188203	137202095	1	13893	56432.0824	3306.296	331			KHDRBS3	331	1
5_MACS_peak_15597_lociStitched	chr2	232687411	232714022	5	13888	12358.1484	3422.1746	332		COPS7B,PDE6D,MIR1471	COPS7B	332	1
2_MACS_peak_8690_lociStitched	chr15	46994376	47009613	2	13868	33876.4221	2803.608	333			SEMA6D	333	1
3_MACS_peak_24981_lociStitched	chr7	114556318	114574606	3	13864	59205.5712	5378.5008	334	MDFIC		MDFIC	334	1
6_MACS_peak_4688_lociStitched	chr11	63992478	64020087	6	13846	24801.1647	4798.4442	335	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	335	1
2_MACS_peak_25698_lociStitched	chr8	29464453	29478313	2	13833	35586.936	2336.796	336			C8orf75	336	1
4_MACS_peak_27527_lociStitched	chr9	126962255	126982682	4	13830	38888.9226	3268.32	337		NEK6	NEK6	337	1
3_MACS_peak_16338_lociStitched	chr20	52224560	52244825	3	13797	64108.3275	3293.0625	338		ZNF217	ZNF217	338	1
1_MACS_peak_19610_lociStitched	chr4	38123428	38137200	1	13773	53820.976	2837.032	339	TBC1D1		PTTG2	339	1
2_MACS_peak_19687_lociStitched	chr4	48191047	48206888	2	13763	49400.1585	3146.0226	340	TEC		TXK	340	1
3_MACS_peak_18579_lociStitched	chr3	129026624	129048502	3	13742	26290.7926	3824.2744	341	C3orf47,H1FX	C3orf37	H1FX	341	1
2_MACS_peak_27487_lociStitched	chr9	123688105	123707726	2	13703	41302.205	3423.8645	342	TRAF1	PHF19,TRAF1	TRAF1	342	1
3_MACS_peak_17019_lociStitched	chr22	26974522	26993677	3	13701	50168.8605	3664.3515	343	TPST2	CRYBA4,MIR548J,TPST2,CRYBB1	TPST2	343	1
2_MACS_peak_16956_lociStitched	chr22	23088029	23102012	2	13686	40093.4559	2233.0851	344			MIR650	344	1
4_MACS_peak_6045_lociStitched	chr12	48276267	48299219	4	13602	23463.8296	3559.8552	345	VDR		VDR	345	1
4_MACS_peak_16086_lociStitched	chr20	34673168	34690707	4	13595	20717.0668	3081.6023	346		EPB41L1,LOC647979	EPB41L1	346	1
2_MACS_peak_18391_lociStitched	chr3	111837934	111855085	2	13589	21858.9495	3226.1031	347	GCET2	C3orf52,MIR567	GCET2	347	1
1_MACS_peak_15126_lociStitched	chr2	182167403	182180980	1	13578	122603.0254	3739.1058	348			ITGA4	348	1
4_MACS_peak_3409_lociStitched	chr10	72249341	72270795	4	13577	35933.3046	3962.5538	349	KIAA1274	NODAL	KIAA1274	349	1
1_MACS_peak_13874_lociStitched	chr2	43443573	43457137	1	13565	74846.152	3408.6332	350	LOC100129726,ZFP36L2		ZFP36L2	350	1
2_MACS_peak_21474_lociStitched	chr5	109187849	109202467	2	13556	42512.0676	2439.7442	351	MAN2A1	LOC100289673	LOC100289673	351	1
5_MACS_peak_5674_lociStitched	chr12	10280478	10306687	5	13548	27902.1014	4093.8458	352	CLEC7A	C12orf59,CLEC1A,OLR1	CLEC7A	352	1
4_MACS_peak_14347_lociStitched	chr2	86290225	86308547	4	13523	25463.9156	3206.35	353	POLR1A	PTCD3,LOC90784	POLR1A	353	1
2_MACS_peak_4380_lociStitched	chr11	26097988	26113605	2	13517	63620.5346	2993.7789	354			ANO3	354	1
2_MACS_peak_17237_lociStitched	chr22	39458897	39474665	2	13516	35020.728	3021.1488	355	APOBEC3G	APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3H	APOBEC3G	355	1
4_MACS_peak_25399_lociStitched	chr7	157795347	157818651	4	13506	33499.5	4094.5128	356	PTPRN2		MIR153-2	356	1
4_MACS_peak_3558_lociStitched	chr10	81946404	81966333	4	13502	25776.1686	4003.7361	357	ANXA11		ANXA11	357	1
3_MACS_peak_8164_lociStitched	chr14	91781617	91801960	3	13499	19289.2326	2024.1285	358	CCDC88C		GPR68	358	1
1_MACS_peak_21310_lociStitched	chr5	86407872	86421337	1	13466	64241.515	2967.686	359	MIR4280		MIR4280	359	1
4_MACS_peak_1424_lociStitched	chr1	144962480	144985337	4	13452	41028.315	7204.5264	360	PDE4DIP	PDE4DIP	PDE4DIP	360	1
4_MACS_peak_13941_lociStitched	chr2	47193811	47215380	4	13446	36969.266	3863.0079	361	TTC7A	MCFD2	MCFD2	361	1
4_MACS_peak_20682_lociStitched	chr4	187747676	187775325	4	13444	40364.7751	4490.1976	362			FAT1	362	1
1_MACS_peak_14622_lociStitched	chr2	112455236	112468656	1	13421	106957.4	3003.396	363			ANAPC1	363	1
1_MACS_peak_10093_lociStitched	chr16	66548823	66562236	1	13414	128268.519	3460.554	364	TK2	CKLF,CMTM1	TK2	364	1
3_MACS_peak_15664_lociStitched	chr2	238599666	238613574	3	13389	25131.756	1674.5232	365	LRRFIP1		LRRFIP1	365	1
4_MACS_peak_5929_lociStitched	chr12	33037691	33060635	4	13381	18763.6032	3810.9984	366	PKP2		PKP2	366	1
4_MACS_peak_13404_lociStitched	chr19	55460124	55486599	4	13316	34258.65	3108.165	367	NLRP2	NCR1,NLRP7	NLRP2	367	1
1_MACS_peak_19042_lociStitched	chr3	178228487	178241795	1	13309	97941.5568	4218.636	368		KCNMB2	KCNMB2	368	1
1_MACS_peak_15323_lociStitched	chr2	202115752	202129044	1	13293	72046.6276	3420.0316	369	CASP8		CASP8	369	1
4_MACS_peak_4640_lociStitched	chr11	62307939	62326018	4	13284	25914.4386	3261.4516	370	AHNAK	EEF1G,TUT1,MTA2	AHNAK	370	1
3_MACS_peak_1436_lociStitched	chr1	145182740	145199124	3	13280	24092.672	7143.424	371		NOTCH2NL	NOTCH2NL	371	1
4_MACS_peak_12425_lociStitched	chr19	2040895	2063016	4	13280	37453.0651	4340.1402	372	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	372	1
6_MACS_peak_28030_lociStitched	chrX	37604467	37625612	6	13253	24739.65	2235.0265	373		CYBB	CYBB	373	1
6_MACS_peak_8913_lociStitched	chr15	67366189	67396239	6	13250	21155.2	4732.875	374	SMAD3	SMAD3	SMAD3	374	1
3_MACS_peak_5034_lociStitched	chr11	82764457	82784622	3	13231	43066.3905	4196.3365	375	RAB30	SNORA70E	RAB30	375	1
7_MACS_peak_12626_lociStitched	chr19	10513142	10543359	7	13230	21233.4859	4689.6784	376	PDE4A,CDC37,MIR1181	PDE4A,TYK2	PDE4A	376	1
3_MACS_peak_24439_lociStitched	chr7	52773199	52789222	3	13226	46365.7551	2352.1764	377			POM121L12	377	1
3_MACS_peak_23441_lociStitched	chr6	117858779	117877561	3	13200	30982.7872	3196.6964	378	DCBLD1	GOPC	GOPC	378	1
2_MACS_peak_17210_lociStitched	chr22	38700512	38714901	2	13174	27556.3739	2759.8102	379	CSNK1E	TMEM184B	CSNK1E	379	1
3_MACS_peak_2956_lociStitched	chr10	14686505	14704018	3	13164	33197.6428	2858.1216	380	FAM107B		FAM107B	380	1
5_MACS_peak_6231_lociStitched	chr12	57093369	57120110	5	13158	20906.1138	4791.9872	381	NACA	HSD17B6,PTGES3,PRIM1	NACA	381	1
5_MACS_peak_15211_lociStitched	chr2	192481525	192503725	5	13152	17509.14	3676.32	382		OBFC2A	OBFC2A	382	1
2_MACS_peak_14887_lociStitched	chr2	153913463	153929204	2	13106	37598.9526	3382.7409	383			ARL6IP6	383	1
2_MACS_peak_21858_lociStitched	chr5	148204604	148222805	2	13106	43791.606	4260.8541	384	ADRB2		ADRB2	384	1
